role,match_class,include_in_analysis,matched_occupation_title,soc_code,soc_major_group,match_confidence,rationale,source_dataset,data_vintage,employment_count,annual_median_wage,annual_mean_wage,hourly_median_wage,notes_on_ambiguity,log_employment_count,log_annual_median_wage
revenant,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
reviewer,ambiguous,False,"Financial Specialists, All Other",13-2099,13-0000,low,"Reviewer is a task/function, not a clean occupation.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
revolutionary,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
robot,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
rogue,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
romantic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
saboteur,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
sage,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
scheduler,close,True,"Production, Planning, and Expediting Clerks",43-5061,43-0000,medium,"Scheduling maps to planning/expediting clerks, but role is generic.",BLS OEWS national cross-industry estimates,May 2025,390160.0,59650.0,62150.0,28.68,,12.874312190383934,10.996249427526061
scholar,ambiguous,False,"Education Teachers, Postsecondary, All Other",25-1089,25-0000,low,Scholar is status/role rather than occupation; postsecondary teacher all-other is weak.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
scientist,broad,True,"Life Scientists, All Other",19-1099,19-0000,low,Scientist is broad; no single detailed SOC.,BLS OEWS national cross-industry estimates,May 2025,7460.0,93750.0,107860.0,45.07,,8.917310693197807,11.448386943832658
scout,exact,True,Coaches and Scouts,27-2022,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,248950.0,47320.0,60160.0,,,12.42500735207033,10.764688318092324
screener,close,True,Transportation Security Screeners,33-9093,33-0000,medium,Screener is broad; transportation security screeners are concrete but incomplete.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
secretary,exact,True,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,43-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,1706790.0,,49350.0,22.86,,14.350124971361547,
shaman,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
shapeshifter,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
simulacrum,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
skeptic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
smuggler,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
sociologist,exact,True,Sociologists,19-3041,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
soldier,close,True,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019,55-0000,medium,Soldier maps to military enlisted tactical roles; OEWS military coverage is limited/caveated.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
sommelier,broad,True,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,35-0000,low,Sommelier is not separate in OEWS; food service supervisory proxy is weak.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
specialist,ambiguous,False,"Business Operations Specialists, All Other",13-1199,13-0000,low,Specialist is generic.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
spirit,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
spy,ambiguous,False,"First-Line Supervisors of Protective Service Workers, All Other",33-1099,33-0000,low,Spy/intelligence role is not cleanly public-OEWS measurable.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
statistician,exact,True,Statisticians,15-2041,15-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
stoic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
strategist,ambiguous,False,Project Management Specialists,13-1082,13-0000,low,Strategist is generic and not cleanly measured.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
student,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
summarizer,ambiguous,False,Proofreaders and Copy Markers,43-9081,43-0000,low,"Summarizer is a task/function, not an occupation.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
supervisor,broad,True,First-Line Supervisors of Office and Administrative Support Workers,43-1011,43-0000,low,Supervisor is generic; office/admin supervisor is one proxy.,BLS OEWS national cross-industry estimates,May 2025,1436680.0,69500.0,73490.0,33.41,,14.177845454111214,11.149082031552883
surfer,ambiguous,False,Amusement and Recreation Attendants,39-3091,39-0000,low,Surfer is usually hobby/identity; professional mapping is weak.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
survivor,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
swarm,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
symbiont,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
synthesizer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
teacher,broad,True,"Teachers and Instructors, All Other",25-3099,25-0000,medium,Teacher is broad; all-other teachers avoids choosing grade level.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
technologist,broad,True,"Computer Occupations, All Other",15-1299,15-0000,low,Technologist is generic.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
teenager,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
theorist,ambiguous,False,"Social Scientists and Related Workers, All Other",19-3099,19-0000,low,"Theorist is a scholarly function, not an occupation.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
therapist,broad,True,"Therapists, All Other",29-1129,29-0000,medium,Therapist is broad; all-other therapist category avoids choosing discipline.,BLS OEWS national cross-industry estimates,May 2025,22640.0,77930.0,90420.0,37.47,,10.027473532317119,11.263566266837607
toddler,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
traditionalist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
trainer,close,True,Training and Development Specialists,13-1151,13-0000,medium,Trainer maps to training/development specialists.,BLS OEWS national cross-industry estimates,May 2025,458300.0,69280.0,75550.0,33.31,,13.035279270497215,11.145911543236316
translator,exact,True,Interpreters and Translators,27-3091,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
tree,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
trickster,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
tulpa,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
tutor,close,True,"Teachers and Instructors, All Other",25-3099,25-0000,medium,Tutor maps to teachers/instructors all other.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
validator,ambiguous,False,"Financial Specialists, All Other",13-2099,13-0000,low,"Validator is a task/function, not a clean occupation.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
vampire,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
vegan,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
veteran,ambiguous,False,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019,55-0000,low,"Veteran is prior status, not occupation; military proxy retained as ambiguous only.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
veterinarian,exact,True,Veterinarians,29-1131,29-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,83900.0,130100.0,142680.0,62.55,,11.337380892455297,11.776058664500596
vigilante,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
virtuoso,ambiguous,False,Musicians and Singers,27-2042,27-0000,low,Virtuoso is a skill/status label; musician proxy only if interpreted musically.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
virus,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
visionary,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
void,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
wanderer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
warrior,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
whale,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
widow,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
wind,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
witch,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
witness,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
workaholic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
wraith,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
writer,exact,True,Writers and Authors,27-3043,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
zealot,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
zeitgeist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
