persona,model,model_label,qwen_reference_cluster,kmeans_top3_cluster,kmeans_top5_cluster,agglomerative_top3_cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,role,match_class,include_in_analysis,matched_occupation_title,soc_code,soc_major_group,match_confidence,rationale,source_dataset,data_vintage,employment_count,annual_median_wage,annual_mean_wage,hourly_median_wage,notes_on_ambiguity,log_employment_count,log_annual_median_wage,qwen_axis_projection,axis_projection
naturalist,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,8.61510878852769,-15.77951299049146,-9.756774225081328,56.54545454545455,21.636363636363637,25.636363636363637,naturalist,close,True,Conservation Scientists,19-1031,19-0000,medium,Naturalist maps roughly to conservation science/ecology work.,BLS OEWS national cross-industry estimates,May 2025,25950.0,73010.0,77130.0,35.1,,10.163926888594034,11.198351697050132,-0.0689720803438716,-0.0689720803438716
navigator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,13.917627303010716,-2.636315376035037,-2.796962941870055,62.36363636363637,51.09090909090909,43.09090909090909,navigator,close,True,"Captains, Mates, and Pilots of Water Vessels",53-5021,53-0000,medium,Navigator is not separate; vessel navigation is a defensible occupational proxy.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0429944486357615,-0.0429944486357615
negotiator,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,31.2233200957737,-1.4123158291414102,-5.683197427288211,78.72727272727273,54.72727272727273,35.09090909090909,negotiator,ambiguous,False,Buyers and Purchasing Agents,13-1028,13-0000,low,Negotiator is a task across occupations; purchasing agents are only a weak proxy.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,0.0064177077448477,0.0064177077448477
networker,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,21.96938072654588,11.672345534665345,-15.009154384301947,66.72727272727273,73.27272727272727,15.454545454545457,networker,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0063513142429976,-0.0063513142429976
newlywed,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-3.479967724814695,36.00899096720861,-29.969727409634192,43.45454545454545,93.27272727272728,3.8181818181818183,newlywed,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0448606473749424,-0.0448606473749424
nomad,qwen,Qwen/Qwen3-32B,grounded_social,6,1,6,-15.42630275151617,9.14586687685754,-9.445522291024112,34.36363636363637,71.0909090909091,27.09090909090909,nomad,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1182152232729449,-0.1182152232729449
novelist,qwen,Qwen/Qwen3-32B,grounded_social,3,3,2,-15.50911152581556,-8.063067558421416,2.9112091218522704,33.63636363636363,37.27272727272727,58.72727272727273,novelist,exact,True,Writers and Authors,27-3043,27-0000,high,Novelist is a writer/author specialization.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.1510894638726529,-0.1510894638726529
nutritionist,qwen,Qwen/Qwen3-32B,editorial,6,0,6,35.13055107573782,2.036326890574712,-12.03740573031993,87.81818181818181,60.90909090909091,19.818181818181817,nutritionist,exact,True,Dietitians and Nutritionists,29-1031,29-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0408632799084646,0.0408632799084646
observer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,34.08950356718077,-12.40563528155868,1.7311935048127003,85.27272727272727,26.727272727272727,55.45454545454545,observer,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,0.0195074742264166,0.0195074742264166
optimist,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,0.2315166100462104,22.207881596081165,-31.27095275527641,48.18181818181818,87.0909090909091,2.363636363636364,optimist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0326346653810115,-0.0326346653810115
oracle,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-45.70498289945283,-34.548759949630046,-2.55997905817604,7.818181818181818,2.0,43.81818181818182,oracle,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2290641967806221,-0.2290641967806221
organizer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.56979906601352,-2.052557699758866,0.1270090047084768,90.36363636363636,54.0,49.27272727272727,organizer,broad,True,Project Management Specialists,13-1082,13-0000,low,Organizer is broad; project management is a rough proxy.,BLS OEWS national cross-industry estimates,May 2025,1066670.0,102320.0,110740.0,49.19,,13.880052204096962,11.535860436252724,0.037051340088121,0.037051340088121
orphan,qwen,Qwen/Qwen3-32B,grounded_social,5,1,4,-23.437724963798505,36.54256528314369,-18.765496053554372,27.09090909090909,94.0,10.727272727272728,orphan,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1139562529584242,-0.1139562529584242
pacifist,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,4,12.630986381602284,-12.379609682146535,-28.496481151602417,60.54545454545455,27.09090909090909,5.2727272727272725,pacifist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0286638738040857,-0.0286638738040857
paramedic,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,26.068793283586658,7.004017776313917,-5.833327824932895,71.0909090909091,68.18181818181819,34.72727272727273,paramedic,exact,True,Emergency Medical Technicians and Paramedics,29-2042,29-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,180510.0,44470.0,46830.0,21.38,,12.103541456882507,10.702570083504742,0.0033236317314867,0.0033236317314867
parasite,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-18.321895580430677,-13.157745399089244,23.00229048300755,31.09090909090909,25.636363636363637,89.27272727272727,parasite,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.158956901113569,-0.158956901113569
parent,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,7.071280585175005,28.571431505867864,-28.68483601071004,55.45454545454545,90.0,4.545454545454546,parent,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0152573156562151,-0.0152573156562151
patient,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,0.4118924476811841,29.18821062045674,-27.329047579830352,48.54545454545455,90.36363636363636,6.363636363636363,patient,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0342782046652745,-0.0342782046652745
peacekeeper,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,24.312096355499097,-2.6401381617890443,-18.909350278569132,68.9090909090909,50.72727272727273,10.363636363636363,peacekeeper,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,0.0041071666830843,0.0041071666830843
perfectionist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,19.958135014208217,-9.866846352847006,11.9032553390621,64.9090909090909,33.27272727272727,80.54545454545455,perfectionist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0483810536334246,-0.0483810536334246
pharmacist,qwen,Qwen/Qwen3-32B,editorial,0,0,3,37.875918584327394,-4.241318525980347,-3.806829987629841,91.0909090909091,46.72727272727273,39.81818181818182,pharmacist,exact,True,Pharmacists,29-1051,29-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,321970.0,140910.0,140920.0,67.75,,12.682213652484302,11.85587666768915,0.036170341226547,0.036170341226547
philosopher,qwen,Qwen/Qwen3-32B,procedural_professional,3,3,2,5.320794731168519,-30.943900244388416,3.955250764986933,53.27272727272727,6.0,62.36363636363637,philosopher,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0979486700362793,-0.0979486700362793
photographer,qwen,Qwen/Qwen3-32B,grounded_social,6,1,6,-8.988149069217025,4.756180455515376,-12.08411778630928,40.18181818181818,66.0,19.454545454545453,photographer,exact,True,Photographers,27-4021,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.1160747348575978,-0.1160747348575978
physicist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,29.160210572326207,-17.27788926237037,11.471327878860553,75.45454545454545,19.09090909090909,79.0909090909091,physicist,exact,True,Physicists,19-2012,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,20430.0,172250.0,171180.0,82.81,,9.924759687811667,12.056702188875905,-0.0248736938215054,-0.0248736938215054
pilgrim,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.74066166829176,-28.502017567429675,-27.98757063931217,12.545454545454543,9.272727272727272,5.636363636363637,pilgrim,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2020176168333352,-0.2020176168333352
pilot,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,26.581052394022866,1.9915876437092344,4.152483513449458,72.18181818181819,60.54545454545455,62.72727272727273,pilot,close,True,Commercial Pilots,53-2012,53-0000,medium,Pilot is broad; commercial pilots is a concrete OEWS category.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0127474826542724,-0.0127474826542724
pirate,qwen,Qwen/Qwen3-32B,trickster_chaos,1,5,5,-52.65361030236547,20.27184878665976,24.65869165707304,3.8181818181818183,83.81818181818181,91.0909090909091,pirate,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2208209978375184,-0.2208209978375184
planner,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.859469808422354,-3.0144967321446146,3.6232501386652176,96.54545454545456,48.90909090909091,61.63636363636363,planner,close,True,Urban and Regional Planners,19-3051,19-0000,medium,"Generic planner maps to urban/regional planners, but planning work is broader.",BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0457591541739792,0.0457591541739792
playwright,qwen,Qwen/Qwen3-32B,grounded_social,6,3,0,-9.817577824625298,4.585625090298109,4.301205546880305,39.09090909090909,65.63636363636364,63.45454545454545,playwright,close,True,Writers and Authors,27-3043,27-0000,medium,Playwright is an author specialization.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.1227795175167618,-0.1227795175167618
podcaster,qwen,Qwen/Qwen3-32B,grounded_social,6,1,4,0.844643011644405,21.108976092780004,-9.123879102789829,49.27272727272727,85.27272727272727,28.545454545454547,podcaster,close,True,Broadcast Announcers and Radio Disc Jockeys,27-3011,27-0000,medium,Podcasting maps roughly to broadcast/on-air media work.,BLS OEWS national cross-industry estimates,May 2025,21240.0,47340.0,78720.0,22.76,,9.963641475355875,10.765110883067974,-0.0754333644203291,-0.0754333644203291
poet,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-59.20142532525757,-14.699961268935272,-3.619136265560653,0.5454545454545454,23.818181818181817,40.18181818181818,poet,close,True,Writers and Authors,27-3043,27-0000,medium,Poet is an author specialization.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.2600630122843306,-0.2600630122843306
polymath,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,29.720850667901736,-13.729703567482382,7.308061936347886,76.54545454545455,24.90909090909091,68.9090909090909,polymath,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0091549776566271,-0.0091549776566271
pragmatist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,0,28.854692167298147,13.113668128383202,6.330062217535601,75.0909090909091,75.81818181818181,66.36363636363636,pragmatist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,0.0188043967187439,0.0188043967187439
predator,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,5,2,-27.057555884093745,-9.130771488143829,16.6288969000662,23.09090909090909,34.36363636363637,85.63636363636364,predator,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1787018872396897,-0.1787018872396897
presenter,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,19.601709881277337,13.057713716436105,-9.65920381510116,64.54545454545455,75.45454545454545,26.0,presenter,close,True,Broadcast Announcers and Radio Disc Jockeys,27-3011,27-0000,medium,Presenter maps roughly to broadcast announcers.,BLS OEWS national cross-industry estimates,May 2025,21240.0,47340.0,78720.0,22.76,,9.963641475355875,10.765110883067974,-0.0016625556817,-0.0016625556817
prey,qwen,Qwen/Qwen3-32B,grounded_social,4,2,0,-42.05161894639997,1.305190751278503,-0.331029766635955,10.363636363636363,58.72727272727273,48.18181818181818,prey,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1940157257275102,-0.1940157257275102
prisoner,qwen,Qwen/Qwen3-32B,grounded_social,5,5,0,-22.403887985272736,38.78143159675656,-0.1395707470484238,27.818181818181817,95.0909090909091,48.54545454545455,prisoner,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1189227973698651,-0.1189227973698651
procrastinator,qwen,Qwen/Qwen3-32B,other,5,4,5,-16.543519361707126,69.46824957094978,16.77210260508193,32.54545454545455,98.72727272727272,86.36363636363636,procrastinator,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0779402042171438,-0.0779402042171438
prodigy,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,2,7.5374629637944,-5.845253006223923,7.614531377450144,55.81818181818182,43.45454545454545,70.72727272727273,prodigy,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0762573973663139,-0.0762573973663139
producer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,30.51527415300469,4.303532473700674,0.6252983179265796,77.27272727272727,65.27272727272727,51.81818181818182,producer,exact,True,Producers and Directors,27-2012,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,143120.0,90360.0,113300.0,43.44,,11.8714387181826,11.41155697058194,-0.0041122649144917,-0.0041122649144917
programmer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,31.80584373591556,1.9340633043786184,12.957046087253168,79.45454545454545,60.18181818181818,82.36363636363636,programmer,exact,True,Computer Programmers,15-1251,15-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0025640589870162,-0.0025640589870162
proofreader,qwen,Qwen/Qwen3-32B,editorial,0,0,3,32.67923476301442,1.5923600380183056,0.5921322465837462,81.63636363636364,59.81818181818182,51.45454545454545,proofreader,exact,True,Proofreaders and Copy Markers,43-9081,43-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0381339724456227,0.0381339724456227
prophet,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-53.77668383419537,-32.70779966362358,1.969146856150317,2.363636363636364,3.8181818181818183,56.54545454545455,prophet,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2502975241595037,-0.2502975241595037
provincial,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-22.102235548423007,23.678003277886837,-19.095904138891143,28.181818181818183,88.18181818181819,9.636363636363637,provincial,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1164185846438595,-0.1164185846438595
provocateur,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,-23.79219557322691,22.517386586843884,34.501806164348494,26.727272727272727,87.45454545454545,98.72727272727272,provocateur,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1674905603984499,-0.1674905603984499
psychologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,34.99288150979374,-6.252967758206258,-4.4097280957733895,87.45454545454545,42.72727272727273,38.36363636363637,psychologist,broad,True,"Psychologists, All Other",19-3039,19-0000,medium,Generic psychologist maps to all-other psychologists.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0227261219476845,0.0227261219476845
publisher,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,33.94754559561791,-5.102974346258163,0.9869674615472566,84.54545454545455,45.27272727272727,52.90909090909091,publisher,ambiguous,False,Public Relations Managers,11-2031,11-0000,low,Publisher can be executive/business owner/editorial function; no clean detailed OEWS match.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,0.0104113655453231,0.0104113655453231
purist,qwen,Qwen/Qwen3-32B,procedural_professional,3,3,2,2.7065098789784225,-29.726927781510845,10.257805450423296,51.81818181818182,7.090909090909091,76.54545454545455,purist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1054926193925199,-0.1054926193925199
realist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,0,22.57742871288618,10.434981709023967,11.004566492834272,67.81818181818181,72.54545454545455,78.72727272727273,realist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0016607585553037,-0.0016607585553037
rebel,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,-24.268899156407024,23.900384701977853,27.92613602114948,25.272727272727273,88.54545454545455,95.0909090909091,rebel,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1639135368703598,-0.1639135368703598
recruiter,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,32.779987577390536,7.866916749976879,-4.199998267816572,82.0,69.27272727272727,39.45454545454545,recruiter,close,True,Human Resources Specialists,13-1071,13-0000,medium,Recruiter maps to HR specialists.,BLS OEWS national cross-industry estimates,May 2025,912430.0,75940.0,81990.0,36.51,,13.723866649167475,11.237698833785794,0.0143751713451163,0.0143751713451163
refugee,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-13.329593217182394,16.146132517610376,-28.55933475795766,36.18181818181818,79.45454545454545,4.909090909090909,refugee,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0894148253600607,-0.0894148253600607
reporter,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,27.71536206364844,1.3618124980580042,1.0291706374539542,73.63636363636364,59.09090909090909,53.27272727272727,reporter,exact,True,"News Analysts, Reporters, and Journalists",27-3023,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,39250.0,,102460.0,29.91,,10.577706723210554,,0.0030081410092854,0.0030081410092854
researcher,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.885078527916185,-11.11650770227148,7.604311405121344,96.9090909090909,31.09090909090909,70.36363636363636,researcher,broad,True,"Social Scientists and Related Workers, All Other",19-3099,19-0000,low,Researcher is cross-occupational; broad social-science proxy used only cautiously.,BLS OEWS national cross-industry estimates,May 2025,37100.0,101110.0,107690.0,48.61,,10.521372248595526,11.523964312085445,0.0419891122231937,0.0419891122231937
retiree,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-3.851535070504673,26.58838153245354,-17.85468993766834,42.72727272727273,89.27272727272727,11.818181818181818,retiree,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0646995296405501,-0.0646995296405501
revenant,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,1,-54.5261248908809,-20.04352558252987,7.052731092841881,1.6363636363636365,15.454545454545457,67.45454545454545,revenant,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2460725535462319,-0.2460725535462319
reviewer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.7347392541523,-9.962990674461532,4.517298237253409,96.1818181818182,32.90909090909091,64.18181818181819,reviewer,ambiguous,False,"Financial Specialists, All Other",13-2099,13-0000,low,"Reviewer is a task/function, not a clean occupation.",,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,0.0389724452498019,0.0389724452498019
revolutionary,qwen,Qwen/Qwen3-32B,combative_iconoclast,3,3,2,-11.514294493808803,-5.725035389572634,18.037641703864065,36.90909090909091,43.81818181818182,87.0909090909091,revolutionary,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1376830954826758,-0.1376830954826758
robot,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.53420471293243,-16.111109510498974,24.74639416375101,90.0,21.272727272727273,91.45454545454544,robot,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,0.0125281178842602,0.0125281178842602
rogue,qwen,Qwen/Qwen3-32B,trickster_chaos,1,5,5,-26.63779222038455,20.61712152150776,30.236946976694405,23.818181818181817,84.54545454545455,96.54545454545456,rogue,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1683658206417,-0.1683658206417
romantic,qwen,Qwen/Qwen3-32B,grounded_social,2,1,1,-35.8744478824665,-2.691352987578038,-30.824384306359256,16.181818181818183,50.0,2.727272727272727,romantic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1708287562243684,-0.1708287562243684
saboteur,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,5.936886772957386,-0.7753230926177525,34.773661727198686,54.0,55.81818181818182,99.0909090909091,saboteur,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.0992902032685712,-0.0992902032685712
sage,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-30.695828475798436,-30.20544571609462,-17.780813224236542,20.90909090909091,6.7272727272727275,12.181818181818182,sage,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1823274571949961,-0.1823274571949961
scheduler,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.321814471220875,2.676388807168389,1.1496200050579046,89.27272727272727,62.0,53.63636363636363,scheduler,close,True,"Production, Planning, and Expediting Clerks",43-5061,43-0000,medium,"Scheduling maps to planning/expediting clerks, but role is generic.",BLS OEWS national cross-industry estimates,May 2025,390160.0,59650.0,62150.0,28.68,,12.874312190383934,10.996249427526061,0.0267695333859918,0.0267695333859918
scholar,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,36.46895888203403,-21.045065510116306,8.530280039566422,88.54545454545455,14.0,72.18181818181819,scholar,ambiguous,False,"Education Teachers, Postsecondary, All Other",25-1089,25-0000,low,Scholar is status/role rather than occupation; postsecondary teacher all-other is weak.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,0.0096057778691961,0.0096057778691961
scientist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,41.45494685662239,-11.64006462510226,9.72714197839115,94.36363636363636,29.272727272727273,75.45454545454545,scientist,broad,True,"Life Scientists, All Other",19-1099,19-0000,low,Scientist is broad; no single detailed SOC.,BLS OEWS national cross-industry estimates,May 2025,7460.0,93750.0,107860.0,45.07,,8.917310693197807,11.448386943832658,0.0354651160717037,0.0354651160717037
scout,qwen,Qwen/Qwen3-32B,procedural_professional,0,5,2,10.486657787148758,-3.875931482718492,7.874555341186092,58.36363636363637,47.81818181818182,71.0909090909091,scout,exact,True,Coaches and Scouts,27-2022,27-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,248950.0,47320.0,60160.0,,,12.42500735207033,10.764688318092324,-0.0690994665783507,-0.0690994665783507
screener,qwen,Qwen/Qwen3-32B,editorial,0,0,3,42.99515613399758,-2.396496643049292,3.8269725514391713,97.63636363636364,52.18181818181818,62.0,screener,close,True,Transportation Security Screeners,33-9093,33-0000,medium,Screener is broad; transportation security screeners are concrete but incomplete.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0472175547616895,0.0472175547616895
secretary,qwen,Qwen/Qwen3-32B,editorial,0,0,3,40.75581360055688,-3.4001063077100855,-1.0785926684204832,93.63636363636364,48.18181818181818,47.09090909090909,secretary,exact,True,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,43-0000,high,Direct occupational title in SOC title.,BLS OEWS national cross-industry estimates,May 2025,1706790.0,,49350.0,22.86,,14.350124971361547,,0.0430159065415004,0.0430159065415004
shaman,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-41.92268882095782,-32.19495045286243,-27.77048952913973,10.727272727272728,4.545454545454546,6.0,shaman,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2034926402911471,-0.2034926402911471
shapeshifter,qwen,Qwen/Qwen3-32B,grounded_social,4,2,0,-26.64773518456242,-7.225543855234675,-3.341381492471957,23.454545454545453,39.45454545454545,40.90909090909091,shapeshifter,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1615589309491288,-0.1615589309491288
simulacrum,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-21.385336051716383,-19.503990009894128,17.06559929679572,29.272727272727273,16.181818181818183,86.72727272727273,simulacrum,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.185401590982346,-0.185401590982346
skeptic,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,32.78735612740642,-6.743944320322114,18.66172770857411,82.36363636363636,41.27272727272727,87.45454545454545,skeptic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,0.0038257646188729,0.0038257646188729
smuggler,qwen,Qwen/Qwen3-32B,grounded_social,1,5,5,-25.843835187178374,33.794271711037084,28.07200562573228,24.545454545454547,91.45454545454544,95.45454545454544,smuggler,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.1592823903250059,-0.1592823903250059
sociologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,38.94756716727445,-14.409399556209522,1.9980950737288012,92.1818181818182,24.545454545454547,56.90909090909091,sociologist,exact,True,Sociologists,19-3041,19-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,0.0132636169942407,0.0132636169942407
soldier,qwen,Qwen/Qwen3-32B,grounded_social,1,5,0,-2.826690471296987,10.681442543898171,13.901981342472537,44.90909090909091,72.9090909090909,83.45454545454545,soldier,close,True,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019,55-0000,medium,Soldier maps to military enlisted tactical roles; OEWS military coverage is limited/caveated.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.1000631343769938,-0.1000631343769938
sommelier,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,-0.1550386404369511,-5.315890184326033,-4.9826497991166185,47.81818181818182,44.54545454545455,36.90909090909091,sommelier,broad,True,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,35-0000,low,Sommelier is not separate in OEWS; food service supervisory proxy is weak.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,,-0.0964030697851435,-0.0964030697851435
specialist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,38.63777640442977,-9.666786051990815,12.7900662017412,91.45454545454544,33.63636363636363,82.0,specialist,ambiguous,False,"Business Operations Specialists, All Other",13-1199,13-0000,low,Specialist is generic.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,0.0217728202122568,0.0217728202122568
spirit,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-45.035815948931045,-33.236635908839105,-18.033566926794315,8.545454545454545,3.090909090909091,11.454545454545457,spirit,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,,-0.2178397700987245,-0.2178397700987245
spy,qwen,Qwen/Qwen3-32B,procedural_professional,1,5,5,0.7214741115745064,2.5354264902291224,32.136985922802786,48.90909090909091,61.63636363636363,98.0,spy,ambiguous,False,"First-Line Supervisors of Protective Service Workers, All Other",33-1099,33-0000,low,Spy/intelligence role is not cleanly public-OEWS measurable.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,,-0.1111356346641635,-0.1111356346641635
