pc,trait,canonical_definition,pole,pearson_r,pearson_r_squared,spearman_rho,p_value,BH_FDR_q,bootstrap_sign_stability,bootstrap_positive_fraction,bootstrap_negative_fraction,bootstrap_nonfinite_count,bootstrap_resamples,bootstrap_seed,rank_by_absolute_r,rank_within_positive_or_negative_pole
PC1,fundamentalist,Adheres strictly to basic principles without compromise or interpretation.,negative,-0.5472458952039374,0.29947806981755887,-0.46759643403248613,6.945862368843163e-23,1.0103072536499146e-22,1.0,0.0,1.0,0,2000,20260913,165,118
PC1,efficient,Prioritizes getting to solutions quickly with minimum wasted effort. Streamlines explanations and focuses on actionable outcomes over comprehensive coverage.,negative,-0.5430538369149425,0.29490746978804094,-0.5676518277026052,1.7002585484247504e-22,2.458205130252651e-22,1.0,0.0,1.0,0,2000,20260913,166,119
PC1,curious,Shows genuine interest in learning and exploring new topics and ideas.,negative,-0.5375974608180266,0.28901102987798966,-0.5748778165661695,5.351582264143088e-22,7.690896667031982e-22,1.0,0.0,1.0,0,2000,20260913,167,120
PC1,open_ended,Comfortable with ambiguity and keeping options open.,negative,-0.5336109644576729,0.2847406613894478,-0.5787195983958917,1.2207538023996041e-21,1.743934003428006e-21,1.0,0.0,1.0,0,2000,20260913,168,121
PC1,ascetic,"Values self-discipline, denial of pleasures, and spiritual over material pursuits.",negative,-0.5239875411515929,0.2745629432820922,-0.4481267130203975,8.549219638925074e-21,1.214090362924271e-20,1.0,0.0,1.0,0,2000,20260913,169,122
PC1,humanistic,"Prioritizes human values, cultural understanding, and social considerations.",negative,-0.5000915117081113,0.250091520082504,-0.542198436282854,8.28754473669524e-19,1.1700063157687398e-18,1.0,0.0,1.0,0,2000,20260913,170,123
PC1,transparent,"Communicates with complete openness, clarity, and nothing hidden or obscured.",positive,0.9868194522104361,0.9738126312609052,0.986410663281498,5.737467477384612e-218,1.3769921945723068e-215,1.0,1.0,0.0,0,2000,20260913,1,1
PC1,factual,"Prioritizes accuracy, verification, and evidence-based information.",positive,0.9456984407557505,0.8943455408478577,0.9504832520700499,2.939076905718509e-135,5.42598813363417e-134,1.0,1.0,0.0,0,2000,20260913,13,2
PC1,analytical,Breaks down complex topics into logical components and examines each part systematically.,positive,0.9380054580902012,0.8798542394070082,0.9457130492484348,1.2337974195490004e-127,1.8506961293235007e-126,1.0,1.0,0.0,0,2000,20260913,16,3
PC1,methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",positive,0.9025672011770136,0.8146275526405078,0.9216762355385015,6.5432035076805064e-102,6.281475367373286e-101,1.0,1.0,0.0,0,2000,20260913,25,4
PC1,secular,Approaches topics without religious considerations or spiritual frameworks.,positive,0.8915370092056845,0.7948382387834168,0.9152592250656358,6.824582843437261e-96,5.2835480078223955e-95,1.0,1.0,0.0,0,2000,20260913,31,5
PC1,data_driven,"Relies on statistics, research, and quantitative evidence.",positive,0.8751395158746363,0.7658691722452928,0.8878168546781686,4.698954609704028e-88,3.126367037085799e-87,1.0,1.0,0.0,0,2000,20260913,36,6
PC1,rationalist,Believes reason and logic are primary sources of knowledge and truth.,positive,0.8747490401815121,0.7651858832984767,0.8883494417356683,6.997580624050191e-88,4.419524604663278e-87,1.0,1.0,0.0,0,2000,20260913,38,7
PC1,educational,"Focuses on teaching, learning, and knowledge transfer.",positive,0.8660648547633881,0.7500683326563286,0.8963474798765182,3.5317631084091928e-84,2.173392682097965e-83,1.0,1.0,0.0,0,2000,20260913,39,8
PC1,quantitative,"Prefers numerical data, statistics, and measurable metrics in explanations.",positive,0.8619836254162014,0.7430157704856583,0.8775003606358732,1.5836200995649303e-82,9.501720597389582e-82,1.0,1.0,0.0,0,2000,20260913,40,9
PC1,utilitarian,Judges actions by their consequences and overall benefit to majority.,positive,0.8565777800655576,0.7337254933020388,0.8716517122991257,2.0305413469873457e-80,1.1237441160691562e-79,1.0,1.0,0.0,0,2000,20260913,43,10
PC1,cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",positive,0.8405838386683209,0.7065811898303697,0.8580485271630941,1.1757961340456823e-74,5.426751387903149e-74,1.0,1.0,0.0,0,2000,20260913,52,11
PC1,calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",positive,0.8300749764119046,0.6890244664652241,0.8809942009751593,3.317134466218193e-71,1.349342833715875e-70,1.0,1.0,0.0,0,2000,20260913,59,12
PC1,reserved,Maintains emotional restraint and limits personal disclosure.,positive,0.8211013574562753,0.674207439216538,0.8549868728542166,1.9265186583191598e-68,7.579745540927842e-68,1.0,1.0,0.0,0,2000,20260913,61,13
PC1,moderate,Consistently seeks middle ground and avoids extreme positions.,positive,0.8209116412175199,0.6738959226864422,0.8472173336026081,2.195477295410669e-68,8.49862178868646e-68,1.0,1.0,0.0,0,2000,20260913,62,14
PC1,dispassionate,"Maintains emotional distance, objectivity, and neutrality regardless of topic.",positive,0.820169868419593,0.6726786130634126,0.8431245492051587,3.654225552547886e-68,1.392085924780147e-67,1.0,1.0,0.0,0,2000,20260913,63,15
PC1,literal,Interprets information directly and focuses on explicit meanings.,positive,0.8183766257538988,0.6697403015803369,0.8436496350364963,1.2402783433720867e-67,4.651043787645325e-67,1.0,1.0,0.0,0,2000,20260913,64,16
PC1,problem_solving,Focuses on identifying issues and developing practical solutions.,positive,0.8178651573293317,0.6689034155733325,0.8192775742188626,1.7531444971335435e-67,6.473148912493084e-67,1.0,1.0,0.0,0,2000,20260913,65,17
PC1,regulatory,"Emphasizes rules, standards, and compliance with guidelines.",positive,0.8160047739308051,0.6658637910778643,0.8367917832722656,6.117059824846495e-67,2.2243853908532712e-66,1.0,1.0,0.0,0,2000,20260913,66,18
PC1,descriptive,Explains how things are without passing judgment or making recommendations.,positive,0.8126434448156503,0.6603893684018469,0.8370150890049335,5.645429133814299e-66,1.9636275248049736e-65,1.0,1.0,0.0,0,2000,20260913,69,19
PC1,resilient,Bounces back quickly from setbacks and maintains stability through adversity.,positive,0.8097724548687197,0.6557314286641127,0.881394074031332,3.6371799569994243e-65,1.2470331281140883e-64,1.0,1.0,0.0,0,2000,20260913,70,20
PC1,structuralist,"Analyzes underlying patterns, relationships, and organizing principles in systems.",positive,0.8031772657100371,0.6450937201534516,0.8349464816364213,2.3350861701363628e-63,7.573252443685501e-63,1.0,1.0,0.0,0,2000,20260913,74,21
PC1,materialist,"Focuses exclusively on physical, measurable reality and tangible phenomena.",positive,0.8025262762420062,0.6440484240588609,0.8216456536164566,3.4913537082549976e-63,1.1172331866415992e-62,1.0,1.0,0.0,0,2000,20260913,75,22
PC1,formalist,"Prioritizes structure, form, and proper procedures over content or substance.",positive,0.7847200393519522,0.6157855401605294,0.8175759499148899,1.2080285521205272e-58,3.410904147163841e-58,1.0,1.0,0.0,0,2000,20260913,85,23
PC1,detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,positive,0.7688260170027932,0.5910934444203793,0.8016583479991923,6.070621964514539e-55,1.6370216533522352e-54,1.0,1.0,0.0,0,2000,20260913,89,24
PC1,diplomatic,Carefully navigates sensitive topics and avoids taking strong partisan stances.,positive,0.7666614162624357,0.5877697271855237,0.8262214015752574,1.8380215429435298e-54,4.794838807678773e-54,1.0,1.0,0.0,0,2000,20260913,92,25
PC1,conciliatory,"Actively seeks to make peace, reduce tensions, and find common ground.",positive,0.7521724636094566,0.5657634150123192,0.7800178875393095,2.267748035440299e-51,5.55366865822114e-51,1.0,1.0,0.0,0,2000,20260913,98,26
PC1,calculating,Strategically plans communications for maximum effect and desired outcomes.,positive,0.7436244252585559,0.5529772858411176,0.8326661088831829,1.2045618027131187e-49,2.8342630652073382e-49,1.0,1.0,0.0,0,2000,20260913,102,27
PC1,strategic,"Identifies patterns, anticipates obstacles, and develops multiple pathways.",positive,0.7345209912185534,0.5395210865406862,0.810730792533395,6.98633948057893e-48,1.627884927513537e-47,1.0,1.0,0.0,0,2000,20260913,103,28
PC1,convergent,Focuses on narrowing options to find the single best answer or solution.,positive,0.7191103353255888,0.5171196743720807,0.7411101814719714,4.669778391113265e-45,1.0573083149690411e-44,1.0,1.0,0.0,0,2000,20260913,106,29
PC1,patient,"Provides calm, understanding responses even when dealing with repetitive questions.",positive,0.7125485159988141,0.5077253876521122,0.8150238019676294,6.53798559479541e-44,1.4395564612393563e-43,1.0,1.0,0.0,0,2000,20260913,109,30
PC1,avoidant,Consistently withdraws from challenging situations and social interactions.,positive,0.6957952252022703,0.48413099541427806,0.7309350566919592,3.989748192516863e-41,8.254651432793509e-41,1.0,1.0,0.0,0,2000,20260913,116,31
PC1,conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,positive,0.6930702665241788,0.48034639433989623,0.8083904099708605,1.086288355415777e-40,2.228283805981081e-40,1.0,1.0,0.0,0,2000,20260913,117,32
PC1,grounded,Keeps communication firmly rooted in practical reality and concrete experience.,positive,0.6750258517609551,0.4556599005456029,0.6645526672629181,6.288886139446163e-38,1.2371579290713764e-37,1.0,1.0,0.0,0,2000,20260913,122,33
PC1,proactive,Anticipates needs and addresses issues before they become problems.,positive,0.667620008308328,0.445716475493612,0.6744998701710856,7.523210076695046e-37,1.456105176134525e-36,1.0,1.0,0.0,0,2000,20260913,124,34
PC1,stoic,Maintains calm composure and emotional control regardless of circumstances.,positive,0.6650852042104038,0.44233832885959457,0.7383780040968235,1.7307268443744635e-36,3.2706649027548914e-36,1.0,1.0,0.0,0,2000,20260913,127,35
PC1,reductionist,Breaks complex phenomena into simpler component parts.,positive,0.6490103403031007,0.4212144218203465,0.669856611176827,2.8361671862047683e-34,5.079702423053316e-34,1.0,1.0,0.0,0,2000,20260913,134,36
PC1,meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",positive,0.6476820968311452,0.41949209855558894,0.7369285363953724,4.263348263388514e-34,7.57928580157958e-34,1.0,1.0,0.0,0,2000,20260913,135,37
PC1,contemporary,"Focuses on current events, modern trends, and recent developments.",positive,0.6187366281455304,0.3828350150089004,0.5799267187905716,1.9020405413224716e-30,3.1266419857355693e-30,1.0,1.0,0.0,0,2000,20260913,146,38
PC1,serious,"Maintains a formal, professional tone and focuses on substantive content. Avoids humor or casual language in favor of gravitas.",positive,0.6142213962796912,0.37726792364777345,0.7151068924728081,6.526581755681284e-30,1.0655643682744953e-29,1.0,1.0,0.0,0,2000,20260913,147,39
PC1,exploratory,Presents multiple options and encourages continued investigation.,positive,0.6133987285214586,0.37625800015174204,0.595795274227518,8.153030785448376e-30,1.3132398580587988e-29,1.0,1.0,0.0,0,2000,20260913,149,40
PC1,cosmopolitan,Embraces global citizenship and values all cultures equally.,positive,0.6124437630659448,0.3750873629183752,0.6510268024580942,1.0547208292840357e-29,1.687553326854457e-29,1.0,1.0,0.0,0,2000,20260913,150,41
PC1,technical,Specializes in detailed technical explanations and scientific accuracy.,positive,0.6114901156159589,0.37392016149601875,0.6742078993681659,1.3627703962554735e-29,2.1659926827901567e-29,1.0,1.0,0.0,0,2000,20260913,151,42
PC1,prescriptive,"Provides specific rules, guidelines, and instructions for what should be done.",positive,0.5909753702377913,0.34925188822769454,0.6286841118259716,2.753341409935041e-27,4.290921677820843e-27,1.0,1.0,0.0,0,2000,20260913,154,43
PC1,perfectionist,"Strives for flawless accuracy, completeness, and high standards.",positive,0.5621766866398556,0.3160426270013664,0.6479351432445689,2.5804656937670857e-24,3.8706985406506286e-24,1.0,1.0,0.0,0,2000,20260913,160,44
PC1,agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,positive,0.5604480909886256,0.3141020626927947,0.5869311329736592,3.810340261522786e-24,5.68001032773583e-24,1.0,1.0,0.0,0,2000,20260913,161,45
PC1,formal,"Uses professional language, proper grammar, and maintains a respectful tone.",positive,0.5536793231147085,0.30656079284476173,0.6510770029716396,1.7153241084959564e-23,2.5256305891965005e-23,1.0,1.0,0.0,0,2000,20260913,163,46
PC1,traditional,"Values established methods, conventional wisdom, and proven approaches.",positive,0.5489587334301582,0.30135569100924353,0.6126112922304607,4.800591940395865e-23,7.02525649814029e-23,1.0,1.0,0.0,0,2000,20260913,164,47
PC2,introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",negative,-0.9540791344735009,0.9102669948377046,-0.9601569487320042,6.049202231431249e-145,1.4518085355434999e-142,1.0,0.0,1.0,0,2000,20260914,1,1
PC2,ritualistic,"Values established procedures, formal processes, and ceremonial approaches.",negative,-0.9446202584792598,0.8923074327294236,-0.916073973630305,3.993609111428736e-134,4.7923309337144833e-132,1.0,0.0,1.0,0,2000,20260914,2,2
PC2,pensive,"Shows thoughtful consideration, deep reflection, and contemplative approach.",negative,-0.9318635456705224,0.8683696677496379,-0.9321265976169182,3.205978299593241e-122,1.9235869797559447e-120,1.0,0.0,1.0,0,2000,20260914,4,3
PC2,theoretical,"Emphasizes abstract concepts, models, and conceptual frameworks.",negative,-0.9007728765281824,0.8113917750888561,-0.9083517498052567,6.958331016661667e-101,2.7833324066646666e-99,1.0,0.0,1.0,0,2000,20260914,6,4
PC2,abstract,"Thinks in terms of concepts, patterns, and theoretical frameworks.",negative,-0.8976890829027612,0.8058456895628004,-0.8907475260379101,3.6477573602128335e-99,1.2506596663586857e-97,1.0,0.0,1.0,0,2000,20260914,7,5
PC2,reverent,"Shows deep respect, honor, and veneration for traditions and authority.",negative,-0.8875421021761483,0.7877309831352564,-0.8510781570064337,7.159284031124491e-94,2.1477852093373474e-92,1.0,0.0,1.0,0,2000,20260914,8,6
PC2,conceptual,"Works primarily with ideas, theories, and abstract frameworks rather than concrete details.",negative,-0.8798938143598115,0.7742131245486584,-0.875098237211852,3.2994616919085164e-90,8.798564511756043e-89,1.0,0.0,1.0,0,2000,20260914,9,7
PC2,principled,Adheres to consistent ethical framework and clearly stated values. Makes decisions based on moral rules rather than situational convenience.,negative,-0.8515795062454354,0.7251876554572196,-0.8397264937537868,1.5173500703167905e-78,3.641640168760298e-77,1.0,0.0,1.0,0,2000,20260914,10,8
PC2,solemn,Maintains gravity and seriousness appropriate to weighty matters and formal occasions.,negative,-0.8395828383626303,0.7048993424730505,-0.7330642508871642,2.5684315661062533e-74,5.603850689686371e-73,1.0,0.0,1.0,0,2000,20260914,11,9
PC2,erudite,Displays extensive scholarly knowledge and learning across multiple disciplines.,negative,-0.8338676738285934,0.6953352974563094,-0.8022434436398258,2.0109298586763794e-72,4.0218597173527585e-71,1.0,0.0,1.0,0,2000,20260914,12,10
PC2,formal,"Uses professional language, proper grammar, and maintains a respectful tone.",negative,-0.8154571806834929,0.6649704135282708,-0.6945581489281902,8.812909283930366e-67,1.6269986370332984e-65,1.0,0.0,1.0,0,2000,20260914,13,11
PC2,big_picture,"Focuses on overarching themes, general principles, and broad perspectives.",negative,-0.7968933771211331,0.6350390544995244,-0.7482005712472231,1.0660817658995258e-61,1.7057308254392412e-60,1.0,0.0,1.0,0,2000,20260914,15,12
PC2,essentialist,"Believes in fundamental, unchanging nature or essence of things and concepts.",negative,-0.7847524230727061,0.6158363655184835,-0.7756706384697498,1.1863614448010781e-58,1.6748632161897572e-57,1.0,0.0,1.0,0,2000,20260914,17,13
PC2,ascetic,"Values self-discipline, denial of pleasures, and spiritual over material pursuits.",negative,-0.7729877045084298,0.5975099913212116,-0.763027033265053,6.9711226430785465e-56,8.805628601783427e-55,1.0,0.0,1.0,0,2000,20260914,19,14
PC2,perfectionist,"Strives for flawless accuracy, completeness, and high standards.",negative,-0.772362399973973,0.5965436768935555,-0.67160555090736,9.678411742126124e-56,1.161409409055135e-54,1.0,0.0,1.0,0,2000,20260914,20,15
PC2,serious,"Maintains a formal, professional tone and focuses on substantive content. Avoids humor or casual language in favor of gravitas.",negative,-0.7663665914187603,0.587317752442809,-0.6280557398805575,2.1353874389627712e-54,2.4404427873860243e-53,1.0,0.0,1.0,0,2000,20260914,21,16
PC2,esoteric,Uses specialized knowledge and references accessible only to initiated few.,negative,-0.7647694309722846,0.5848722825496719,-0.7702455209024552,4.7931722361466756e-54,5.228915166705465e-53,1.0,0.0,1.0,0,2000,20260914,22,17
PC2,serene,Maintains peaceful calm and tranquil composure in all situations.,negative,-0.7459627550514221,0.5564604319239079,-0.640619139667061,4.1282161206089054e-50,3.81066103440822e-49,1.0,0.0,1.0,0,2000,20260914,26,18
PC2,meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",negative,-0.7374388355507936,0.5438160361785104,-0.6146077724243386,1.936565145913724e-48,1.6599129822117632e-47,1.0,0.0,1.0,0,2000,20260914,28,19
PC2,stoic,Maintains calm composure and emotional control regardless of circumstances.,negative,-0.7149922402632827,0.5112139036367077,-0.6018603040881683,2.4682248015541703e-44,1.9108837173322607e-43,1.0,0.0,1.0,0,2000,20260914,31,20
PC2,idealistic,"Focuses on perfect scenarios, moral principles, and aspirational goals.",negative,-0.7128833476587113,0.508202667369091,-0.6590888895300194,5.724524970375088e-44,4.293393727781316e-43,1.0,0.0,1.0,0,2000,20260914,32,21
PC2,pedantic,Overly concerned with minor details and formal rules of knowledge.,negative,-0.7039516411470415,0.495547913073613,-0.6565632843830241,1.8588509414148165e-42,1.3518915937562304e-41,1.0,0.0,1.0,0,2000,20260914,33,22
PC2,deterministic,Believes all events are predetermined by prior causes with no free will.,negative,-0.7021182612364891,0.49297005276175077,-0.7252439341046133,3.7370525023226493e-42,2.637919413404223e-41,1.0,0.0,1.0,0,2000,20260914,34,23
PC2,conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,negative,-0.6985150806589164,0.48792331790793253,-0.5325922506563574,1.4516795088826023e-41,9.677863392550682e-41,1.0,0.0,1.0,0,2000,20260914,36,24
PC2,meditative,"Provides calm, reflective responses that encourage introspection. Often incorporates mindfulness concepts and emphasizes present-moment awareness.",negative,-0.6884128382204436,0.4739122358267267,-0.6138576498081417,5.865710116559997e-40,3.80478494047135e-39,1.0,0.0,1.0,0,2000,20260914,37,25
PC2,earnest,Shows sincere conviction and genuine commitment without pretense or irony.,negative,-0.687778742075718,0.473039598051257,-0.5236565592452612,7.36147501732022e-40,4.649352642518034e-39,1.0,0.0,1.0,0,2000,20260914,38,26
PC2,eloquent,"Expresses ideas with fluent, graceful, and persuasive use of language.",negative,-0.6608846461605719,0.4367685155307843,-0.6106794379850553,6.762185718465193e-36,4.0573114310791157e-35,1.0,0.0,1.0,0,2000,20260914,40,27
PC2,elitist,Believes in natural hierarchies and superiority of certain groups or individuals.,negative,-0.6418880342246429,0.41202024848077634,-0.6313926314878394,2.4645628181594072e-33,1.4083216103768042e-32,1.0,0.0,1.0,0,2000,20260914,42,28
PC2,specialized,Demonstrates deep expertise in specific domains or fields.,negative,-0.6377127902612771,0.4066776028628237,-0.5691203369781599,8.526048003882712e-33,4.6505716384814796e-32,1.0,0.0,1.0,0,2000,20260914,44,29
PC2,deontological,Focuses on inherent rightness of actions regardless of consequences.,negative,-0.6367209299822222,0.4054135426774259,-0.6288000923227836,1.1417602028525155e-32,6.089387748546749e-32,1.0,0.0,1.0,0,2000,20260914,45,30
PC2,strategic,"Identifies patterns, anticipates obstacles, and develops multiple pathways.",negative,-0.6209870730057926,0.3856249448403016,-0.4852797091832319,1.0211286033949738e-30,5.2142737194636955e-30,1.0,0.0,1.0,0,2000,20260914,47,31
PC2,calculating,Strategically plans communications for maximum effect and desired outcomes.,negative,-0.6167026521424472,0.38032216115952827,-0.4652023888520239,3.322791013041362e-30,1.661395506520681e-29,1.0,0.0,1.0,0,2000,20260914,48,32
PC2,collectivistic,Prioritizes group needs and collective well-being over individual interests.,negative,-0.6124565176705503,0.3751029860371371,-0.5523447101930123,1.0511061364376405e-29,5.148274953980279e-29,1.0,0.0,1.0,0,2000,20260914,49,33
PC2,fundamentalist,Adheres strictly to basic principles without compromise or interpretation.,negative,-0.6113030808864774,0.37369145670129916,-0.6202031101237703,1.4328617807723423e-29,6.742878968340435e-29,1.0,0.0,1.0,0,2000,20260914,51,34
PC2,technical,Specializes in detailed technical explanations and scientific accuracy.,negative,-0.60890143986854,0.3707609634739812,-0.5229901041516402,2.720262702232738e-29,1.2555058625689563e-28,1.0,0.0,1.0,0,2000,20260914,52,35
PC2,epicurean,Seeks refined pleasures and sophisticated enjoyment of life's offerings.,negative,-0.6016547047969146,0.3619883838042625,-0.5731773462969908,1.8216927423582438e-28,8.096412188258862e-28,1.0,0.0,1.0,0,2000,20260914,54,36
PC2,patient,"Provides calm, understanding responses even when dealing with repetitive questions.",negative,-0.5717449382622893,0.32689227442854907,-0.4024956002423473,2.861604556402629e-25,1.1841122302355706e-24,1.0,0.0,1.0,0,2000,20260914,58,37
PC2,absolutist,Maintains that certain truths and values are universal and unchanging.,negative,-0.5707154710750755,0.32571614892444534,-0.5630899281613341,3.638040281555804e-25,1.4798807924972761e-24,1.0,0.0,1.0,0,2000,20260914,59,38
PC2,historical,"Frequently references past events, historical context, and temporal patterns.",negative,-0.5396284016555658,0.2911988118733407,-0.5853454891664984,3.5009728806426274e-22,1.3128648302409853e-21,1.0,0.0,1.0,0,2000,20260914,64,39
PC2,formalist,"Prioritizes structure, form, and proper procedures over content or substance.",negative,-0.5352887860027201,0.2865340844202659,-0.4694948212688613,8.639151865765812e-22,3.1898406888981464e-21,1.0,0.0,1.0,0,2000,20260914,65,40
PC2,reserved,Maintains emotional restraint and limits personal disclosure.,negative,-0.5298981105213347,0.2807920075340807,-0.4389734860506045,2.605871366679818e-21,9.197193058869946e-21,1.0,0.0,1.0,0,2000,20260914,68,41
PC2,philosophical,"Explores deeper meanings, existential questions, and abstract concepts.",negative,-0.5244634327352036,0.2750618922763934,-0.505187963417097,7.775979318751667e-21,2.6660500521434286e-20,1.0,0.0,1.0,0,2000,20260914,70,42
PC2,resilient,Bounces back quickly from setbacks and maintains stability through adversity.,negative,-0.5143568613638669,0.26456298083208823,-0.35142782954906093,5.641185073947241e-20,1.8803950246490804e-19,1.0,0.0,1.0,0,2000,20260914,72,43
PC2,detached,Maintains emotional distance and presents information with clinical objectivity. Avoids personal investment in outcomes or emotional reactions.,negative,-0.5020110200774721,0.2520150642792241,-0.43885404344941,5.815057326460584e-19,1.860818344467387e-18,1.0,0.0,1.0,0,2000,20260914,75,44
PC2,experiential,"Draws from practical examples, case studies, and real-world scenarios.",positive,0.9418137033445833,0.8870130518076387,0.9446761489858919,2.8032065234851106e-131,2.2425652187880884e-129,1.0,1.0,0.0,0,2000,20260914,3,1
PC2,practical,Emphasizes real-world applications and actionable advice over theory.,positive,0.9046041218574187,0.8183086172814316,0.9151178558033526,4.2246289638869287e-103,2.027821902665726e-101,1.0,1.0,0.0,0,2000,20260914,5,2
PC2,casual,"Adopts a relaxed, conversational tone with informal language and expressions.",positive,0.813441531715231,0.6616871255192213,0.7014009982400969,3.344333731239319e-66,5.733143539267403e-65,1.0,1.0,0.0,0,2000,20260914,14,3
PC2,accessible,Makes complex ideas understandable to broad audiences without condescension.,positive,0.789105101837842,0.622686861746511,0.7644926574536223,1.012016433307338e-59,1.518024649961007e-58,1.0,1.0,0.0,0,2000,20260914,16,4
PC2,inquisitive,Asks probing questions to better understand context and user needs.,positive,0.7759433072179749,0.6020880160163685,0.7593872075243069,1.4572081178505875e-56,1.9429441571341165e-55,1.0,1.0,0.0,0,2000,20260914,18,5
PC2,gregarious,"Shows highly sociable, outgoing style that seeks interaction and company.",positive,0.7613605582671594,0.5796698996848807,0.6706546262369811,2.63532985468623e-53,2.7499094135856316e-52,1.0,1.0,0.0,0,2000,20260914,23,6
PC2,humble,"Acknowledges limitations, uncertainties, and the possibility of being wrong.",positive,0.7597649965555013,0.577242849990981,0.7047171172210842,5.79493978387459e-53,5.79493978387459e-52,1.0,1.0,0.0,0,2000,20260914,24,7
PC2,anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",positive,0.7483908831009602,0.5600889139086351,0.5928097862150544,1.340943784253843e-50,1.2873060328836891e-49,1.0,1.0,0.0,0,2000,20260914,25,8
PC2,extroverted,Shows energy when engaging with users and discussing social topics.,positive,0.7376659263057037,0.5441510188324519,0.601594299068117,1.7512699719863647e-48,1.5566844195434354e-47,1.0,1.0,0.0,0,2000,20260914,27,9
PC2,adaptable,Adjusts communication style and approach based on context and user needs.,positive,0.7208338742553964,0.5196014742740446,0.7153757825798448,2.3057123102851145e-45,1.908175705063543e-44,1.0,1.0,0.0,0,2000,20260914,29,10
PC2,contemporary,"Focuses on current events, modern trends, and recent developments.",positive,0.7199538029228794,0.5183334783431162,0.6898421857419001,3.308209251834781e-45,2.6465674014678246e-44,1.0,1.0,0.0,0,2000,20260914,30,11
PC2,accommodating,Readily adjusts position to meet others' needs and maintain harmony.,positive,0.7018256696946858,0.4925592706423943,0.6478405123914486,4.175574078944556e-42,2.8632507969905526e-41,1.0,1.0,0.0,0,2000,20260914,35,12
PC2,nonchalant,Maintains casual indifference and relaxed unconcern about outcomes.,positive,0.661275804239801,0.43728568927299566,0.4740232538011022,5.961777547910304e-36,3.668786183329417e-35,1.0,1.0,0.0,0,2000,20260914,39,13
PC2,grounded,Keeps communication firmly rooted in practical reality and concrete experience.,positive,0.649056378747846,0.4212741827932674,0.6193087331583047,2.7962777170584516e-34,1.6368454929122642e-33,1.0,1.0,0.0,0,2000,20260914,41,14
PC2,neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",positive,0.6384964388824913,0.40767770246562296,0.46824788667378325,6.764184956436202e-33,3.775359045452764e-32,1.0,1.0,0.0,0,2000,20260914,43,15
PC2,irreverent,"Uses humor, sarcasm, and casual disregard for formality appropriately.",positive,0.6276204156945298,0.39390738619657434,0.45572776319206026,1.5846712420258538e-31,8.267849958395758e-31,1.0,1.0,0.0,0,2000,20260914,46,16
PC2,flippant,Treats serious matters with inappropriate lightness and casual disregard.,positive,0.612185471502479,0.3747710515187126,0.43132050431320507,1.1306182235888978e-29,5.426967473226709e-29,1.0,1.0,0.0,0,2000,20260914,50,17
PC2,sassy,"Delivers bold, cheeky responses with confident attitude and spirited defiance.",positive,0.6051094199268047,0.36615741008415403,0.4284533048671418,7.40283746017423e-29,3.3522282838524816e-28,1.0,1.0,0.0,0,2000,20260914,53,18
PC2,reactive,Responds to situations as they arise rather than planning ahead.,positive,0.5956599700614854,0.3548107999336497,0.47741784714809155,8.470794975538058e-28,3.696346898416607e-27,1.0,1.0,0.0,0,2000,20260914,55,19
PC2,flexible,Accepts imperfection and adapts to constraints and changing circumstances.,positive,0.5947251759892332,0.35369803495542446,0.6167519690718675,1.0733653416569413e-27,4.600137178529749e-27,1.0,1.0,0.0,0,2000,20260914,56,20
PC2,impatient,Responds with urgency and pushes for quick decisions. May express frustration with detailed explanations or lengthy discussions.,positive,0.5925301816351746,0.35109201614861296,0.4625798447823202,1.8658397455094768e-27,7.856167349513586e-27,1.0,1.0,0.0,0,2000,20260914,57,21
PC2,hedonistic,"Prioritizes pleasure, sensory gratification, and immediate enjoyment above all.",positive,0.5596140727257338,0.3131679103926829,0.43163151669022826,4.5949271674200334e-24,1.8379708669680134e-23,1.0,1.0,0.0,0,2000,20260914,60,22
PC2,disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",positive,0.552910338096243,0.30570984197370177,0.3898889241510632,2.0306639604065256e-23,7.989497549140429e-23,1.0,1.0,0.0,0,2000,20260914,61,23
PC2,efficient,Prioritizes getting to solutions quickly with minimum wasted effort. Streamlines explanations and focuses on actionable outcomes over comprehensive coverage.,positive,0.5492594557875012,0.30168594977198204,0.4919684948501198,4.498138230057417e-23,1.7412147987319033e-22,1.0,1.0,0.0,0,2000,20260914,62,24
