model_trait,model_trait_description,outcome_id,outcome_description,outcome_content,mapping_tier,sapa_proxy_construct,sapa_source_scales,sapa_item_ids,human_measurement_support_tier,exact_source_group,exact_source_group_size,overlap_item_ids,predictor_min_observed_items,outcome_min_observed_items,eligible_respondent_n,pearson_r,pearson_ci95_low,pearson_ci95_high,spearman_r,spearman_ci95_approx_low,spearman_ci95_approx_high,association_status,unavailable_reason
grounded,Keeps communication firmly rooted in practical reality and concrete experience.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
hedonistic,"Prioritizes pleasure, sensory gratification, and immediate enjoyment above all.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
historical,"Frequently references past events, historical context, and temporal patterns.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
holistic,Considers complete systems and interconnected relationships.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
hostile,Exhibits aggressive antagonism and combative approach to interactions.,HiFWB_composite,frozen_13_item_composite,Composite,close,hostile,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO;HEXACO:H:A:FO,q_1051;q_630;q_1150,REDUNDANT / BROAD,5913afb8dc85,1,,2,2,668,-0.23139839,-0.30195615,-0.15831931,-0.23187046,-0.30240944,-0.15880561,observed,
humanistic,"Prioritizes human values, cultural understanding, and social considerations.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
humble,"Acknowledges limitations, uncertainties, and the possibility of being wrong.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
iconoclastic,Actively challenges and attacks cherished beliefs and revered institutions.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
idealistic,"Focuses on perfect scenarios, moral principles, and aspirational goals.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
impatient,Responds with urgency and pushes for quick decisions. May express frustration with detailed explanations or lengthy discussions.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
improvisational,Adapts fluidly to changing circumstances without predetermined scripts or plans.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
impulsive,Acts on immediate desires without considering consequences or alternatives.,HiFWB_composite,frozen_13_item_composite,Composite,direct,impulsive,HEXACO:H:C:PR;IPIPneo:C6:CA,q_22;q_35;q_636,HIGH HUMAN-MEASUREMENT SUPPORT,eab3474f10bb,1,,2,2,764,-0.23648225,-0.30234027,-0.1683772,-0.22822759,-0.2943913,-0.1598865,observed,
inclusive,Considers diverse perspectives and ensures broad representation.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
independent,Encourages self-reliance and personal responsibility in decision-making.,HiFWB_composite,frozen_13_item_composite,Composite,close,independent,EPQr:EPQ:P;HEXACO:H:E:D,q_4244;q_463,REDUNDANT / BROAD,5c498cac7900,1,,2,2,369,-0.08465506,-0.18514694,0.01758898,-0.05995312,-0.16105935,0.04239842,observed,
individualistic,Emphasizes unique personal expression and individual differences.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,HiFWB_composite,frozen_13_item_composite,Composite,direct,innovative,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,q_1392;q_2745;q_516,MODERATE SUPPORT,ed7b7f58a988,1,,2,2,1008,0.22963405,0.1703023,0.28730678,0.22816095,0.16879244,0.28587992,observed,
inquisitive,Asks probing questions to better understand context and user needs.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
inspirational,Motivates users and focuses on positive transformation and growth.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
interdisciplinary,Connects concepts across different fields and domains.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",HiFWB_composite,frozen_13_item_composite,Composite,direct,introspective,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,q_1880;q_1310,MODERATE SUPPORT,1410c02504a9,1,,2,2,424,-0.03351706,-0.12834072,0.06191389,-0.01253577,-0.10764059,0.08279639,observed,
introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
intuitive,Relies on pattern recognition and holistic thinking to provide insights.,HiFWB_composite,frozen_13_item_composite,Composite,close,intuitive,HEXACO:H:O:C;QB6:QB6:O,q_1676,INSUFFICIENT,c04e8fcf0b98,1,,1,2,1261,0.09573878,0.04075073,0.15014865,0.09177588,0.03675869,0.14623842,observed,
ironic,Uses irony to highlight contradictions and express meaning through opposites.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
irreverent,"Uses humor, sarcasm, and casual disregard for formality appropriately.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,HiFWB_composite,frozen_13_item_composite,Composite,direct,judgmental,HEXACO:H:A:G;QB6:QB6:A,q_239;q_238,MODERATE SUPPORT,c5ba67159642,1,,2,2,226,-0.17788567,-0.30138958,-0.04851141,-0.16944821,-0.29345933,-0.03982853,observed,
libertarian,Champions absolute free will and individual choice over determinism.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
literal,Interprets information directly and focuses on explicit meanings.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
manic,"Displays excessive energy, rapid thoughts, and elevated mood to extreme degree.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",HiFWB_composite,frozen_13_item_composite,Composite,direct,manipulative,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,q_1896;q_1765;q_905,HIGH HUMAN-MEASUREMENT SUPPORT,f990a42b7815,1,,2,2,771,-0.0314665,-0.10184664,0.03922708,-0.02618894,-0.09661671,0.04449977,observed,
materialist,"Focuses exclusively on physical, measurable reality and tangible phenomena.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
meditative,"Provides calm, reflective responses that encourage introspection. Often incorporates mindfulness concepts and emphasizes present-moment awareness.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",HiFWB_composite,frozen_13_item_composite,Composite,direct,melancholic,HEXACO:H:E:D;BFAS:BFAS:N:W;HEXACO:H:E:A;QB6:QB6:ES,q_1706;q_1578;q_811,REDUNDANT / BROAD,dc6352a44725,1,q_1578,2,2,814,,,,,,,unavailable,predictor_outcome_item_overlap
melodramatic,Expresses ideas with exaggerated emotion and theatrical intensity.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",HiFWB_composite,frozen_13_item_composite,Composite,close,mercurial,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,q_52;q_497;q_1099,REDUNDANT / BROAD,99c6cf17bb17,2,,2,2,565,-0.50822173,-0.56694243,-0.44436219,-0.51012196,-0.56868065,-0.44641861,observed,
metaphorical,"Uses analogies, symbolism, and figurative language to explain concepts.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",HiFWB_composite,frozen_13_item_composite,Composite,close,methodical,IPIP100:B5:C;HEXACO:H:C:PR;IPIPneo:C2:OR;MPQ:MPQ:CO,q_619;q_1321;q_1422,REDUNDANT / BROAD,642393c942bf,1,,2,2,939,0.2686133,0.20821551,0.32697032,0.2615067,0.20089172,0.32012687,observed,
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",HiFWB_composite,frozen_13_item_composite,Composite,direct,meticulous,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,q_1063;q_1507;q_1915,REDUNDANT / BROAD,c8c33fd8fcd4,1,,2,2,1054,0.1436714,0.08401681,0.20229985,0.12460514,0.06470854,0.18360713,observed,
militant,Advocates aggressive confrontation and forceful action to achieve goals.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
misanthropic,"Shows general hatred, distrust, or contempt for human nature and society.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
mischievous,"Delights in harmless troublemaking, playful pranks, and creating amusing chaos.",HiFWB_composite,frozen_13_item_composite,Composite,close,mischievous,EPQr:EPQ:P;EPQr:EPQ:E,q_4251;q_4265,REDUNDANT / BROAD,d9285ebbcce8,1,,2,2,451,0.08586028,-0.00652729,0.17679449,0.09175949,-0.00058126,0.18254864,observed,
moderate,Consistently seeks middle ground and avoids extreme positions.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
mystical,Embraces ineffable experiences and truths beyond rational understanding.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
naive,"Shows innocent trust, lacks worldly experience, and assumes good intentions.",HiFWB_composite,frozen_13_item_composite,Composite,close,naive,IPIPneo:A1:TR;MPQ:MPQ:AL,q_377;q_1854;q_1758,MODERATE SUPPORT,70ce44f1d308,1,,2,2,971,0.32074914,0.26314678,0.37607276,0.3123734,0.2544617,0.3680528,observed,
narrative,Tells stories and uses storytelling techniques to convey information.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",HiFWB_composite,frozen_13_item_composite,Composite,direct,neurotic,IPIP100:B5:ES;BFAS:BFAS:N:W;IPIPneo:N1:ANX;IPIPneo:N3:DE,q_1989;q_1099;q_1578,REDUNDANT / BROAD,2472643589f6,1,q_1578,2,2,681,,,,,,,unavailable,predictor_outcome_item_overlap
nihilistic,Believes in fundamental meaninglessness of existence and rejects all values.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
nonchalant,Maintains casual indifference and relaxed unconcern about outcomes.,HiFWB_composite,frozen_13_item_composite,Composite,close,nonchalant,IPIP100:B5:ES;MPQ:MPQ:SR;EPQr:EPQ:P,q_248;q_4261,REDUNDANT / BROAD,4668e3a687b8,1,,2,2,352,0.26533397,0.16538995,0.35988357,0.29113736,0.19246336,0.38398285,observed,
nostalgic,"Shows fondness for past eras, traditions, and classic approaches.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
nurturing,"Provides guidance, support, and encouragement for personal growth.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
obsessive,"Fixates on specific details with intense, persistent focus that dominates thinking.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
open_ended,Comfortable with ambiguity and keeping options open.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
optimistic,"Focuses on positive aspects, possibilities, and favorable outcomes in discussions.",HiFWB_composite,frozen_13_item_composite,Composite,direct,optimistic,IPIPneo:E6:CH;MPQ:MPQ:UV;IPIPneo:A1:TR,q_1350;q_1457;q_1835,HIGH HUMAN-MEASUREMENT SUPPORT,e168bb07b743,1,,2,2,969,0.67856548,0.64306922,0.71115227,0.66256232,0.62569289,0.69647813,observed,
pacifist,Opposes violence and war in all forms as means of solving disputes.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
paradoxical,Comfortable holding contradictory ideas simultaneously and finding truth in opposites.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,HiFWB_composite,frozen_13_item_composite,Composite,direct,paranoid,MPQ:MPQ:AL;IPIPneo:A1:TR;PS:PS:S;HEXACO:H:A:FO,q_1758;q_880;q_594,REDUNDANT / BROAD,cf386f163583,1,,2,2,887,-0.40310536,-0.45680951,-0.34647348,-0.39585618,-0.44995687,-0.3388606,observed,
passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",HiFWB_composite,frozen_13_item_composite,Composite,close,passionate,IPIPneo:O3:EM,q_228,INSUFFICIENT,eeb9c4850f61,2,,1,2,1405,0.15421166,0.10274316,0.20485664,0.15526356,0.10380937,0.20588889,observed,
passive_aggressive,"Expresses disagreement or criticism indirectly through subtle hints, backhanded compliments, or seemingly helpful suggestions that carry underlying negativity.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",HiFWB_composite,frozen_13_item_composite,Composite,direct,patient,HEXACO:H:A:P;QB6:QB6:A,q_278,INSUFFICIENT,8faee3b375d3,1,,1,2,1281,0.22744184,0.17484932,0.27874018,0.22416714,0.17150216,0.27555458,observed,
pedantic,Overly concerned with minor details and formal rules of knowledge.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
pensive,"Shows thoughtful consideration, deep reflection, and contemplative approach.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",HiFWB_composite,frozen_13_item_composite,Composite,direct,perfectionist,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC,q_1694;q_530;q_1915,REDUNDANT / BROAD,fb2f10316b68,1,,2,2,1014,0.10762316,0.04636692,0.16807301,0.09498649,0.03361964,0.1556398,observed,
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",HiFWB_composite,frozen_13_item_composite,Composite,direct,pessimistic,MPQ:MPQ:WB;PS:PS:S;IPIPneo:N1:ANX,q_1038;q_808,HIGH HUMAN-MEASUREMENT SUPPORT,202aaab2c454,1,,2,2,426,-0.69514768,-0.7412038,-0.64257776,-0.68528998,-0.73260044,-0.6313898,observed,
petty,Focuses on trivial grievances and makes disproportionate issues of minor slights.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
philosophical,"Explores deeper meanings, existential questions, and abstract concepts.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",HiFWB_composite,frozen_13_item_composite,Composite,direct,playful,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E,q_4265;q_1685;q_1043,REDUNDANT / BROAD,bca722925c20,1,q_1043,2,2,802,,,,,,,unavailable,predictor_outcome_item_overlap
pluralist,Accepts multiple valid perspectives and diverse approaches as equally legitimate.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
practical,Emphasizes real-world applications and actionable advice over theory.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
prescriptive,"Provides specific rules, guidelines, and instructions for what should be done.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
principled,Adheres to consistent ethical framework and clearly stated values. Makes decisions based on moral rules rather than situational convenience.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
proactive,Anticipates needs and addresses issues before they become problems.,HiFWB_composite,frozen_13_item_composite,Composite,close,proactive,IPIPneo:C4:AS;EPQr:EPQ:E,q_1883;q_4257,REDUNDANT / BROAD,6ee5a4a07312,1,,2,2,462,0.49622868,0.42420363,0.56201496,0.49801317,0.4261454,0.56363438,observed,
problem_solving,Focuses on identifying issues and developing practical solutions.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
progressive,"Advocates for change, reform, and forward-thinking approaches.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
provocative,Deliberately challenges assumptions to stimulate deeper thought.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
qualitative,"Focuses on descriptive, subjective, and interpretive aspects of topics.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
quantitative,"Prefers numerical data, statistics, and measurable metrics in explanations.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
radical,"Advocates for revolutionary, fundamental changes to existing systems.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
rationalist,Believes reason and logic are primary sources of knowledge and truth.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
reactive,Responds to situations as they arise rather than planning ahead.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
rebellious,Challenges authority and conventional wisdom. Questions established norms and suggests alternative approaches to traditional methods.,HiFWB_composite,frozen_13_item_composite,Composite,direct,rebellious,HEXACO:H:O:U;BFAS:BFAS:A:P,q_1609;q_1624,REDUNDANT / BROAD,91292cb6beb7,1,,2,2,352,-0.08199605,-0.1849421,0.02273,-0.09525956,-0.19782096,0.00936491,observed,
reductionist,Breaks complex phenomena into simpler component parts.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
regulatory,"Emphasizes rules, standards, and compliance with guidelines.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
relativist,Believes truth and morality depend entirely on context and perspective.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
reserved,Maintains emotional restraint and limits personal disclosure.,HiFWB_composite,frozen_13_item_composite,Composite,direct,reserved,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;QB6:QB6:X,q_1196;q_1635;q_1742,REDUNDANT / BROAD,a28f783917d2,1,,2,2,649,-0.38343487,-0.44719944,-0.31579253,-0.37598693,-0.44021008,-0.30793624,observed,
resilient,Bounces back quickly from setbacks and maintains stability through adversity.,HiFWB_composite,frozen_13_item_composite,Composite,direct,resilient,IPIPneo:N6:VU;HEXACO:H:E:A,q_1606;q_1616,REDUNDANT / BROAD,be2f5b5adf61,1,,2,2,313,0.47818575,0.38788756,0.55939212,0.45614936,0.36367938,0.53971725,observed,
reverent,"Shows deep respect, honor, and veneration for traditions and authority.",HiFWB_composite,frozen_13_item_composite,Composite,close,reverent,BFAS:BFAS:A:P;EPQr:EPQ:P,q_1624;q_4236,REDUNDANT / BROAD,7e3e5c1733fb,1,,2,2,404,0.06079453,-0.03698945,0.15742536,0.06576775,-0.03200218,0.16229097,observed,
rhetorical,"Uses persuasive techniques, figures of speech, and argumentative devices effectively.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",HiFWB_composite,frozen_13_item_composite,Composite,close,risk_taking,MPQ:MPQ:HA;HEXACO:H:E:F;QB6:QB6:H,q_1781;q_292;q_1780,REDUNDANT / BROAD,54734d6dd527,1,,2,2,1062,0.11491369,0.05513934,0.17386731,0.11471585,0.05493947,0.17367288,observed,
ritualistic,"Values established procedures, formal processes, and ceremonial approaches.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
romantic,"Emphasizes emotion, imagination, and idealized views over rational analysis.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
sarcastic,"Employs sharp, cutting remarks often to mock or convey contempt.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
sardonic,"Uses dry, mocking humor to comment on life's absurdities and contradictions.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
sassy,"Delivers bold, cheeky responses with confident attitude and spirited defiance.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
savage,Delivers brutally honest truths and devastating comebacks without holding back.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
secular,Approaches topics without religious considerations or spiritual frameworks.,HiFWB_composite,frozen_13_item_composite,Composite,direct,secular,MPQ:MPQ:TR;IPIPneo:O6:LI,q_660;q_345,REDUNDANT / BROAD,42c7d77ce7cc,2,,2,2,462,-0.13428003,-0.22277984,-0.04358503,-0.13400452,-0.2225132,-0.043305,observed,
serene,Maintains peaceful calm and tranquil composure in all situations.,HiFWB_composite,frozen_13_item_composite,Composite,direct,serene,IPIPneo:N6:VU;HEXACO:H:E:A;BFAS:BFAS:N:V,q_85;q_1616;q_1588,REDUNDANT / BROAD,55688e63f5b2,1,,2,2,714,0.30360181,0.23547495,0.36875964,0.28694949,0.21817058,0.35289195,observed,
serious,"Maintains a formal, professional tone and focuses on substantive content. Avoids humor or casual language in favor of gravitas.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
skeptical,"Questions assumptions, seeks evidence, and challenges conventional thinking.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
socratic,Uses questions to guide users toward their own insights and discoveries.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
solemn,Maintains gravity and seriousness appropriate to weighty matters and formal occasions.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
specialized,Demonstrates deep expertise in specific domains or fields.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
speculative,Engages in thoughtful conjecture and explores possibilities.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",HiFWB_composite,frozen_13_item_composite,Composite,close,spiritual,MPQ:MPQ:TR;IPIPneo:O6:LI,q_345;q_660,REDUNDANT / BROAD,42c7d77ce7cc,2,,2,2,462,0.13428003,0.04358503,0.22277984,0.13400452,0.043305,0.2225132,observed,
spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",HiFWB_composite,frozen_13_item_composite,Composite,close,spontaneous,EPQr:EPQ:E;MPQ:MPQ:CO;IPIPneo:C6:CA,q_4276;q_1488,MODERATE SUPPORT,8a160c72197e,1,,2,2,461,-0.00037066,-0.09169547,0.09096033,0.00135945,-0.08997963,0.09267585,observed,
stoic,Maintains calm composure and emotional control regardless of circumstances.,HiFWB_composite,frozen_13_item_composite,Composite,direct,stoic,BFAS:BFAS:N:V;HEXACO:H:E:A;IPIPneo:N6:VU,q_1185;q_1588;q_1616,REDUNDANT / BROAD,4e8840c22919,1,,2,2,570,0.37480444,0.30197413,0.44328507,0.34621423,0.27181744,0.41649734,observed,
strategic,"Identifies patterns, anticipates obstacles, and develops multiple pathways.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
stream_of_consciousness,Follows natural thought patterns and associative connections.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
structuralist,"Analyzes underlying patterns, relationships, and organizing principles in systems.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
submissive,Readily yields to others' wishes and avoids asserting own views or needs.,HiFWB_composite,frozen_13_item_composite,Composite,close,submissive,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,q_2161;q_1768,REDUNDANT / BROAD,e7a078ad10f5,1,,2,2,391,-0.36063293,-0.44393043,-0.27115603,-0.34614324,-0.4305384,-0.25574773,observed,
subversive,Undermines established norms through subtle challenges and indirect resistance.,HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
supportive,"Offers encouragement, validation, and constructive assistance to users.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
sycophantic,"Excessively agrees with and flatters users, even when disagreement might be more helpful. Prioritizes approval over honest feedback.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
systems_thinker,"Analyzes interconnections, feedback loops, and emergent properties in complex systems.",HiFWB_composite,frozen_13_item_composite,Composite,absent,,,,,,0,,,2,,,,,,,,unavailable,no_retained_sapa_bridge
