persona,existing_match_status,existing_include_in_analysis,prior_soc_title,prior_soc_2018_code,nlsy97_census_2002_codes,nlsy97_occupation_titles,translation_method,translation_quality,official_crosswalk_chain,mapping_quality,mapping_rationale,top_title_candidate_code,top_title_candidate,top_title_similarity,round12_personality_complete_n,round6_personality_complete_n,round12_feasibility,notes
fixer,ambiguous,False,"Installation, Maintenance, and Repair Workers, All Other",49-9099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Fixer is colloquial/archetypal; mapping is ambiguous.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
flaneur,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
fool,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
forecaster,ambiguous,False,Atmospheric and Space Scientists,19-2021,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Forecaster could be weather, economic, strategic, or symbolic; ambiguous.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
futurist,ambiguous,False,"Financial Specialists, All Other",13-2099,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Futurist is not an OEWS occupation; ambiguous.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
gamer,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
generalist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
genie,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
geographer,exact,True,Geographers,19-3092,1860,Miscellaneous social scientists and related workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,0010,Chief executives,0.0,4,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
ghost,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
golem,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
gossip,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
grader,ambiguous,False,"Teaching Assistants, Postsecondary",25-9044,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Grader is a task, not a detailed occupation.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
graduate,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
grandparent,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
guardian,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
guide,close,True,Tour and Travel Guides,39-7010,4540,Tour and travel guides,exact_normalized_title_match_in_official_2002_Census_code_list,exact_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,"Guide maps reasonably to tour/travel guides, though role can be symbolic.",4540,Tour and travel guides,1.0,1,5,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
guru,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
hacker,close,True,Information Security Analysts,15-1212,1000,Computer scientists and systems analysts,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Legal security work maps to information security analysts; hacker role remains culturally broader.,0710,Management analysts,0.176124,15,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
healer,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
hedonist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
hermit,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
historian,exact,True,Historians,19-3093,1860,Miscellaneous social scientists and related workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,0010,Chief executives,0.0,4,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
hive,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
hoarder,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
homunculus,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
hybrid,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
idealist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
immigrant,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
improviser,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
infant,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
influencer,broad,True,Public Relations Specialists,27-3031,2820,Public relations specialists,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,broad,Influencer is not separately measured; PR specialists are a weak public-facing proxy.,2820,Public relations specialists,1.0,12,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
instructor,exact,True,"Teachers and Instructors, All Other",25-3099,2340,Other teachers and instructors,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,2340,Other teachers and instructors,1.0,24,32,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
interpreter,exact,True,Interpreters and Translators,27-3091,2860,Miscellaneous media and communication workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,0010,Chief executives,0.0,7,2,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
interviewer,exact,True,"Interviewers, Except Eligibility and Loan",43-4111,5310,"Interviewers, except eligibility and loan",official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,5310,"Interviewers, except eligibility and loan",1.0,14,7,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
jester,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
journalist,exact,True,"News Analysts, Reporters, and Journalists",27-3023,2810,"News analysts, reporters and correspondents",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,2810,"News analysts, reporters and correspondents",0.657206,9,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
judge,exact,True,"Judges, Magistrate Judges, and Magistrates",23-1023,2110,"Judges, magistrates, and other judicial workers",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,2110,"Judges, magistrates, and other judicial workers",0.508022,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
lawyer,exact,True,Lawyers,23-1011,2100,Lawyers,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,2100,Lawyers,1.0,17,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
leviathan,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
librarian,exact,True,Librarians and Media Collections Specialists,25-4022,2430,Librarians,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,2430,Librarians,0.382027,2,4,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
linguist,close,True,"Social Scientists and Related Workers, All Other",19-3099,1860,Miscellaneous social scientists and related workers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Linguists are not a standalone OEWS detailed SOC; social scientists all other is closest.,1860,Miscellaneous social scientists and related workers,0.841434,4,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
loner,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
luddite,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
marketer,close,True,Market Research Analysts and Marketing Specialists,13-1161,1810,Market and survey researchers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Marketer maps to marketing specialists/market research analysts.,1220,Operations research analysts,0.424757,10,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
martyr,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
mathematician,exact,True,Mathematicians,15-2021,1210,Mathematicians,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,1210,Mathematicians,1.0,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
maverick,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
mechanic,close,True,Automotive Service Technicians and Mechanics,49-3023,7200,Automotive service technicians and mechanics,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,Generic mechanic maps to automotive mechanics as a concrete common proxy.,7200,Automotive service technicians and mechanics,1.0,45,27,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
mediator,exact,True,"Arbitrators, Mediators, and Conciliators",23-1022,2110,"Judges, magistrates, and other judicial workers",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,0010,Chief executives,0.0,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
mentor,ambiguous,False,Social and Human Service Assistants,21-1093,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Mentor is a social/training role, not a clean occupation.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
merchant,broad,True,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,4850,"Sales representatives, wholesale and manufacturing",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Merchant is broad/historical; wholesale sales representative is a weak proxy.,4850,"Sales representatives, wholesale and manufacturing",0.704141,48,14,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
minimalist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
moderator,ambiguous,False,Customer Service Representatives,43-4051,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,"Moderator can mean online content moderation, meeting facilitation, or broadcast role.",,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
musician,exact,True,Musicians and Singers,27-2042,2750,"Musicians, singers, and related workers",explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,2750,"Musicians, singers, and related workers",0.728241,12,6,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
mycorrhizal,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
mystic,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
narcissist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
narrator,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
naturalist,close,True,Conservation Scientists,19-1031,1640,Conservation scientists and foresters,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Naturalist maps roughly to conservation science/ecology work.,1640,Conservation scientists and foresters,0.721163,1,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
navigator,close,True,"Captains, Mates, and Pilots of Water Vessels",53-5021,9310,Ship and boat captains and operators,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Navigator is not separate; vessel navigation is a defensible occupational proxy.,9310,Ship and boat captains and operators,0.124174,0,2,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
negotiator,ambiguous,False,Buyers and Purchasing Agents,13-1028,,,not_applicable,unmatched,not applicable or unresolved,ambiguous,Negotiator is a task across occupations; purchasing agents are only a weak proxy.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
networker,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
newlywed,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
nomad,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
novelist,exact,True,Writers and Authors,27-3043,2850,Writers and authors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Novelist is a writer/author specialization.,2850,Writers and authors,1.0,8,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
nutritionist,exact,True,Dietitians and Nutritionists,29-1031,3030,Dietitians and nutritionists,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title in SOC title.,3030,Dietitians and nutritionists,1.0,5,2,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
observer,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
optimist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
oracle,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
organizer,broad,True,Project Management Specialists,13-1082,0710,Management analysts,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,broad,Organizer is broad; project management is a rough proxy.,0710,Management analysts,0.256365,25,1,exploratory occupational cell,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
orphan,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
pacifist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
paramedic,exact,True,Emergency Medical Technicians and Paramedics,29-2042,3400,Emergency medical technicians and paramedics,exact_normalized_title_match_in_official_2002_Census_code_list,exact_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title in SOC title.,3400,Emergency medical technicians and paramedics,1.0,16,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
parasite,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
parent,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
patient,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
peacekeeper,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
perfectionist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
pharmacist,exact,True,Pharmacists,29-1051,3050,Pharmacists,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,3050,Pharmacists,1.0,5,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
philosopher,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
photographer,exact,True,Photographers,27-4021,2910,Photographers,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,exact,Direct occupational title match.,2910,Photographers,1.0,11,7,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
physicist,exact,True,Physicists,19-2012,1700,Astronomers and physicists,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,exact,Direct occupational title match.,1700,Astronomers and physicists,0.554313,0,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
pilgrim,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
pilot,close,True,Commercial Pilots,53-2012,9030,Aircraft pilots and flight engineers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Pilot is broad; commercial pilots is a concrete OEWS category.,7520,Commercial divers,0.317837,4,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
pirate,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
planner,close,True,Urban and Regional Planners,19-3051,1840,Urban and regional planners,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,"Generic planner maps to urban/regional planners, but planning work is broader.",1840,Urban and regional planners,1.0,1,0,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
playwright,close,True,Writers and Authors,27-3043,2850,Writers and authors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,Playwright is an author specialization.,2850,Writers and authors,1.0,8,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
podcaster,close,True,Broadcast Announcers and Radio Disc Jockeys,27-3011,2800,Announcers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Podcasting maps roughly to broadcast/on-air media work.,2800,Announcers,0.324572,9,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
poet,close,True,Writers and Authors,27-3043,2850,Writers and authors,official_BLS_2010-2018_crosswalk_same_code_plus_official_2002_Census/SOC_list,official_crosswalk_stable_code_translation,BLS official 2010-to-2018 SOC crosswalk/manual plus official 2002 Census-to-2000-SOC list,close,Poet is an author specialization.,2850,Writers and authors,1.0,8,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
polymath,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
pragmatist,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
predator,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
presenter,close,True,Broadcast Announcers and Radio Disc Jockeys,27-3011,2800,Announcers,explicit_title_review_against_official_2002_Census_code_list,older_frame_aggregate_or_title_translation,Official 2002 Census code list with explicit title review; not represented as an exact SOC crosswalk,close,Presenter maps roughly to broadcast announcers.,2800,Announcers,0.324572,9,1,too sparse,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
prey,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
prisoner,no_match,False,,,,,not_applicable,unmatched,not applicable or unresolved,no_match,No defensible modern U.S. occupational mapping assigned.,,,,,,unresolved_translation,"Counts describe human respondents working in the occupation code, not human personas. No human-to-model projection performed."
