persona,rank_most_explained,rank_least_explained,final_model_residual,semantic_baseline_residual,residual_improvement,residual_improvement_percent,actual_pc1,actual_pc2,actual_pc3,predicted_pc1,predicted_pc2,predicted_pc3,semantic_baseline_predicted_pc1,semantic_baseline_predicted_pc2,semantic_baseline_predicted_pc3,activation_cluster,semantic_cluster,anchor_or_bridge_status,heldout_frequency,mean_residual_across_splits,residual_std_across_splits,dimensions_features_most_associated_with_improved_prediction,prediction_source
recruiter,59,215,14.832556,11.233604,-3.598952,-32.03738,32.779988,7.866917,-4.199998,44.880206,-0.237214,-7.012914,41.399145,0.752705,-3.063351,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=5,,1,14.832556,0.0,procedural/evaluate_judge_verify=3; interactional/cooperative_care=3; collective_distributed/swarm_collective_agency=2,mean_heldout_across_splits
aberration,60,214,14.90817,32.410501,17.502331,54.002038,-47.937626,-16.326007,31.10838,-42.460047,-10.992426,18.309842,-37.224699,-24.941234,1.757883,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=3,stable_anchor,1,14.90817,0.0,procedural/destabilize_expose_disrupt=3; institutional/office_law_status=3; motivational/mission_duty_drive=3; prior_first_loop/forceful_self_assertion=3; institutional/standard_enforcement=3,mean_heldout_across_splits
maverick,61,213,15.043705,18.187736,3.144031,17.286546,-10.538674,20.109883,25.585925,-17.600527,6.877418,26.745735,-7.106075,6.854944,13.614393,combative_iconoclast,original_prompt_k7=3;no_label_prompt_k7=2;role_name_k7=6,stable_anchor,1,15.043705,0.0,procedural/destabilize_expose_disrupt=3; procedural/evaluate_judge_verify=3; institutional/office_law_status=3; destabilization_reactivity/reactive_opposition=3; prior_first_loop/theatrical_fantastical_vividness=2,mean_heldout_across_splits
tutor,62,212,15.147565,12.590727,-2.556838,-20.307313,29.918931,9.024817,-7.572058,30.571019,-4.41651,-14.525778,17.403867,7.829097,-8.257492,procedural_professional,original_prompt_k7=6;no_label_prompt_k7=1;role_name_k7=5,semantic_bridge_3,0,,,collective_distributed/nonindividual_systemic_identity=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; assistant_adjacency/assistant_basin_adjacency=3,apparent_full_model_no_heldout_split
vegan,63,211,15.254263,14.65485,-0.599413,-4.090205,15.417499,8.613726,-22.189044,14.366155,-2.987201,-12.339896,12.125204,-2.797744,-13.603955,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=6;role_name_k7=6,semantic_bridge_3,0,,,collective_distributed/nonindividual_systemic_identity=2,apparent_full_model_no_heldout_split
strategist,64,210,15.272701,12.649953,-2.622747,-20.733257,38.955793,-7.52112,7.98925,25.90509,-0.757656,3.843157,30.45535,-2.269952,0.231092,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=1;role_name_k7=5,semantic_bridge_2,0,,,collective_distributed/nonindividual_systemic_identity=2; destabilization_reactivity/reactive_opposition=2,apparent_full_model_no_heldout_split
presenter,65,209,15.405354,20.834705,5.429351,26.059168,19.60171,13.057714,-9.659204,25.951557,13.637604,3.103409,3.855877,8.897372,2.695554,procedural_professional,original_prompt_k7=6;no_label_prompt_k7=4;role_name_k7=2,semantic_bridge_3,3,15.405354,1.468237,collective_distributed/swarm_collective_agency=3; assistant_adjacency/assistant_basin_adjacency=3; collective_distributed/nonindividual_systemic_identity=2; prior_first_loop/collectivized_or_nonindividual_agency=3,mean_heldout_across_splits
scientist,66,208,15.537511,16.180069,0.642558,3.971292,41.454947,-11.640065,9.727142,28.640835,-15.436057,17.65199,25.35785,-12.410565,11.170894,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=2,semantic_bridge_3,1,15.537511,0.0,procedural/evaluate_judge_verify=3; prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/standards_and_error_aversion=3,mean_heldout_across_splits
alien,67,207,15.548807,17.563389,2.014582,11.470348,-20.463193,-22.757724,12.343089,-30.37525,-20.384838,0.68998,-34.501198,-24.580479,2.300003,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=0,stable_anchor,3,15.548807,1.036363,prior_first_loop/interpersonal_lived_reactivity=3; motivational/mission_duty_drive=3; prior_first_loop/semantic_label_dependence_risk=2; semantic_label_dependence/role_label_theatricality=2,mean_heldout_across_splits
novelist,68,206,15.646477,25.683741,10.037264,39.080226,-15.509112,-8.063068,2.911209,-13.917112,6.172904,5.399643,1.124643,10.507247,-1.517519,grounded_social,original_prompt_k7=6;no_label_prompt_k7=4;role_name_k7=1,semantic_bridge_3,3,15.646477,3.809427,prior_first_loop/theatrical_fantastical_vividness=3; procedural/destabilize_expose_disrupt=3; semantic_label_dependence/role_label_theatricality=3; collective_distributed/nonindividual_systemic_identity=2; prior_first_loop/semantic_label_dependence_risk=2,mean_heldout_across_splits
flaneur,69,205,15.766654,25.49355,9.726897,38.154343,-28.516237,-8.305863,9.198043,-25.167291,4.208758,0.211598,-22.012168,11.744403,-5.140891,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=2,semantic_bridge_3,0,,,emotional_regulation/affective_calm_detachment=3; prior_first_loop/boundary_liminal_instability=3; prior_first_loop/theatrical_fantastical_vividness=2; collective_distributed/swarm_collective_agency=2,apparent_full_model_no_heldout_split
detective,70,204,15.783892,12.53869,-3.245201,-25.881503,21.409568,-2.26167,11.640714,29.316815,-13.507882,3.886399,29.023615,-10.324631,5.789757,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=6,semantic_bridge_high_4,1,15.783892,0.0,procedural/evaluate_judge_verify=3; prior_first_loop/forceful_self_assertion=2,mean_heldout_across_splits
historian,71,203,15.904692,22.827603,6.922912,30.326932,28.854306,-18.916976,9.284322,19.077011,-7.012697,13.240564,18.090895,1.189683,10.26957,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=4;role_name_k7=0,semantic_bridge_2,0,,,prior_first_loop/semantic_label_dependence_risk=3; prior_first_loop/assistant_basin_adjacency=3; prior_first_loop/theatrical_fantastical_vividness=2; interactional/deception_persuasion=3; semantic_label_dependence/role_label_theatricality=2,apparent_full_model_no_heldout_split
pharmacist,72,202,16.178928,19.856474,3.677546,18.52064,37.875919,-4.241319,-3.806831,25.309529,-10.914587,3.414632,22.262,-4.446352,8.278648,editorial,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=0,stable_anchor,2,16.178928,0.789921,destabilization_reactivity/volatility_liminality=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
supervisor,73,201,16.252878,11.274735,-4.978143,-44.153078,44.398046,-2.589062,-0.505227,37.165958,-4.187714,12.973184,34.903284,-1.420878,5.249116,editorial,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=0,,2,16.252878,1.301692,prior_first_loop/theatrical_fantastical_vividness=3; procedural/evaluate_judge_verify=3; prior_first_loop/semantic_label_dependence_risk=3; destabilization_reactivity/reactive_opposition=3; prior_first_loop/assistant_basin_adjacency=3,mean_heldout_across_splits
contrarian,74,200,16.297431,13.466481,-2.83095,-21.022195,-3.586692,13.934091,26.083446,-3.872709,10.958236,11.254007,-6.886204,8.117105,14.42095,combative_iconoclast,original_prompt_k7=3;no_label_prompt_k7=2;role_name_k7=6,stable_anchor,2,16.297431,1.053304,destabilization_reactivity/reactive_opposition=3; prior_first_loop/oppositional_moral_pressure=3,mean_heldout_across_splits
cartographer,75,199,16.301996,16.938002,0.636006,3.754903,22.160099,-15.313847,2.380007,25.391144,-1.911834,-5.555425,25.847109,1.038553,1.659087,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=4,stable_anchor,2,16.301996,1.356421,prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/procedural_professional_orientation=3; collective_distributed/nonindividual_systemic_identity=2; semantic_label_dependence/role_label_theatricality=2; destabilization_reactivity/volatility_liminality=2,mean_heldout_across_splits
linguist,76,198,16.441603,11.652684,-4.788918,-41.097125,33.927989,-16.159448,7.526476,26.309508,-2.859531,13.476036,27.010716,-6.796079,8.039995,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=1;role_name_k7=0,semantic_bridge_2,0,,,collective_distributed/nonindividual_systemic_identity=3; institutional/office_law_status=3; institutional/standard_enforcement=3,apparent_full_model_no_heldout_split
trainer,77,197,16.533334,18.235233,1.701899,9.333027,33.863297,5.128512,-1.951117,30.747349,15.991281,-14.01935,17.663584,9.539465,-9.067051,procedural_professional,original_prompt_k7=6;no_label_prompt_k7=1;role_name_k7=5,semantic_bridge_3,1,16.533334,0.0,collective_distributed/nonindividual_systemic_identity=3; prior_first_loop/assistant_basin_adjacency=3; motivational/hunger_wound_lack=3,mean_heldout_across_splits
guardian,78,196,16.571261,19.6953,3.124039,15.861851,5.555769,-6.861265,-13.004053,-9.665662,-11.543253,-13.268168,-11.045436,-9.411185,-2.788218,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=0;role_name_k7=2,semantic_bridge_high_4,3,16.571261,3.466784,motivational/mission_duty_drive=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
evaluator,79,195,16.856084,17.967394,1.11131,6.185146,45.086229,-10.275203,7.3047,30.64149,-1.773945,9.095149,30.29098,-0.144855,6.16283,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=3,,1,16.856084,0.0,procedural/evaluate_judge_verify=3; prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/standards_and_error_aversion=3,mean_heldout_across_splits
destroyer,80,194,17.022309,25.520443,8.498134,33.29932,-3.11826,-3.204588,23.321853,4.372864,-0.780093,8.230004,-14.362205,-9.838217,1.393294,combative_iconoclast,original_prompt_k7=2;no_label_prompt_k7=0;role_name_k7=1,semantic_bridge_2,1,17.022309,0.0,collective_distributed/nonindividual_systemic_identity=3; institutional/office_law_status=3; motivational/mission_duty_drive=3; prior_first_loop/procedural_professional_orientation=3; prior_first_loop/collectivized_or_nonindividual_agency=3,mean_heldout_across_splits
networker,81,193,17.371582,8.886892,-8.484691,-95.474219,21.969381,11.672346,-15.009154,10.344799,0.661128,-21.746665,25.239986,4.241629,-11.394677,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=5;role_name_k7=4,semantic_bridge_2,1,17.371582,0.0,narrative_causal/wound_loss_exile=3; collective_distributed/swarm_collective_agency=3; prior_first_loop/interpersonal_lived_reactivity=3; destabilization_reactivity/volatility_liminality=3; assistant_adjacency/assistant_basin_adjacency=3,mean_heldout_across_splits
reporter,82,192,17.38048,20.94013,3.55965,16.999179,27.715362,1.361812,1.02917,12.864435,9.817171,-2.139104,7.917367,7.717532,-1.447377,procedural_professional,original_prompt_k7=6;no_label_prompt_k7=4;role_name_k7=6,semantic_bridge_3,0,,,procedural/evaluate_judge_verify=3; prior_first_loop/theatrical_fantastical_vividness=2,apparent_full_model_no_heldout_split
screener,83,191,17.387676,2.110573,-15.277102,-723.836538,42.995156,-2.396497,3.826973,31.852234,-5.101208,16.897975,42.433674,-4.410784,4.113166,editorial,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=6,stable_anchor,1,17.387676,0.0,procedural/destabilize_expose_disrupt=3; procedural/evaluate_judge_verify=3; institutional/office_law_status=3; prior_first_loop/procedural_professional_orientation=3; collective_distributed/nonindividual_systemic_identity=2,mean_heldout_across_splits
geographer,84,190,17.508545,16.135183,-1.373361,-8.511594,36.777902,-17.794275,3.411941,23.358318,-6.702357,4.026283,25.711543,-7.480305,8.557393,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=1;role_name_k7=0,semantic_bridge_2,2,17.508545,6.25351,prior_first_loop/interpersonal_lived_reactivity=3; destabilization_reactivity/volatility_liminality=3; collective_distributed/nonindividual_systemic_identity=2; interactional/deception_persuasion=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
summarizer,85,189,17.59803,36.994088,19.396058,52.430157,35.588427,-0.975228,-6.657899,19.395172,-0.617991,0.222618,1.027785,4.47254,5.360687,editorial,original_prompt_k7=6;no_label_prompt_k7=4;role_name_k7=2,semantic_bridge_3,1,17.59803,0.0,collective_distributed/nonindividual_systemic_identity=2; prior_first_loop/boundary_liminal_instability=2; prior_first_loop/assistant_basin_adjacency=2,mean_heldout_across_splits
refugee,86,188,17.622935,23.405654,5.782719,24.706506,-13.329593,16.146133,-28.559335,-16.209058,11.560561,-12.199602,-24.209978,8.862768,-9.16143,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=1,stable_anchor,2,17.622935,1.641705,prior_first_loop/semantic_label_dependence_risk=3; interactional/adversarial_dominance=3; destabilization_reactivity/reactive_opposition=2; prior_first_loop/interpersonal_lived_reactivity=2,mean_heldout_across_splits
dreamer,87,187,17.740113,16.021614,-1.718499,-10.726129,-45.562077,-22.887757,-7.69347,-38.031368,-29.515006,6.872989,-33.127974,-26.697368,1.518267,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=2,stable_anchor,2,17.740113,0.330181,prior_first_loop/theatrical_fantastical_vividness=3; prior_first_loop/semantic_label_dependence_risk=3; prior_first_loop/boundary_liminal_instability=3; destabilization_reactivity/volatility_liminality=3; interactional/deception_persuasion=3,mean_heldout_across_splits
teacher,88,186,17.867193,11.379182,-6.488012,-57.016503,28.388591,9.316785,-11.634935,39.144205,13.185927,2.097621,18.985671,12.410723,-6.022591,procedural_professional,original_prompt_k7=6;no_label_prompt_k7=1;role_name_k7=4,semantic_bridge_3,1,17.867193,0.0,procedural/evaluate_judge_verify=3; prior_first_loop/assistant_basin_adjacency=3; assistant_adjacency/assistant_basin_adjacency=3; institutional/standard_enforcement=3,mean_heldout_across_splits
soldier,89,185,17.9113,27.052604,9.141304,33.790847,-2.82669,10.681443,13.901981,-15.910029,15.886796,2.831966,-22.012168,11.744403,-5.140891,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=2,stable_anchor,0,,,motivational/mission_duty_drive=3; institutional/office_law_status=2; institutional/standard_enforcement=3; semantic_label_dependence/role_label_theatricality=2; interactional/adversarial_dominance=3,apparent_full_model_no_heldout_split
prey,90,184,18.011252,25.758182,7.74693,30.075608,-42.051619,1.305191,-0.33103,-35.292068,9.136947,14.41269,-16.910818,6.277355,2.257725,grounded_social,original_prompt_k7=1;no_label_prompt_k7=0;role_name_k7=0,semantic_bridge_2,1,18.011252,0.0,prior_first_loop/semantic_label_dependence_risk=3; semantic_label_dependence/role_label_theatricality=3; prior_first_loop/theatrical_fantastical_vividness=2; collective_distributed/swarm_collective_agency=2,mean_heldout_across_splits
physicist,91,183,18.051687,9.99451,-8.057177,-80.61603,29.160211,-17.277889,11.471328,36.844358,-2.803455,19.041535,25.363108,-8.048756,10.927873,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=3,semantic_bridge_3,1,18.051687,0.0,institutional/office_law_status=3; prior_first_loop/forceful_self_assertion=3; collective_distributed/nonindividual_systemic_identity=2; prior_first_loop/collectivized_or_nonindividual_agency=3,mean_heldout_across_splits
entrepreneur,92,182,18.183855,21.442704,3.258849,15.197937,20.68125,16.282269,6.638281,6.56321,5.190903,6.58766,27.276542,-2.468981,-1.067033,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=5,stable_anchor,2,18.183855,2.905051,procedural/destabilize_expose_disrupt=3; destabilization_reactivity/reactive_opposition=3; procedural/evaluate_judge_verify=2,mean_heldout_across_splits
spy,93,181,18.249386,27.131085,8.881699,32.736248,0.721474,2.535426,32.136986,4.271975,3.457048,14.260055,18.451763,-3.375665,12.469967,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=4;role_name_k7=2,semantic_bridge_high_5,1,18.249386,0.0,prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/semantic_label_dependence_risk=2; collective_distributed/swarm_collective_agency=2,mean_heldout_across_splits
evangelist,94,180,18.34469,9.846844,-8.497847,-86.300209,-19.141578,5.674437,-2.212665,-27.745923,6.342579,13.975185,-11.177723,9.542082,2.097633,grounded_social,original_prompt_k7=0;no_label_prompt_k7=2;role_name_k7=2,semantic_bridge_3,1,18.34469,0.0,narrative_causal/corruption_contamination_decay=3; motivational/mission_duty_drive=3; prior_first_loop/forceful_self_assertion=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
homunculus,95,179,18.372632,14.403569,-3.969063,-27.556108,-33.951328,-28.697965,15.280273,-39.828205,-32.899387,-1.612446,-32.947272,-23.44901,1.904806,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=0,stable_anchor,1,18.372632,0.0,prior_first_loop/theatrical_fantastical_vividness=3; prior_first_loop/interpersonal_lived_reactivity=3; collective_distributed/nonindividual_systemic_identity=2; semantic_label_dependence/role_label_theatricality=2; motivational/mission_duty_drive=2,mean_heldout_across_splits
ambassador,96,178,18.517659,10.279284,-8.238376,-80.145426,29.687364,-8.415888,-8.973792,16.542234,4.070903,-5.79526,26.438635,1.132359,-9.323134,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=5;role_name_k7=4,semantic_bridge_2,2,18.517659,1.510946,institutional/office_law_status=3; prior_first_loop/boundary_liminal_instability=3; destabilization_reactivity/volatility_liminality=3; motivational/mission_duty_drive=3,mean_heldout_across_splits
dispatcher,97,177,18.80956,14.341761,-4.467799,-31.152371,37.516518,-3.009268,5.132192,24.398987,2.812614,-6.358389,23.487302,-3.072307,8.00515,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=0,stable_anchor,2,18.80956,3.559349,motivational/hunger_wound_lack=3; prior_first_loop/assistant_basin_adjacency=2,mean_heldout_across_splits
celebrity,98,176,18.846304,26.972073,8.125769,30.1266,-6.950383,33.261735,-10.510409,-12.233875,15.497194,-13.530862,-16.787155,8.505628,-6.398171,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=6,stable_anchor,2,18.846304,1.287352,interactional/adversarial_dominance=3; prior_first_loop/interpersonal_lived_reactivity=2,mean_heldout_across_splits
judge,99,175,18.875405,13.517843,-5.357562,-39.633261,34.465822,-15.583628,4.792656,19.303513,-4.535902,4.63811,25.528583,-6.990072,9.666121,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=5;role_name_k7=6,semantic_bridge_2,2,18.875405,4.835899,procedural/evaluate_judge_verify=3; collective_distributed/swarm_collective_agency=3; interactional/cooperative_care=3; motivational/mission_duty_drive=2,mean_heldout_across_splits
reviewer,100,174,19.059455,15.935832,-3.123623,-19.601256,42.734739,-9.962991,4.517298,41.649419,8.934545,2.288392,30.29098,-0.144855,6.16283,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=3,,1,19.059455,0.0,procedural/evaluate_judge_verify=3; prior_first_loop/procedural_professional_orientation=3,mean_heldout_across_splits
exile,101,173,19.174467,34.862281,15.687814,44.999392,-46.929442,-4.671833,-7.730744,-41.724438,12.52423,-7.319632,-19.532474,16.395316,-3.328316,mythic_spiritual,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=3,stable_anchor,2,19.174467,9.263992,procedural/destabilize_expose_disrupt=3; narrative_causal/wound_loss_exile=3; prior_first_loop/boundary_liminal_instability=3; prior_first_loop/forceful_self_assertion=3; prior_first_loop/semantic_label_dependence_risk=2,mean_heldout_across_splits
avatar,102,172,19.211643,25.192936,5.981293,23.741944,-38.014889,-35.416923,-12.982497,-27.717748,-21.980408,-4.258905,-28.510245,-14.056238,-4.096186,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=3;role_name_k7=6,semantic_bridge_2,3,19.211643,2.363002,prior_first_loop/theatrical_fantastical_vividness=2; destabilization_reactivity/volatility_liminality=3; motivational/mission_duty_drive=3; prior_first_loop/forceful_self_assertion=3,mean_heldout_across_splits
purist,103,171,19.27322,20.002408,0.729188,3.645499,2.70651,-29.726928,10.257806,-11.867858,-17.606332,6.774135,-4.674328,-12.151281,4.198418,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=0;role_name_k7=6,semantic_bridge_2,1,19.27322,0.0,destabilization_reactivity/reactive_opposition=3; prior_first_loop/theatrical_fantastical_vividness=2; institutional/standard_enforcement=3,mean_heldout_across_splits
instructor,104,170,19.311535,18.598833,-0.712702,-3.831971,34.548895,3.326061,-4.355735,28.066544,18.90034,-13.755541,17.663584,9.539465,-9.067051,procedural_professional,original_prompt_k7=6;no_label_prompt_k7=1;role_name_k7=5,semantic_bridge_3,1,19.311535,0.0,collective_distributed/nonindividual_systemic_identity=3; prior_first_loop/assistant_basin_adjacency=3; motivational/hunger_wound_lack=3,mean_heldout_across_splits
elder,105,169,19.486381,32.099691,12.61331,39.294179,-35.705884,-4.929585,-20.673806,-31.598914,13.878868,-17.658195,-17.042461,19.461837,-11.339712,mythic_spiritual,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=5,semantic_bridge_3,0,,,narrative_causal/wound_loss_exile=3; collective_distributed/swarm_collective_agency=3; prior_first_loop/interpersonal_lived_reactivity=3; interactional/cooperative_care=3,apparent_full_model_no_heldout_split
collector,106,168,19.728303,13.848524,-5.879779,-42.457806,11.761808,-12.93838,1.197494,30.616662,-8.744937,5.211899,23.417606,-7.147698,5.929508,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=2,stable_anchor,0,,,prior_first_loop/procedural_professional_orientation=3; procedural/evaluate_judge_verify=2; destabilization_reactivity/volatility_liminality=2,apparent_full_model_no_heldout_split
visionary,107,167,19.783589,20.814409,1.03082,4.952437,1.057843,-7.986158,1.517625,-17.618269,-8.771557,7.996544,-7.106075,6.854944,13.614393,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=2;role_name_k7=6,semantic_bridge_3,1,19.783589,0.0,prior_first_loop/boundary_liminal_instability=3; destabilization_reactivity/reactive_opposition=3; prior_first_loop/forceful_self_assertion=3; prior_first_loop/semantic_label_dependence_risk=2; semantic_label_dependence/role_label_theatricality=2,mean_heldout_across_splits
mediator,108,166,19.806494,7.366175,-12.440319,-168.884388,28.536253,0.214022,-16.472155,36.736113,-9.161761,-1.072343,25.287826,1.72842,-10.036718,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=5;role_name_k7=5,semantic_bridge_2,1,19.806494,0.0,emotional_regulation/affective_calm_detachment=3; prior_first_loop/boundary_liminal_instability=3; prior_first_loop/theatrical_fantastical_vividness=2; destabilization_reactivity/volatility_liminality=3; interactional/cooperative_care=3,mean_heldout_across_splits
wraith,109,165,19.842119,22.663518,2.821399,12.449078,-58.956488,-28.847312,7.198147,-41.942261,-32.5084,-2.331921,-40.197127,-27.99881,-5.490489,mythic_spiritual,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=1,stable_anchor,1,19.842119,0.0,prior_first_loop/semantic_label_dependence_risk=3; semantic_label_dependence/role_label_theatricality=3; prior_first_loop/boundary_liminal_instability=3; prior_first_loop/theatrical_fantastical_vividness=2; destabilization_reactivity/volatility_liminality=3,mean_heldout_across_splits
widow,110,164,20.020308,25.78907,5.768762,22.36902,-28.683472,16.408026,-34.321128,-30.695149,13.502156,-14.615246,-27.256626,10.897896,-9.168023,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=1,stable_anchor,0,,,narrative_causal/wound_loss_exile=3; motivational/mission_duty_drive=3; motivational/hunger_wound_lack=3; destabilization_reactivity/reactive_opposition=2,apparent_full_model_no_heldout_split
loner,111,163,20.352331,12.22843,-8.123901,-66.434537,-17.846603,19.218578,-4.339708,-8.49443,25.212287,12.511108,-12.915886,12.017359,4.192609,grounded_social,original_prompt_k7=0;no_label_prompt_k7=2;role_name_k7=3,semantic_bridge_3,2,20.352331,3.042462,institutional/office_law_status=3; collective_distributed/swarm_collective_agency=3; prior_first_loop/interpersonal_lived_reactivity=2,mean_heldout_across_splits
sommelier,112,162,20.444901,27.538535,7.093634,25.758936,-0.155039,-5.31589,-4.98265,18.000484,-12.697217,-0.136193,24.541268,-7.357995,6.910008,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=2,semantic_bridge_3,3,20.444901,1.352304,prior_first_loop/theatrical_fantastical_vividness=2; assistant_adjacency/assistant_basin_adjacency=3; semantic_label_dependence/role_label_theatricality=2; prior_first_loop/assistant_basin_adjacency=2; interactional/cooperative_care=2,mean_heldout_across_splits
virtuoso,113,161,20.528737,27.835951,7.307214,26.250993,-9.471958,-14.786539,2.298527,-24.718934,-25.048701,10.589028,-34.17976,-27.393187,2.116693,procedural_professional,original_prompt_k7=4;no_label_prompt_k7=0;role_name_k7=2,stable_anchor,3,20.528737,1.802957,prior_first_loop/semantic_label_dependence_risk=3; semantic_label_dependence/role_label_theatricality=3; prior_first_loop/theatrical_fantastical_vividness=2; prior_first_loop/procedural_professional_orientation=3; interactional/adversarial_dominance=3,mean_heldout_across_splits
hedonist,114,160,20.624346,13.416476,-7.20787,-53.724015,-17.84046,12.575093,10.747692,-22.037067,16.032691,-9.14696,-22.305167,13.380008,-1.878485,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=0,semantic_bridge_3,1,20.624346,0.0,prior_first_loop/interpersonal_lived_reactivity=3,mean_heldout_across_splits
librarian,115,159,20.634839,13.070177,-7.564662,-57.877273,33.121629,-7.585921,0.480897,52.586021,-4.653096,4.661303,23.487302,-3.072307,8.00515,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=0,stable_anchor,2,20.634839,2.937864,collective_distributed/nonindividual_systemic_identity=3; institutional/office_law_status=3; interactional/cooperative_care=3; assistant_adjacency/assistant_basin_adjacency=3; prior_first_loop/procedural_professional_orientation=3,mean_heldout_across_splits
validator,116,158,20.66675,19.759494,-0.907256,-4.591494,44.306456,-6.813155,10.365233,27.467676,4.551696,14.16131,24.790577,-9.312085,8.542211,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=5;role_name_k7=6,semantic_bridge_2,1,20.66675,0.0,procedural/evaluate_judge_verify=3; institutional/office_law_status=3; prior_first_loop/procedural_professional_orientation=3,mean_heldout_across_splits
traditionalist,117,157,20.985006,26.317864,5.332858,20.263262,2.384568,-26.883152,-6.692218,3.911642,-8.738685,3.739313,0.442095,-8.835006,12.363521,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=0;role_name_k7=6,semantic_bridge_2,1,20.985006,0.0,institutional/office_law_status=3; collective_distributed/nonindividual_systemic_identity=2; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
planner,118,156,21.008711,16.427188,-4.581524,-27.889885,42.85947,-3.014497,3.62325,26.335218,8.368745,-2.015818,27.475351,-2.417901,-1.985236,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=5,stable_anchor,2,21.008711,1.832802,institutional/office_law_status=3; motivational/hunger_wound_lack=3; destabilization_reactivity/reactive_opposition=2,mean_heldout_across_splits
paramedic,119,155,21.023519,14.343173,-6.680346,-46.575096,26.068793,7.004018,-5.833329,22.814159,10.730981,-25.856234,15.191087,3.905617,-14.492108,procedural_professional,original_prompt_k7=5;no_label_prompt_k7=6;role_name_k7=3,semantic_bridge_3,3,21.023519,2.922978,narrative_causal/wound_loss_exile=3; procedural/evaluate_judge_verify=3; prior_first_loop/interpersonal_lived_reactivity=3; interactional/cooperative_care=3; institutional/standard_enforcement=3,mean_heldout_across_splits
