model,model_key,scope,outer_fold,entry_rank,trait_index,trait,selected_alpha,inner_normalized_3d_rmse,inner_rmse_improvement
Gemma-2-27B,gemma,core,kfold_42_1,9,110,hedonistic,0.0001,0.328994859095,0.0154920208053
Gemma-2-27B,gemma,core,kfold_42_1,10,62,deterministic,0.01,0.319125895201,0.00986896389389
Gemma-2-27B,gemma,core,kfold_42_1,11,214,strategic,0.1,0.295022572541,0.0241033226605
Gemma-2-27B,gemma,core,kfold_42_1,12,59,deontological,0.01,0.281340535783,0.0136820367578
Gemma-2-27B,gemma,core,kfold_42_2,1,107,grandiose,1,1.42667207375,0.305378733818
Gemma-2-27B,gemma,core,kfold_42_2,2,133,judgmental,0.1,1.03680286612,0.38986920763
Gemma-2-27B,gemma,core,kfold_42_2,3,85,erudite,0.0001,0.475342899503,0.561459966618
Gemma-2-27B,gemma,core,kfold_42_2,4,52,cryptic,1,0.420620626749,0.0547222727547
Gemma-2-27B,gemma,core,kfold_42_2,5,178,principled,1,0.387557090014,0.0330635367346
Gemma-2-27B,gemma,core,kfold_42_2,6,173,playful,1,0.35535335216,0.032203737854
Gemma-2-27B,gemma,core,kfold_42_2,7,151,naive,0.1,0.346184961957,0.0091683902035
Gemma-2-27B,gemma,core,kfold_42_2,8,62,deterministic,0.1,0.317150176766,0.0290347851901
Gemma-2-27B,gemma,core,kfold_42_2,9,131,ironic,0.1,0.29760264968,0.0195475270863
Gemma-2-27B,gemma,core,kfold_42_2,10,139,meditative,0.1,0.287320425999,0.0102822236808
Gemma-2-27B,gemma,core,kfold_42_2,11,128,introspective,0.1,0.274657321232,0.0126631047676
Gemma-2-27B,gemma,core,kfold_42_2,12,11,anthropocentric,0.1,0.258194733844,0.0164625873874
Gemma-2-27B,gemma,core,kfold_42_3,1,81,enigmatic,1,1.44653226787,0.285518539696
Gemma-2-27B,gemma,core,kfold_42_3,2,85,erudite,0.1,1.05574643844,0.390785829429
Gemma-2-27B,gemma,core,kfold_42_3,3,133,judgmental,0.1,0.474656356839,0.581090081605
Gemma-2-27B,gemma,core,kfold_42_3,4,128,introspective,0.1,0.430062269701,0.0445940871379
Gemma-2-27B,gemma,core,kfold_42_3,5,237,witty,0.1,0.398223394255,0.0318388754459
Gemma-2-27B,gemma,core,kfold_42_3,6,11,anthropocentric,0.1,0.370582154572,0.0276412396836
Gemma-2-27B,gemma,core,kfold_42_3,7,152,narrative,0.1,0.348752040128,0.0218301144432
Gemma-2-27B,gemma,core,kfold_42_3,8,23,calculating,0.1,0.327434072775,0.0213179673532
Gemma-2-27B,gemma,core,kfold_42_3,9,94,factual,0.1,0.313276123517,0.0141579492585
Gemma-2-27B,gemma,core,kfold_42_3,10,150,mystical,0.1,0.297614480069,0.015661643448
Gemma-2-27B,gemma,core,kfold_42_3,11,78,eloquent,0.01,0.272322183482,0.0252922965864
Gemma-2-27B,gemma,core,kfold_42_3,12,144,methodical,0.01,0.259871299427,0.0124508840558
Gemma-2-27B,gemma,core,kfold_42_4,1,85,erudite,0.0001,1.47295185184,0.259098955727
Gemma-2-27B,gemma,core,kfold_42_4,2,89,evil,0.0001,1.08504233788,0.387909513958
Gemma-2-27B,gemma,core,kfold_42_4,3,52,cryptic,0.1,0.484194825983,0.600847511901
Gemma-2-27B,gemma,core,kfold_42_4,4,72,edgy,0.1,0.437911428193,0.0462833977899
Gemma-2-27B,gemma,core,kfold_42_4,5,151,naive,0.1,0.405479574991,0.0324318532017
Gemma-2-27B,gemma,core,kfold_42_4,6,165,passive_aggressive,0.1,0.380739397075,0.0247401779155
Gemma-2-27B,gemma,core,kfold_42_4,7,156,nostalgic,0.1,0.35779357463,0.0229458224458
Gemma-2-27B,gemma,core,kfold_42_4,8,174,pluralist,0.1,0.341416149209,0.0163774254206
Gemma-2-27B,gemma,core,kfold_42_4,9,32,circumspect,0.1,0.318816477346,0.0225996718634
Gemma-2-27B,gemma,core,kfold_42_4,10,139,meditative,0.1,0.291951608167,0.0268648691786
Gemma-2-27B,gemma,core,kfold_42_4,11,62,deterministic,0.1,0.278693843869,0.0132577642978
Gemma-2-27B,gemma,core,kfold_42_4,12,230,universalist,0.1,0.268940918666,0.00975292520333
Gemma-2-27B,gemma,extended,kfold_42_0,1,62,deterministic,10,2.33810406552,0.111385677263
Gemma-2-27B,gemma,extended,kfold_42_0,2,133,judgmental,1,2.13918665232,0.198917413204
Gemma-2-27B,gemma,extended,kfold_42_0,3,79,emotional,1,1.92235849399,0.216828158327
Gemma-2-27B,gemma,extended,kfold_42_0,4,151,naive,1,1.63876671288,0.283591781109
Gemma-2-27B,gemma,extended,kfold_42_0,5,45,contemporary,0.0001,1.29104695828,0.3477197546
Gemma-2-27B,gemma,extended,kfold_42_0,6,235,visceral,0.0001,0.960952343565,0.330094614715
Gemma-2-27B,gemma,extended,kfold_42_0,7,138,materialist,0.0001,0.849022059078,0.111930284487
Gemma-2-27B,gemma,extended,kfold_42_0,8,48,cosmopolitan,0.0001,0.804732294808,0.0442897642702
Gemma-2-27B,gemma,extended,kfold_42_0,9,6,adventurous,0.0001,0.752563880601,0.052168414207
Gemma-2-27B,gemma,extended,kfold_42_0,10,88,ethereal,0.0001,0.701626412485,0.0509374681158
Gemma-2-27B,gemma,extended,kfold_42_0,11,224,temperamental,0.1,0.663558029935,0.0380683825503
Gemma-2-27B,gemma,extended,kfold_42_0,12,54,cynical,0.1,0.630258490294,0.0332995396407
Gemma-2-27B,gemma,extended,kfold_42_1,1,79,emotional,1,2.29244993857,0.157039804211
Gemma-2-27B,gemma,extended,kfold_42_1,2,107,grandiose,1,2.07312152038,0.219328418192
Gemma-2-27B,gemma,extended,kfold_42_1,3,8,altruistic,1,1.85109124973,0.222030270651
Gemma-2-27B,gemma,extended,kfold_42_1,4,151,naive,10,1.5781943632,0.272896886529
Gemma-2-27B,gemma,extended,kfold_42_1,5,48,cosmopolitan,1,1.35237048797,0.225823875226
Gemma-2-27B,gemma,extended,kfold_42_1,6,88,ethereal,0.1,1.1263213722,0.226049115778
Gemma-2-27B,gemma,extended,kfold_42_1,7,62,deterministic,0.0001,0.974509504314,0.151811867883
Gemma-2-27B,gemma,extended,kfold_42_1,8,165,passive_aggressive,0.0001,0.867190277483,0.107319226831
Gemma-2-27B,gemma,extended,kfold_42_1,9,134,libertarian,0.1,0.767818241256,0.0993720362267
Gemma-2-27B,gemma,extended,kfold_42_1,10,81,enigmatic,0.0001,0.709186974231,0.0586312670256
Gemma-2-27B,gemma,extended,kfold_42_1,11,228,transparent,0.0001,0.673193674883,0.0359932993477
Gemma-2-27B,gemma,extended,kfold_42_1,12,64,disorganized,0.0001,0.629678620641,0.0435150542423
Gemma-2-27B,gemma,extended,kfold_42_2,1,183,qualitative,1,2.2522750483,0.197214694488
Gemma-2-27B,gemma,extended,kfold_42_2,2,51,cruel,1,2.00931578555,0.242959262748
Gemma-2-27B,gemma,extended,kfold_42_2,3,197,ritualistic,1,1.7682440263,0.241071759245
Gemma-2-27B,gemma,extended,kfold_42_2,4,151,naive,0.1,1.50296272977,0.265281296529
Gemma-2-27B,gemma,extended,kfold_42_2,5,48,cosmopolitan,1,1.26383725164,0.239125478129
Gemma-2-27B,gemma,extended,kfold_42_2,6,138,materialist,0.1,1.05565355531,0.208183696331
Gemma-2-27B,gemma,extended,kfold_42_2,7,171,petty,0.1,0.958942110668,0.0967114446456
Gemma-2-27B,gemma,extended,kfold_42_2,8,225,theatrical,0.01,0.874747229249,0.0841948814185
Gemma-2-27B,gemma,extended,kfold_42_2,9,88,ethereal,0.1,0.763724178372,0.111023050878
Gemma-2-27B,gemma,extended,kfold_42_2,10,213,stoic,0.1,0.68784356818,0.0758806101915
Gemma-2-27B,gemma,extended,kfold_42_2,11,198,romantic,0.0001,0.627097088725,0.0607464794556
Gemma-2-27B,gemma,extended,kfold_42_2,12,186,rationalist,0.0001,0.59893834123,0.0281587474941
Gemma-2-27B,gemma,extended,kfold_42_3,1,151,naive,10,2.27854027972,0.170949463063
Gemma-2-27B,gemma,extended,kfold_42_3,2,211,spiritual,1,2.04723157315,0.231308706571
Gemma-2-27B,gemma,extended,kfold_42_3,3,215,stream_of_consciousness,1,1.79779654065,0.249435032494
Gemma-2-27B,gemma,extended,kfold_42_3,4,62,deterministic,0.1,1.50674509281,0.291051447848
Gemma-2-27B,gemma,extended,kfold_42_3,5,48,cosmopolitan,0.1,1.25454025616,0.25220483665
Gemma-2-27B,gemma,extended,kfold_42_3,6,131,ironic,0.1,0.977107086133,0.277433170023
Gemma-2-27B,gemma,extended,kfold_42_3,7,173,playful,0.1,0.841355567316,0.135751518817
Gemma-2-27B,gemma,extended,kfold_42_3,8,172,philosophical,0.1,0.75459608818,0.0867594791356
Gemma-2-27B,gemma,extended,kfold_42_3,9,80,empathetic,0.1,0.681861681874,0.0727344063067
Gemma-2-27B,gemma,extended,kfold_42_3,10,238,wry,0.1,0.653398008643,0.0284636732304
Gemma-2-27B,gemma,extended,kfold_42_3,11,71,eclectic,0.1,0.631309078294,0.022088930349
Gemma-2-27B,gemma,extended,kfold_42_3,12,147,misanthropic,0.1,0.598133720901,0.0331753573932
Gemma-2-27B,gemma,extended,kfold_42_4,1,80,empathetic,1,2.31095308711,0.138536655676
Gemma-2-27B,gemma,extended,kfold_42_4,2,150,mystical,1,2.09064893574,0.220304151368
Gemma-2-27B,gemma,extended,kfold_42_4,3,131,ironic,1,1.86425037319,0.226398562545
Gemma-2-27B,gemma,extended,kfold_42_4,4,138,materialist,0.1,1.62955812074,0.234692252451
Gemma-2-27B,gemma,extended,kfold_42_4,5,151,naive,0.0001,1.35295460396,0.27660351678
Gemma-2-27B,gemma,extended,kfold_42_4,6,48,cosmopolitan,0.0001,0.985200748057,0.367753855906
Gemma-2-27B,gemma,extended,kfold_42_4,7,62,deterministic,0.0001,0.849286887443,0.135913860614
Gemma-2-27B,gemma,extended,kfold_42_4,8,144,methodical,0.1,0.763857939173,0.0854289482693
Gemma-2-27B,gemma,extended,kfold_42_4,9,173,playful,0.1,0.713532473442,0.0503254657313
Gemma-2-27B,gemma,extended,kfold_42_4,10,89,evil,0.1,0.679046031676,0.0344864417663
Gemma-2-27B,gemma,extended,kfold_42_4,11,53,curious,0.1,0.650933010557,0.0281130211194
Gemma-2-27B,gemma,extended,kfold_42_4,12,71,eclectic,0.1,0.620299233228,0.0306337773287
