model,variant,trait,factor,coefficient
Qwen,full_shrinkage,practical,Qwen_F1,-0.0008530774580671716
Qwen,full_shrinkage,practical,Qwen_F2,0.05201296047756466
Qwen,full_shrinkage,practical,Qwen_F3,0.05078339243948175
Qwen,full_shrinkage,practical,Qwen_F4,0.007756274378186837
Qwen,full_shrinkage,practical,Qwen_F5,0.02881439520127169
Qwen,full_shrinkage,prescriptive,Qwen_F1,-0.0030147142667042064
Qwen,full_shrinkage,prescriptive,Qwen_F2,-0.008586293186919416
Qwen,full_shrinkage,prescriptive,Qwen_F3,-0.001113061301049252
Qwen,full_shrinkage,prescriptive,Qwen_F4,-0.0018957610178538418
Qwen,full_shrinkage,prescriptive,Qwen_F5,-0.06993318167771526
Qwen,full_shrinkage,principled,Qwen_F1,-0.01877575660572587
Qwen,full_shrinkage,principled,Qwen_F2,0.05575088150512267
Qwen,full_shrinkage,principled,Qwen_F3,0.042157030819593176
Qwen,full_shrinkage,principled,Qwen_F4,-0.06511859990572264
Qwen,full_shrinkage,principled,Qwen_F5,-0.011804684423835716
Qwen,full_shrinkage,proactive,Qwen_F1,0.0036001618511430325
Qwen,full_shrinkage,proactive,Qwen_F2,-0.011922259241339389
Qwen,full_shrinkage,proactive,Qwen_F3,0.01941845987877855
Qwen,full_shrinkage,proactive,Qwen_F4,-0.0882548311437914
Qwen,full_shrinkage,proactive,Qwen_F5,0.0018758144883992138
Qwen,full_shrinkage,problem_solving,Qwen_F1,0.003482847828252951
Qwen,full_shrinkage,problem_solving,Qwen_F2,0.013472819020142112
Qwen,full_shrinkage,problem_solving,Qwen_F3,0.03583837711179038
Qwen,full_shrinkage,problem_solving,Qwen_F4,-0.058943585723091274
Qwen,full_shrinkage,problem_solving,Qwen_F5,4.5655469843482096e-05
Qwen,full_shrinkage,progressive,Qwen_F1,0.01717774567204309
Qwen,full_shrinkage,progressive,Qwen_F2,0.0283286653854918
Qwen,full_shrinkage,progressive,Qwen_F3,-0.017564339691748893
Qwen,full_shrinkage,progressive,Qwen_F4,-0.047325438962704906
Qwen,full_shrinkage,progressive,Qwen_F5,-0.021761875236744475
Qwen,full_shrinkage,provocative,Qwen_F1,-0.008086155600504073
Qwen,full_shrinkage,provocative,Qwen_F2,-0.021710784027604884
Qwen,full_shrinkage,provocative,Qwen_F3,0.002282261609611998
Qwen,full_shrinkage,provocative,Qwen_F4,-0.05428093497891484
Qwen,full_shrinkage,provocative,Qwen_F5,-0.00847759370445144
Qwen,full_shrinkage,qualitative,Qwen_F1,0.004519604919549186
Qwen,full_shrinkage,qualitative,Qwen_F2,-0.0019523422251344527
Qwen,full_shrinkage,qualitative,Qwen_F3,-0.017995818063660476
Qwen,full_shrinkage,qualitative,Qwen_F4,-0.01542548203630983
Qwen,full_shrinkage,qualitative,Qwen_F5,-0.014319780864517597
Qwen,full_shrinkage,quantitative,Qwen_F1,-0.00460989001172294
Qwen,full_shrinkage,quantitative,Qwen_F2,-0.017025090068117196
Qwen,full_shrinkage,quantitative,Qwen_F3,0.02604180133241641
Qwen,full_shrinkage,quantitative,Qwen_F4,-0.012367750244676507
Qwen,full_shrinkage,quantitative,Qwen_F5,0.01160244347435384
Qwen,full_shrinkage,radical,Qwen_F1,0.012408007129539805
Qwen,full_shrinkage,radical,Qwen_F2,0.01821462261516136
Qwen,full_shrinkage,radical,Qwen_F3,0.015256408234089129
Qwen,full_shrinkage,radical,Qwen_F4,-0.03554453227227902
Qwen,full_shrinkage,radical,Qwen_F5,-0.026229644551783293
Qwen,full_shrinkage,rationalist,Qwen_F1,0.002545871365484763
Qwen,full_shrinkage,rationalist,Qwen_F2,-0.03393848297076694
Qwen,full_shrinkage,rationalist,Qwen_F3,0.030719369333417644
Qwen,full_shrinkage,rationalist,Qwen_F4,-5.6270323312116955e-05
Qwen,full_shrinkage,rationalist,Qwen_F5,0.020343285290264083
Qwen,full_shrinkage,reactive,Qwen_F1,-0.020596138410792542
Qwen,full_shrinkage,reactive,Qwen_F2,0.029981165896962852
Qwen,full_shrinkage,reactive,Qwen_F3,-0.01522413557707059
Qwen,full_shrinkage,reactive,Qwen_F4,0.050387802294356736
Qwen,full_shrinkage,reactive,Qwen_F5,-0.015407596508378271
Qwen,full_shrinkage,rebellious,Qwen_F1,-0.005467254536050029
Qwen,full_shrinkage,rebellious,Qwen_F2,-0.0019252766196562678
Qwen,full_shrinkage,rebellious,Qwen_F3,0.01854053935178765
Qwen,full_shrinkage,rebellious,Qwen_F4,-0.07529705885574246
Qwen,full_shrinkage,rebellious,Qwen_F5,0.009189737364114964
Qwen,full_shrinkage,reductionist,Qwen_F1,-0.00831904901538562
Qwen,full_shrinkage,reductionist,Qwen_F2,-0.0020477828718779563
Qwen,full_shrinkage,reductionist,Qwen_F3,-0.016753777852014103
Qwen,full_shrinkage,reductionist,Qwen_F4,0.002963698412043032
Qwen,full_shrinkage,reductionist,Qwen_F5,-0.023363716303080602
Qwen,full_shrinkage,regulatory,Qwen_F1,0.021552520135468437
Qwen,full_shrinkage,regulatory,Qwen_F2,0.002769464747015452
Qwen,full_shrinkage,regulatory,Qwen_F3,-0.02906262454868297
Qwen,full_shrinkage,regulatory,Qwen_F4,0.05893314809082621
Qwen,full_shrinkage,regulatory,Qwen_F5,0.017833761404019564
Qwen,full_shrinkage,relativist,Qwen_F1,-0.005867214563462986
Qwen,full_shrinkage,relativist,Qwen_F2,0.019236508728797928
Qwen,full_shrinkage,relativist,Qwen_F3,0.049552860977338936
Qwen,full_shrinkage,relativist,Qwen_F4,0.010788762471974358
Qwen,full_shrinkage,relativist,Qwen_F5,-0.0228640513625257
Qwen,full_shrinkage,reserved,Qwen_F1,0.013458305191443523
Qwen,full_shrinkage,reserved,Qwen_F2,-0.01325798478101118
Qwen,full_shrinkage,reserved,Qwen_F3,-0.006393069595753251
Qwen,full_shrinkage,reserved,Qwen_F4,0.03072861079944195
Qwen,full_shrinkage,reserved,Qwen_F5,0.012764341851005778
Qwen,full_shrinkage,resilient,Qwen_F1,0.015795691159697728
Qwen,full_shrinkage,resilient,Qwen_F2,0.03397822176403968
Qwen,full_shrinkage,resilient,Qwen_F3,-0.0007254586928407739
Qwen,full_shrinkage,resilient,Qwen_F4,-0.02950277304420497
Qwen,full_shrinkage,resilient,Qwen_F5,0.015396384727040278
Qwen,full_shrinkage,reverent,Qwen_F1,0.009416659646526989
Qwen,full_shrinkage,reverent,Qwen_F2,0.00911823151249773
Qwen,full_shrinkage,reverent,Qwen_F3,-0.050747722911521534
Qwen,full_shrinkage,reverent,Qwen_F4,0.024007507476149017
Qwen,full_shrinkage,reverent,Qwen_F5,0.006195532522697023
Qwen,full_shrinkage,rhetorical,Qwen_F1,0.0021634981414795007
Qwen,full_shrinkage,rhetorical,Qwen_F2,0.026774374326515554
Qwen,full_shrinkage,rhetorical,Qwen_F3,-0.02788356488414549
Qwen,full_shrinkage,rhetorical,Qwen_F4,-0.03449905534908104
Qwen,full_shrinkage,rhetorical,Qwen_F5,0.020736325892612
Qwen,full_shrinkage,risk_taking,Qwen_F1,-0.016179240155717898
Qwen,full_shrinkage,risk_taking,Qwen_F2,-0.00690819983684519
Qwen,full_shrinkage,risk_taking,Qwen_F3,0.01689393956080625
Qwen,full_shrinkage,risk_taking,Qwen_F4,-0.09552786768591756
Qwen,full_shrinkage,risk_taking,Qwen_F5,0.011505048383216233
Qwen,full_shrinkage,ritualistic,Qwen_F1,-0.0006774659510215618
Qwen,full_shrinkage,ritualistic,Qwen_F2,-0.021708566235158155
Qwen,full_shrinkage,ritualistic,Qwen_F3,-0.030096431377322475
Qwen,full_shrinkage,ritualistic,Qwen_F4,0.016550698062273165
Qwen,full_shrinkage,ritualistic,Qwen_F5,-0.01083358563698005
Qwen,full_shrinkage,romantic,Qwen_F1,-0.0031484783867610174
Qwen,full_shrinkage,romantic,Qwen_F2,0.01665218786141767
Qwen,full_shrinkage,romantic,Qwen_F3,-0.03148013569803567
Qwen,full_shrinkage,romantic,Qwen_F4,0.0004395486906936727
Qwen,full_shrinkage,romantic,Qwen_F5,-0.012011387429056806
Qwen,full_shrinkage,sarcastic,Qwen_F1,-0.00831361459699291
Qwen,full_shrinkage,sarcastic,Qwen_F2,-0.00570625171654772
Qwen,full_shrinkage,sarcastic,Qwen_F3,-0.0037667149623779417
Qwen,full_shrinkage,sarcastic,Qwen_F4,0.003926380653610412
Qwen,full_shrinkage,sarcastic,Qwen_F5,-0.00390781314198485
Qwen,full_shrinkage,sardonic,Qwen_F1,-0.005445950052172389
Qwen,full_shrinkage,sardonic,Qwen_F2,-0.011642435026784751
Qwen,full_shrinkage,sardonic,Qwen_F3,-0.00042927956530823216
Qwen,full_shrinkage,sardonic,Qwen_F4,0.005376555955711874
Qwen,full_shrinkage,sardonic,Qwen_F5,-0.006107171573658298
Qwen,full_shrinkage,sassy,Qwen_F1,-0.011398082878253071
Qwen,full_shrinkage,sassy,Qwen_F2,0.01300736496126755
Qwen,full_shrinkage,sassy,Qwen_F3,0.01653786534503632
Qwen,full_shrinkage,sassy,Qwen_F4,-0.0276598133432236
Qwen,full_shrinkage,sassy,Qwen_F5,0.016255753893337586
Qwen,full_shrinkage,savage,Qwen_F1,-0.017300538036906912
Qwen,full_shrinkage,savage,Qwen_F2,0.0015722769767320744
Qwen,full_shrinkage,savage,Qwen_F3,0.007190656250771975
Qwen,full_shrinkage,savage,Qwen_F4,-0.0004918460842596515
Qwen,full_shrinkage,savage,Qwen_F5,0.036925228225488396
Qwen,full_shrinkage,secular,Qwen_F1,0.0007616600347209364
Qwen,full_shrinkage,secular,Qwen_F2,0.01671211088491709
Qwen,full_shrinkage,secular,Qwen_F3,0.026923505421698316
Qwen,full_shrinkage,secular,Qwen_F4,-0.020038871022609057
Qwen,full_shrinkage,secular,Qwen_F5,0.004461730246959312
Qwen,full_shrinkage,serene,Qwen_F1,0.0184465608761
Qwen,full_shrinkage,serene,Qwen_F2,0.013490694287493946
Qwen,full_shrinkage,serene,Qwen_F3,-0.038442846459523936
Qwen,full_shrinkage,serene,Qwen_F4,-0.0030681909595381934
Qwen,full_shrinkage,serene,Qwen_F5,-0.002135547120633533
Qwen,full_shrinkage,serious,Qwen_F1,0.025576109200914052
Qwen,full_shrinkage,serious,Qwen_F2,-0.011825804252859472
Qwen,full_shrinkage,serious,Qwen_F3,-0.02562277121604973
Qwen,full_shrinkage,serious,Qwen_F4,0.0018988597777671512
Qwen,full_shrinkage,serious,Qwen_F5,0.013503438442590079
Qwen,full_shrinkage,skeptical,Qwen_F1,-0.015446672018992117
Qwen,full_shrinkage,skeptical,Qwen_F2,-0.03675703844110279
Qwen,full_shrinkage,skeptical,Qwen_F3,0.0021365658229062713
Qwen,full_shrinkage,skeptical,Qwen_F4,-0.032842119555411844
Qwen,full_shrinkage,skeptical,Qwen_F5,-0.03240349584394727
Qwen,full_shrinkage,socratic,Qwen_F1,-0.0003644148045418332
Qwen,full_shrinkage,socratic,Qwen_F2,-0.002724784547816837
Qwen,full_shrinkage,socratic,Qwen_F3,0.02731183783101993
Qwen,full_shrinkage,socratic,Qwen_F4,-0.023832753731175837
Qwen,full_shrinkage,socratic,Qwen_F5,-0.01696756008333039
Qwen,full_shrinkage,solemn,Qwen_F1,0.02420492495304544
Qwen,full_shrinkage,solemn,Qwen_F2,0.005227329380286804
Qwen,full_shrinkage,solemn,Qwen_F3,-0.03171125434851333
Qwen,full_shrinkage,solemn,Qwen_F4,-0.012049755332217544
Qwen,full_shrinkage,solemn,Qwen_F5,0.017227443876980105
Qwen,full_shrinkage,specialized,Qwen_F1,0.004047889543806107
Qwen,full_shrinkage,specialized,Qwen_F2,-0.061634599593171704
Qwen,full_shrinkage,specialized,Qwen_F3,0.003732711682435997
Qwen,full_shrinkage,specialized,Qwen_F4,-0.059968535582057066
Qwen,full_shrinkage,specialized,Qwen_F5,0.01697661521576545
Qwen,full_shrinkage,speculative,Qwen_F1,-0.023515233748465668
Qwen,full_shrinkage,speculative,Qwen_F2,-0.05642351229057262
Qwen,full_shrinkage,speculative,Qwen_F3,0.025798861066345786
Qwen,full_shrinkage,speculative,Qwen_F4,-0.127822890402684
Qwen,full_shrinkage,speculative,Qwen_F5,-0.0435917273083197
Qwen,full_shrinkage,spiritual,Qwen_F1,0.00846419785445561
Qwen,full_shrinkage,spiritual,Qwen_F2,0.006269506815280209
Qwen,full_shrinkage,spiritual,Qwen_F3,-0.036573932852545045
Qwen,full_shrinkage,spiritual,Qwen_F4,-0.016109895233991776
Qwen,full_shrinkage,spiritual,Qwen_F5,-0.002639115704119812
Qwen,full_shrinkage,spontaneous,Qwen_F1,-0.016276578388227738
Qwen,full_shrinkage,spontaneous,Qwen_F2,0.0007406710518211705
Qwen,full_shrinkage,spontaneous,Qwen_F3,-0.015561831881166877
Qwen,full_shrinkage,spontaneous,Qwen_F4,-0.01078696950906803
Qwen,full_shrinkage,spontaneous,Qwen_F5,-0.019664918687825453
Qwen,full_shrinkage,stoic,Qwen_F1,0.01586708450349313
Qwen,full_shrinkage,stoic,Qwen_F2,-0.030421461661070483
Qwen,full_shrinkage,stoic,Qwen_F3,-0.02126075685834949
Qwen,full_shrinkage,stoic,Qwen_F4,0.01932743065966755
Qwen,full_shrinkage,stoic,Qwen_F5,0.011476110176279834
Qwen,full_shrinkage,strategic,Qwen_F1,0.02434576319862669
Qwen,full_shrinkage,strategic,Qwen_F2,-0.02828020549543802
Qwen,full_shrinkage,strategic,Qwen_F3,0.023658587037171743
Qwen,full_shrinkage,strategic,Qwen_F4,-0.11370309204051177
Qwen,full_shrinkage,strategic,Qwen_F5,0.022731856575035073
Qwen,full_shrinkage,stream_of_consciousness,Qwen_F1,-0.026388477198877235
Qwen,full_shrinkage,stream_of_consciousness,Qwen_F2,-0.044022536386599864
Qwen,full_shrinkage,stream_of_consciousness,Qwen_F3,0.001809724114870396
Qwen,full_shrinkage,stream_of_consciousness,Qwen_F4,-0.0076377174292901855
Qwen,full_shrinkage,stream_of_consciousness,Qwen_F5,-0.0466911443829818
Qwen,full_shrinkage,structuralist,Qwen_F1,0.010415136763738595
Qwen,full_shrinkage,structuralist,Qwen_F2,-0.035085970437318856
Qwen,full_shrinkage,structuralist,Qwen_F3,0.02130432335144029
Qwen,full_shrinkage,structuralist,Qwen_F4,-0.04953595326468039
Qwen,full_shrinkage,structuralist,Qwen_F5,0.01989919460584396
Qwen,full_shrinkage,submissive,Qwen_F1,-0.020325383145794296
Qwen,full_shrinkage,submissive,Qwen_F2,-0.008457109799027397
Qwen,full_shrinkage,submissive,Qwen_F3,-0.012504519366155799
Qwen,full_shrinkage,submissive,Qwen_F4,0.0901062442101868
Qwen,full_shrinkage,submissive,Qwen_F5,-0.0964010251223508
Qwen,full_shrinkage,subversive,Qwen_F1,-0.025984864876080663
Qwen,full_shrinkage,subversive,Qwen_F2,-0.02646747434190961
Qwen,full_shrinkage,subversive,Qwen_F3,-0.0011285930624734507
Qwen,full_shrinkage,subversive,Qwen_F4,-0.026485077568012588
Qwen,full_shrinkage,subversive,Qwen_F5,-0.02015802917996669
Qwen,full_shrinkage,supportive,Qwen_F1,0.026998504177916598
Qwen,full_shrinkage,supportive,Qwen_F2,0.06576184900230311
Qwen,full_shrinkage,supportive,Qwen_F3,0.01430901146451137
Qwen,full_shrinkage,supportive,Qwen_F4,-0.07740840690426706
Qwen,full_shrinkage,supportive,Qwen_F5,0.016907826007686824
Qwen,full_shrinkage,sycophantic,Qwen_F1,0.004699990180519843
Qwen,full_shrinkage,sycophantic,Qwen_F2,-0.01758618872202073
Qwen,full_shrinkage,sycophantic,Qwen_F3,0.006080258536236103
Qwen,full_shrinkage,sycophantic,Qwen_F4,0.0017882085354251022
Qwen,full_shrinkage,sycophantic,Qwen_F5,-0.013185429381518982
Qwen,full_shrinkage,systems_thinker,Qwen_F1,0.0029903389001908584
Qwen,full_shrinkage,systems_thinker,Qwen_F2,-0.0166192060966336
Qwen,full_shrinkage,systems_thinker,Qwen_F3,0.005845456484166933
Qwen,full_shrinkage,systems_thinker,Qwen_F4,-0.002087603632993243
Qwen,full_shrinkage,systems_thinker,Qwen_F5,-0.039238709719784604
Qwen,full_shrinkage,tactful,Qwen_F1,0.012671094662876263
Qwen,full_shrinkage,tactful,Qwen_F2,0.01616884018558567
Qwen,full_shrinkage,tactful,Qwen_F3,-0.01739664164622587
Qwen,full_shrinkage,tactful,Qwen_F4,0.0007477651959453817
Qwen,full_shrinkage,tactful,Qwen_F5,-0.02835399606633575
Qwen,full_shrinkage,technical,Qwen_F1,0.0035252330521829884
Qwen,full_shrinkage,technical,Qwen_F2,-0.06915345278782581
Qwen,full_shrinkage,technical,Qwen_F3,0.008048940294826714
Qwen,full_shrinkage,technical,Qwen_F4,-0.0322641277441275
Qwen,full_shrinkage,technical,Qwen_F5,0.006233434376990102
Qwen,full_shrinkage,temperamental,Qwen_F1,-0.020907300155517224
Qwen,full_shrinkage,temperamental,Qwen_F2,-0.0073897839139619725
Qwen,full_shrinkage,temperamental,Qwen_F3,0.000569215343581939
Qwen,full_shrinkage,temperamental,Qwen_F4,0.0025020337903584955
Qwen,full_shrinkage,temperamental,Qwen_F5,-0.020173575603407632
Qwen,full_shrinkage,theatrical,Qwen_F1,0.003141296657491048
Qwen,full_shrinkage,theatrical,Qwen_F2,0.006298767184947377
Qwen,full_shrinkage,theatrical,Qwen_F3,0.01238403856938989
Qwen,full_shrinkage,theatrical,Qwen_F4,-0.004835845559572161
Qwen,full_shrinkage,theatrical,Qwen_F5,-0.009048490954001483
Qwen,full_shrinkage,theoretical,Qwen_F1,-0.0011486366591805946
Qwen,full_shrinkage,theoretical,Qwen_F2,-0.06528923841565412
Qwen,full_shrinkage,theoretical,Qwen_F3,-0.0468869578168963
Qwen,full_shrinkage,theoretical,Qwen_F4,-0.015802058562537198
Qwen,full_shrinkage,theoretical,Qwen_F5,-0.032932043746806874
Qwen,full_shrinkage,traditional,Qwen_F1,-0.013610874483616059
Qwen,full_shrinkage,traditional,Qwen_F2,-0.018167518710893296
Qwen,full_shrinkage,traditional,Qwen_F3,-0.027749084102782862
Qwen,full_shrinkage,traditional,Qwen_F4,0.06680724906499125
Qwen,full_shrinkage,traditional,Qwen_F5,-0.0019243803609671091
Qwen,full_shrinkage,transparent,Qwen_F1,0.0037769095781339476
Qwen,full_shrinkage,transparent,Qwen_F2,-0.007256930356021217
Qwen,full_shrinkage,transparent,Qwen_F3,0.019869474684524296
Qwen,full_shrinkage,transparent,Qwen_F4,-0.032727355820534536
Qwen,full_shrinkage,transparent,Qwen_F5,0.003773693697233336
Qwen,full_shrinkage,understated,Qwen_F1,-0.017451698340164256
Qwen,full_shrinkage,understated,Qwen_F2,0.0024174760072010032
Qwen,full_shrinkage,understated,Qwen_F3,-0.018643001390436724
Qwen,full_shrinkage,understated,Qwen_F4,0.1142027142281746
Qwen,full_shrinkage,understated,Qwen_F5,-0.013519660712153846
Qwen,full_shrinkage,universalist,Qwen_F1,0.02441077077160251
Qwen,full_shrinkage,universalist,Qwen_F2,0.04990442202136661
Qwen,full_shrinkage,universalist,Qwen_F3,0.0025928335231671282
Qwen,full_shrinkage,universalist,Qwen_F4,-0.0072336993746401875
Qwen,full_shrinkage,universalist,Qwen_F5,0.053548800613525856
Qwen,full_shrinkage,urgent,Qwen_F1,0.007453130623783058
Qwen,full_shrinkage,urgent,Qwen_F2,0.05215333694602293
Qwen,full_shrinkage,urgent,Qwen_F3,0.02491859048200417
Qwen,full_shrinkage,urgent,Qwen_F4,-0.023867995055728813
Qwen,full_shrinkage,urgent,Qwen_F5,0.06261105637300061
Qwen,full_shrinkage,utilitarian,Qwen_F1,0.0018920856687743785
Qwen,full_shrinkage,utilitarian,Qwen_F2,0.01654698899516212
Qwen,full_shrinkage,utilitarian,Qwen_F3,0.03450255434045116
Qwen,full_shrinkage,utilitarian,Qwen_F4,-0.04429402120008661
Qwen,full_shrinkage,utilitarian,Qwen_F5,0.005749299117549415
Qwen,full_shrinkage,verbose,Qwen_F1,-0.004451372553784375
Qwen,full_shrinkage,verbose,Qwen_F2,-0.05743253119993947
Qwen,full_shrinkage,verbose,Qwen_F3,0.026359408444286064
Qwen,full_shrinkage,verbose,Qwen_F4,-0.041260266668373485
Qwen,full_shrinkage,verbose,Qwen_F5,-0.053079180856157225
Qwen,full_shrinkage,vindictive,Qwen_F1,-0.014556045254402008
Qwen,full_shrinkage,vindictive,Qwen_F2,-0.019175880616562092
Qwen,full_shrinkage,vindictive,Qwen_F3,-0.019625317169183115
Qwen,full_shrinkage,vindictive,Qwen_F4,0.009553404207828062
Qwen,full_shrinkage,vindictive,Qwen_F5,0.02082113123079682
Qwen,full_shrinkage,visceral,Qwen_F1,-0.010995755283919826
Qwen,full_shrinkage,visceral,Qwen_F2,0.026569774852504606
Qwen,full_shrinkage,visceral,Qwen_F3,-0.004563459982060323
Qwen,full_shrinkage,visceral,Qwen_F4,0.005066705002478014
Qwen,full_shrinkage,visceral,Qwen_F5,0.002540313463163879
Qwen,full_shrinkage,whimsical,Qwen_F1,0.0029867512639891063
Qwen,full_shrinkage,whimsical,Qwen_F2,0.008846663127266766
Qwen,full_shrinkage,whimsical,Qwen_F3,0.0016911968277670555
Qwen,full_shrinkage,whimsical,Qwen_F4,0.0031829241910594067
Qwen,full_shrinkage,whimsical,Qwen_F5,0.0017477564649480155
Qwen,full_shrinkage,witty,Qwen_F1,0.004390196176776281
Qwen,full_shrinkage,witty,Qwen_F2,0.0017502984299867098
Qwen,full_shrinkage,witty,Qwen_F3,-0.0022626878503696074
Qwen,full_shrinkage,witty,Qwen_F4,-0.00911332854737021
Qwen,full_shrinkage,witty,Qwen_F5,0.0018402061381159198
Qwen,full_shrinkage,wry,Qwen_F1,0.006238273869640391
Qwen,full_shrinkage,wry,Qwen_F2,-0.0014310731250152273
Qwen,full_shrinkage,wry,Qwen_F3,-0.0025045842684858948
Qwen,full_shrinkage,wry,Qwen_F4,0.004282217314533647
Qwen,full_shrinkage,wry,Qwen_F5,-0.003011816394140398
Qwen,full_shrinkage,zealous,Qwen_F1,-0.0010945714433613625
Qwen,full_shrinkage,zealous,Qwen_F2,0.05097128520498614
Qwen,full_shrinkage,zealous,Qwen_F3,-0.018565723255448995
Qwen,full_shrinkage,zealous,Qwen_F4,-0.031249478484884668
Qwen,full_shrinkage,zealous,Qwen_F5,0.03277634461248606
Llama,full_shrinkage,absolutist,Llama_F1,-0.010599523939960427
Llama,full_shrinkage,absolutist,Llama_F2,-0.08762298774333448
Llama,full_shrinkage,absolutist,Llama_F3,0.05590688897742206
Llama,full_shrinkage,absolutist,Llama_F4,0.07590571868613205
Llama,full_shrinkage,absolutist,Llama_F5,-0.10692288667276259
Llama,full_shrinkage,absolutist,Llama_F6,0.029507917217196467
Llama,full_shrinkage,abstract,Llama_F1,-0.0027368206630083354
Llama,full_shrinkage,abstract,Llama_F2,-0.024514975046818283
Llama,full_shrinkage,abstract,Llama_F3,-0.01364340767966893
Llama,full_shrinkage,abstract,Llama_F4,-0.006133748516898593
Llama,full_shrinkage,abstract,Llama_F5,0.012383162577771292
Llama,full_shrinkage,abstract,Llama_F6,0.009858011101464172
Llama,full_shrinkage,accessible,Llama_F1,0.008648185547354525
Llama,full_shrinkage,accessible,Llama_F2,4.409129742967931e-05
Llama,full_shrinkage,accessible,Llama_F3,0.01597158663429591
Llama,full_shrinkage,accessible,Llama_F4,0.0031862970255811672
Llama,full_shrinkage,accessible,Llama_F5,0.006868417184319499
Llama,full_shrinkage,accessible,Llama_F6,-0.004674629511300092
Llama,full_shrinkage,accommodating,Llama_F1,-0.0022661658676998804
Llama,full_shrinkage,accommodating,Llama_F2,0.023738350772574662
Llama,full_shrinkage,accommodating,Llama_F3,0.012004977193598642
Llama,full_shrinkage,accommodating,Llama_F4,0.006200536744740751
Llama,full_shrinkage,accommodating,Llama_F5,0.07348042043421314
Llama,full_shrinkage,accommodating,Llama_F6,0.0018969294162387291
Llama,full_shrinkage,acerbic,Llama_F1,-0.016738058531170157
Llama,full_shrinkage,acerbic,Llama_F2,0.006240253353098086
Llama,full_shrinkage,acerbic,Llama_F3,-0.014506005293084755
Llama,full_shrinkage,acerbic,Llama_F4,-0.01466239080671249
Llama,full_shrinkage,acerbic,Llama_F5,0.010604390811610112
Llama,full_shrinkage,acerbic,Llama_F6,-0.010118498075299605
Llama,full_shrinkage,adaptable,Llama_F1,-0.009140787026363839
Llama,full_shrinkage,adaptable,Llama_F2,0.030574702562712816
Llama,full_shrinkage,adaptable,Llama_F3,0.0175833104759849
Llama,full_shrinkage,adaptable,Llama_F4,-0.004968567915627172
Llama,full_shrinkage,adaptable,Llama_F5,0.02889134585875136
Llama,full_shrinkage,adaptable,Llama_F6,0.028322775096699577
Llama,full_shrinkage,adventurous,Llama_F1,0.018123731170719182
Llama,full_shrinkage,adventurous,Llama_F2,0.04467842798630319
Llama,full_shrinkage,adventurous,Llama_F3,0.019035578750985
Llama,full_shrinkage,adventurous,Llama_F4,-0.1890683456368015
Llama,full_shrinkage,adventurous,Llama_F5,-0.03728385468165074
Llama,full_shrinkage,adventurous,Llama_F6,-0.019860133014068904
Llama,full_shrinkage,agreeable,Llama_F1,0.0459347073438378
Llama,full_shrinkage,agreeable,Llama_F2,-0.01662038254213985
Llama,full_shrinkage,agreeable,Llama_F3,-4.177776556873566e-05
Llama,full_shrinkage,agreeable,Llama_F4,-0.005798845629263322
Llama,full_shrinkage,agreeable,Llama_F5,0.002339763348953709
Llama,full_shrinkage,agreeable,Llama_F6,-0.015985799033167342
Llama,full_shrinkage,altruistic,Llama_F1,0.032166431306968744
Llama,full_shrinkage,altruistic,Llama_F2,-0.02402545854284475
Llama,full_shrinkage,altruistic,Llama_F3,0.003960190824569405
Llama,full_shrinkage,altruistic,Llama_F4,0.01847268551205164
Llama,full_shrinkage,altruistic,Llama_F5,-0.0011670843600195334
Llama,full_shrinkage,altruistic,Llama_F6,-0.008088384867388158
Llama,full_shrinkage,analytical,Llama_F1,-0.01393599243840915
Llama,full_shrinkage,analytical,Llama_F2,0.029979131460138357
Llama,full_shrinkage,analytical,Llama_F3,-0.014435038056641298
Llama,full_shrinkage,analytical,Llama_F4,-0.01698329232634632
Llama,full_shrinkage,analytical,Llama_F5,0.010850849609762769
Llama,full_shrinkage,analytical,Llama_F6,0.025583982905373715
Llama,full_shrinkage,animated,Llama_F1,0.00822958876979385
Llama,full_shrinkage,animated,Llama_F2,0.012164615305161924
Llama,full_shrinkage,animated,Llama_F3,0.00991192668518507
Llama,full_shrinkage,animated,Llama_F4,-0.0364758173258606
Llama,full_shrinkage,animated,Llama_F5,-0.01897657748792749
Llama,full_shrinkage,animated,Llama_F6,-0.010221396475092957
Llama,full_shrinkage,anthropocentric,Llama_F1,0.019823286108749786
Llama,full_shrinkage,anthropocentric,Llama_F2,0.021632848978214943
Llama,full_shrinkage,anthropocentric,Llama_F3,-0.031527436677633074
Llama,full_shrinkage,anthropocentric,Llama_F4,-0.030877645996541983
Llama,full_shrinkage,anthropocentric,Llama_F5,0.017067917140751586
Llama,full_shrinkage,anthropocentric,Llama_F6,-0.027118081347221438
Llama,full_shrinkage,anxious,Llama_F1,-0.014835887081229316
Llama,full_shrinkage,anxious,Llama_F2,0.0016637701779006766
Llama,full_shrinkage,anxious,Llama_F3,-0.023318320877357787
Llama,full_shrinkage,anxious,Llama_F4,0.006191623601338537
Llama,full_shrinkage,anxious,Llama_F5,-0.0005051133077917136
Llama,full_shrinkage,anxious,Llama_F6,-0.005641811316135543
Llama,full_shrinkage,arrogant,Llama_F1,-0.013729237517028016
Llama,full_shrinkage,arrogant,Llama_F2,-0.01099790681600202
Llama,full_shrinkage,arrogant,Llama_F3,-0.009743225719863871
