trait,canonical_definition,domain,facet_code,facet,polarity,confidence_tier,mapping_rationale,direct_or_proxy,included_in_construction,review_status,source_provenance
improvisational,Adapts fluidly to changing circumstances without predetermined scripts or plans.,openness,O4,Adventurousness,positive,medium,Unscripted adaptation implies novelty preference.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
impulsive,Acts on immediate desires without considering consequences or alternatives.,conscientiousness,C6,Cautiousness,negative,high,Acts without deliberation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
inclusive,Considers diverse perspectives and ensures broad representation.,agreeableness,A4,Cooperation,positive,medium,Accommodation of diverse perspectives.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
independent,Encourages self-reliance and personal responsibility in decision-making.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
individualistic,Emphasizes unique personal expression and individual differences.,agreeableness,A3,Altruism,negative,medium,Individual priority over group welfare.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,openness,O5,Intellect,positive,high,Explicit pursuit of new ideas and methods.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
inquisitive,Asks probing questions to better understand context and user needs.,openness,O5,Intellect,positive,high,Probing inquiry and desire to understand.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
inspirational,Motivates users and focuses on positive transformation and growth.,extraversion,E6,Cheerfulness,positive,medium,Positive energizing expression.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
interdisciplinary,Connects concepts across different fields and domains.,openness,O5,Intellect,positive,high,Connecting ideas across fields.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",openness,O1,Imagination,positive,medium,Inner reflection supports imaginative mental life.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",extraversion,E2,Gregariousness,negative,high,Explicit low social breadth.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
intuitive,Relies on pattern recognition and holistic thinking to provide insights.,openness,O5,Intellect,positive,medium,Holistic pattern recognition.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
ironic,Uses irony to highlight contradictions and express meaning through opposites.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
irreverent,"Uses humor, sarcasm, and casual disregard for formality appropriately.",openness,O6,Liberalism,positive,medium,Disregard for convention is a value-openness proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,agreeableness,A4,Cooperation,negative,high,Harsh assessment of others.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
libertarian,Champions absolute free will and individual choice over determinism.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
literal,Interprets information directly and focuses on explicit meanings.,openness,O1,Imagination,negative,high,Explicit focus on literal rather than imaginative meaning.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
manic,"Displays excessive energy, rapid thoughts, and elevated mood to extreme degree.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",agreeableness,A2,Morality,negative,high,Explicit deception and exploitation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
materialist,"Focuses exclusively on physical, measurable reality and tangible phenomena.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
meditative,"Provides calm, reflective responses that encourage introspection. Often incorporates mindfulness concepts and emphasizes present-moment awareness.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",neuroticism,N3,Depression,positive,high,Persistent sadness and brooding.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
melodramatic,Expresses ideas with exaggerated emotion and theatrical intensity.,neuroticism,N3,Depression,positive,medium,Exaggerated negative emotional intensity.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",neuroticism,N3,Depression,positive,high,Rapid mood instability.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
metaphorical,"Uses analogies, symbolism, and figurative language to explain concepts.",openness,O1,Imagination,positive,high,Figurative and symbolic imagination.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",conscientiousness,C2,Orderliness,positive,high,Systematic plan and order.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",conscientiousness,C2,Orderliness,positive,high,Precision and detail order.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
militant,Advocates aggressive confrontation and forceful action to achieve goals.,agreeableness,A4,Cooperation,negative,high,Aggressive confrontation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
misanthropic,"Shows general hatred, distrust, or contempt for human nature and society.",agreeableness,A1,Trust,negative,high,Distrust and contempt for people.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
mischievous,"Delights in harmless troublemaking, playful pranks, and creating amusing chaos.",extraversion,E5,Excitement-Seeking,positive,medium,Stimulation-seeking playful trouble.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
moderate,Consistently seeks middle ground and avoids extreme positions.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
mystical,Embraces ineffable experiences and truths beyond rational understanding.,openness,O1,Imagination,positive,medium,Receptivity to ineffable imaginative experience.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
naive,"Shows innocent trust, lacks worldly experience, and assumes good intentions.",agreeableness,A1,Trust,positive,medium,Assumes good intentions.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
narrative,Tells stories and uses storytelling techniques to convey information.,openness,O1,Imagination,positive,medium,Story construction draws on imagination.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",neuroticism,N1,Anxiety,positive,high,Explicit anxiety and instability.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
nihilistic,Believes in fundamental meaninglessness of existence and rejects all values.,neuroticism,N3,Depression,positive,medium,Meaninglessness and negative outlook.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
nonchalant,Maintains casual indifference and relaxed unconcern about outcomes.,neuroticism,N1,Anxiety,negative,medium,Unconcerned low-anxiety presentation.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
nostalgic,"Shows fondness for past eras, traditions, and classic approaches.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
nurturing,"Provides guidance, support, and encouragement for personal growth.",agreeableness,A6,Sympathy,positive,high,Care and personal growth support.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
obsessive,"Fixates on specific details with intense, persistent focus that dominates thinking.",neuroticism,N1,Anxiety,positive,medium,Persistent fixation and worry-like focus.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
open_ended,Comfortable with ambiguity and keeping options open.,openness,O4,Adventurousness,positive,high,Comfort with ambiguity and alternatives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
optimistic,"Focuses on positive aspects, possibilities, and favorable outcomes in discussions.",extraversion,E6,Cheerfulness,positive,high,Positive affect and hope.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
pacifist,Opposes violence and war in all forms as means of solving disputes.,agreeableness,A4,Cooperation,positive,high,Rejects violent conflict.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
paradoxical,Comfortable holding contradictory ideas simultaneously and finding truth in opposites.,openness,O5,Intellect,positive,medium,Tolerates conceptual contradiction and complexity.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,agreeableness,A1,Trust,negative,high,Pervasive suspicion.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",openness,O3,Emotionality,positive,medium,Strong felt investment.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
passive_aggressive,"Expresses disagreement or criticism indirectly through subtle hints, backhanded compliments, or seemingly helpful suggestions that carry underlying negativity.",agreeableness,A4,Cooperation,negative,high,Indirect antagonism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",agreeableness,A4,Cooperation,positive,high,Calm accommodation rather than conflict.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
pedantic,Overly concerned with minor details and formal rules of knowledge.,conscientiousness,C2,Orderliness,positive,medium,Excessive detail and formal order.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
pensive,"Shows thoughtful consideration, deep reflection, and contemplative approach.",openness,O1,Imagination,positive,medium,Deep reflective inner thought.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",conscientiousness,C4,Achievement-Striving,positive,high,Demanding standards and flawless achievement.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",neuroticism,N3,Depression,positive,high,Persistent negative outlook.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
petty,Focuses on trivial grievances and makes disproportionate issues of minor slights.,agreeableness,A4,Cooperation,negative,medium,Disproportionate grievance focus.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
philosophical,"Explores deeper meanings, existential questions, and abstract concepts.",openness,O5,Intellect,positive,high,Abstract engagement with ideas and meaning.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",extraversion,E6,Cheerfulness,positive,high,Fun and lightheartedness.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
pluralist,Accepts multiple valid perspectives and diverse approaches as equally legitimate.,openness,O6,Liberalism,positive,high,Acceptance of multiple valid perspectives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",openness,O2,Artistic Interests,positive,high,Explicit aesthetic language and imagery.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
practical,Emphasizes real-world applications and actionable advice over theory.,openness,O5,Intellect,negative,medium,Concrete application over theory is a low-Intellect proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
prescriptive,"Provides specific rules, guidelines, and instructions for what should be done.",conscientiousness,C3,Dutifulness,positive,medium,Rule and guideline orientation.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
principled,Adheres to consistent ethical framework and clearly stated values. Makes decisions based on moral rules rather than situational convenience.,conscientiousness,C3,Dutifulness,positive,high,Consistent duty to rules and values.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
proactive,Anticipates needs and addresses issues before they become problems.,conscientiousness,C4,Achievement-Striving,positive,high,Anticipatory goal pursuit.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
problem_solving,Focuses on identifying issues and developing practical solutions.,conscientiousness,C1,Self-Efficacy,positive,high,Task competence and solution production.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
progressive,"Advocates for change, reform, and forward-thinking approaches.",openness,O6,Liberalism,positive,medium,Advocacy of change over convention.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
provocative,Deliberately challenges assumptions to stimulate deeper thought.,agreeableness,A4,Cooperation,negative,medium,Deliberately induces interpersonal challenge.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
qualitative,"Focuses on descriptive, subjective, and interpretive aspects of topics.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
quantitative,"Prefers numerical data, statistics, and measurable metrics in explanations.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
radical,"Advocates for revolutionary, fundamental changes to existing systems.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
rationalist,Believes reason and logic are primary sources of knowledge and truth.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
reactive,Responds to situations as they arise rather than planning ahead.,conscientiousness,C4,Achievement-Striving,negative,medium,Responds after events rather than pursuing plans.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
rebellious,Challenges authority and conventional wisdom. Questions established norms and suggests alternative approaches to traditional methods.,openness,O6,Liberalism,positive,high,Explicit challenge to authority and norms.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
reductionist,Breaks complex phenomena into simpler component parts.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
regulatory,"Emphasizes rules, standards, and compliance with guidelines.",conscientiousness,C3,Dutifulness,positive,high,"Rules, standards, and compliance.",direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
relativist,Believes truth and morality depend entirely on context and perspective.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
reserved,Maintains emotional restraint and limits personal disclosure.,extraversion,E2,Gregariousness,negative,high,Low disclosure and social initiation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
resilient,Bounces back quickly from setbacks and maintains stability through adversity.,neuroticism,N6,Vulnerability,negative,high,Effective recovery under stress.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
reverent,"Shows deep respect, honor, and veneration for traditions and authority.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
rhetorical,"Uses persuasive techniques, figures of speech, and argumentative devices effectively.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",conscientiousness,C6,Cautiousness,negative,high,Embraces risk rather than deliberative caution.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
ritualistic,"Values established procedures, formal processes, and ceremonial approaches.",openness,O4,Adventurousness,negative,medium,Preference for established procedure and ceremony.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
romantic,"Emphasizes emotion, imagination, and idealized views over rational analysis.",openness,O1,Imagination,positive,high,Prioritizes imagination and idealized experience.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
sarcastic,"Employs sharp, cutting remarks often to mock or convey contempt.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
sardonic,"Uses dry, mocking humor to comment on life's absurdities and contradictions.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
sassy,"Delivers bold, cheeky responses with confident attitude and spirited defiance.",extraversion,E3,Assertiveness,positive,medium,Bold social expression.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
savage,Delivers brutally honest truths and devastating comebacks without holding back.,agreeableness,A4,Cooperation,negative,medium,Brutal interpersonal delivery.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
secular,Approaches topics without religious considerations or spiritual frameworks.,openness,O6,Liberalism,positive,medium,Nontraditional value orientation in the reviewed IPIP framing.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
serene,Maintains peaceful calm and tranquil composure in all situations.,neuroticism,N6,Vulnerability,negative,high,Peaceful composure.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
serious,"Maintains a formal, professional tone and focuses on substantive content. Avoids humor or casual language in favor of gravitas.",conscientiousness,C3,Dutifulness,positive,medium,"Substantive, non-frivolous task stance.",proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
skeptical,"Questions assumptions, seeks evidence, and challenges conventional thinking.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
socratic,Uses questions to guide users toward their own insights and discoveries.,openness,O5,Intellect,positive,medium,Inquiry through questions.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
solemn,Maintains gravity and seriousness appropriate to weighty matters and formal occasions.,extraversion,E6,Cheerfulness,negative,medium,Low playful positive expression.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
specialized,Demonstrates deep expertise in specific domains or fields.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
speculative,Engages in thoughtful conjecture and explores possibilities.,openness,O1,Imagination,positive,medium,Conjectural possibility generation.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",conscientiousness,C6,Cautiousness,negative,high,Unplanned immediate action.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
stoic,Maintains calm composure and emotional control regardless of circumstances.,neuroticism,N6,Vulnerability,negative,high,Emotional control under stress.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
strategic,"Identifies patterns, anticipates obstacles, and develops multiple pathways.",conscientiousness,C4,Achievement-Striving,positive,medium,Goal-directed planning.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
stream_of_consciousness,Follows natural thought patterns and associative connections.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
structuralist,"Analyzes underlying patterns, relationships, and organizing principles in systems.",openness,O5,Intellect,positive,high,Abstract analysis of organizing patterns.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
submissive,Readily yields to others' wishes and avoids asserting own views or needs.,extraversion,E3,Assertiveness,negative,high,Avoids assertion.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
subversive,Undermines established norms through subtle challenges and indirect resistance.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
supportive,"Offers encouragement, validation, and constructive assistance to users.",agreeableness,A6,Sympathy,positive,high,Encouragement and interpersonal support.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
sycophantic,"Excessively agrees with and flatters users, even when disagreement might be more helpful. Prioritizes approval over honest feedback.",agreeableness,A2,Morality,negative,medium,Strategic flattery is an insincerity proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
systems_thinker,"Analyzes interconnections, feedback loops, and emergent properties in complex systems.",openness,O5,Intellect,positive,high,Complex interconnection and emergence reasoning.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
tactful,Carefully considers impact on others' feelings and chooses words diplomatically.,agreeableness,A4,Cooperation,positive,high,Protects others' feelings in disagreement.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
technical,Specializes in detailed technical explanations and scientific accuracy.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",neuroticism,N2,Anger,positive,high,Volatile emotional reaction.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
theatrical,"Performs responses with dramatic flair, exaggerated gestures, and stage-like presence.",extraversion,E6,Cheerfulness,positive,medium,Performative expressive enthusiasm.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
theoretical,"Emphasizes abstract concepts, models, and conceptual frameworks.",openness,O5,Intellect,positive,high,Explicit preference for theories and concepts.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
traditional,"Values established methods, conventional wisdom, and proven approaches.",openness,O6,Liberalism,negative,high,Explicit preference for convention.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
transparent,"Communicates with complete openness, clarity, and nothing hidden or obscured.",agreeableness,A2,Morality,positive,medium,Open non-deceptive communication.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
understated,Deliberately downplays significance and expresses ideas with restraint.,extraversion,E3,Assertiveness,negative,medium,Restrained rather than forceful expression.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
universalist,Applies consistent principles and values across all cultures and contexts.,agreeableness,A2,Morality,positive,medium,Consistent moral regard across groups.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
urgent,"Conveys time sensitivity, immediacy, and the need for prompt action or response.",extraversion,E4,Activity Level,positive,medium,Fast-paced action orientation.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
utilitarian,Judges actions by their consequences and overall benefit to majority.,,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
verbose,"Tends to provide lengthy, detailed explanations with extensive elaboration and context.",extraversion,E2,Gregariousness,positive,medium,Talkativeness proxy.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
vindictive,Holds grudges persistently and actively seeks retribution for perceived wrongs.,agreeableness,A4,Cooperation,negative,high,Revenge over reconciliation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
visceral,Communicates from gut reactions and raw emotional responses.,neuroticism,N2,Anger,positive,medium,Raw reactive affect.,proxy,no,frozen_geometry_blind_proxy_excluded,canonical trait label/definition + public-domain IPIP-NEO taxonomy
whimsical,"Displays playful unpredictability, fanciful ideas, and delightfully unusual perspectives.",openness,O1,Imagination,positive,high,Fanciful imaginative play.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
witty,"Incorporates humor, clever wordplay, and entertaining observations into responses.",extraversion,E6,Cheerfulness,positive,high,Humorous positive social expression.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy
wry,"Uses clever, twisted humor with a touch of irony or skepticism.",,,,,unmapped,No sufficiently defensible IPIP-NEO facet assignment was frozen.,unmapped,no,frozen_geometry_blind_unmapped,canonical trait label/definition + public-domain IPIP-NEO taxonomy
