model_trait,canonical_definition,coverage_category,coverage_label,review_status,evidence_text,candidate_item_ids,accepted_evidence_item_ids,candidate_scale_names,wording_direction,lexical_candidate_item_ids,semantic_candidate_item_ids,top_semantic_score,ambiguity_flag,notes
historical,"Frequently references past events, historical context, and temporal patterns.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_332;q_179;q_684;q_670;q_1099;q_708;q_4265;q_736,,,not_applicable_or_not_accepted,q_332;q_179;q_684;q_670;q_1099,q_332;q_179;q_684;q_670;q_1099,0.096175,False,No defensible coverage found in this feasibility review.
futuristic,"Focuses on emerging trends, future possibilities, and technological advancement.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1038;q_4281;q_519;q_1110;q_1765;q_1368;q_1583;q_2029,,,not_applicable_or_not_accepted,q_1038;q_4281;q_519;q_1110;q_1765,q_1038;q_4281;q_519;q_1110;q_1765,0.144329,True,Broad-domain coverage is not a usable one-to-one trait match.
nostalgic,"Shows fondness for past eras, traditions, and classic approaches.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1132;q_901;q_1706;q_531;q_1448;q_131;q_228;q_343,,,not_applicable_or_not_accepted,q_1132;q_901;q_1706;q_531;q_1448,q_1132;q_901;q_1706;q_531;q_1448,0.07435,False,No defensible coverage found in this feasibility review.
idealistic,"Focuses on perfect scenarios, moral principles, and aspirational goals.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_379: Believe that people are basically moral. | q_343: Believe in human goodness.,q_379;q_343;q_530;q_571;q_1916;q_2737;q_1012;q_1687,q_379;q_343,IPIPneo:A1:TR,same_direction,q_530;q_379;q_571;q_1916;q_2737,q_530;q_379;q_571;q_1916;q_2737,0.138106,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
humble,"Acknowledges limitations, uncertainties, and the possibility of being wrong.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_364: Believe that I am better than others. | q_716: Don't think that I'm better than other people.,q_364;q_716;q_67;q_394;q_4261;q_1020;q_519;q_1027,q_364;q_716,BFAS:BFAS:A:P;HEXACO:H:H:M;IPIPneo:A5:MO,mixed_same_and_reverse,q_67;q_394;q_4261;q_1020;q_519,q_67;q_394;q_4261;q_1020;q_519,0.126622,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
confident,Expresses strong certainty and conviction in responses and recommendations.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_258: Am sure of my ground. | q_820: Feel comfortable with myself. | q_1055: Have a strong personality.,q_258;q_820;q_1055;q_1054;q_804;q_479;q_1742;q_803,q_258;q_820;q_1055,IPIPneo:C1:SE;BFAS:BFAS:N:W;MPQ:MPQ:SR;IPIPneo:N3:DE;BFAS:BFAS:E:A;HEXACO:H:X:SB;PS:PS:P,same_direction,q_1055;q_1054;q_804;q_479;q_1742,q_1055;q_1054;q_804;q_479;q_1742,0.139881,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
collaborative,"Emphasizes teamwork, shared problem-solving, and collective effort.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1910: Value cooperation over competition. | q_4264: Enjoy cooperating with others.,q_1910;q_4264;q_1553;q_1327;q_960;q_423;q_651;q_195,q_1910;q_4264,IPIPneo:A6:SY;EPQr:EPQ:P,same_direction,q_1553;q_1327;q_960;q_423;q_651,q_1553;q_1327;q_960;q_423;q_651,0.118424,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
independent,Encourages self-reliance and personal responsibility in decision-making.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_4244: Prefer to go my own way rather than act by the rules. | q_463: Can't do without the company of others.,q_4244;q_463;q_225;q_1521;q_1424;q_131;q_4257;q_4276,q_4244;q_463,EPQr:EPQ:P;HEXACO:H:E:D,same_direction,q_225;q_1521;q_1424;q_131;q_4257,q_225;q_1521;q_1424;q_131;q_4257,0.129129,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
adaptable,Adjusts communication style and approach based on context and user needs.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_38: Adapt easily to new situations. | q_566: Dislike changes.,q_38;q_566;q_901;q_460;q_253;q_298;q_39;q_1448,q_38;q_566,IPIPneo:N1:ANX;IPIPneo:O4:AD,same_direction,q_901;q_460;q_253;q_298;q_39,q_901;q_460;q_253;q_298;q_39,0.150885,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_4276: Often make decisions on the spur of the moment. | q_1488: Often make last-minute plans.,q_4276;q_1488;q_931;q_1867;q_4291;q_668;q_704;q_722,q_4276;q_1488,EPQr:EPQ:E;MPQ:MPQ:CO;IPIPneo:C6:CA,same_direction,q_931;q_1867;q_4291;q_668;q_704,q_931;q_1867;q_4291;q_668;q_704,0.157118,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
traditional,"Values established methods, conventional wisdom, and proven approaches.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_82: Am attached to conventional ways. | q_1301: Like to be viewed as proper and conventional. | q_4291: It is better to follow society's rules than to go my own way.,q_82;q_1301;q_4291;q_901;q_4282;q_1910;q_1448;q_1328,q_82;q_1301;q_4291,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,same_direction,q_82;q_1301;q_901;q_4282;q_1910,q_82;q_1301;q_901;q_4282;q_1910,0.167644,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
big_picture,"Focuses on overarching themes, general principles, and broad perspectives.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_4286;q_4279;q_383;q_608;q_1758;q_1766;q_1009;q_4233,,,not_applicable_or_not_accepted,q_4286;q_4279;q_383;q_608;q_1758,q_4286;q_4279;q_383;q_608;q_1758,0.059588,True,Broad-domain coverage is not a usable one-to-one trait match.
humanistic,"Prioritizes human values, cultural understanding, and social considerations.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_343;q_882;q_1088;q_168;q_254;q_4240;q_2024;q_651,,,not_applicable_or_not_accepted,q_343;q_882;q_1088;q_168;q_254,q_343;q_882;q_1088;q_168;q_254,0.139742,True,Broad-domain coverage is not a usable one-to-one trait match.
quantitative,"Prefers numerical data, statistics, and measurable metrics in explanations.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1536;q_1531;q_1540;q_479;q_736;q_4247;q_331;q_89,,,not_applicable_or_not_accepted,q_1536;q_1531;q_1540;q_479;q_736,q_1536;q_1531;q_1540;q_479;q_736,0.051076,True,Broad-domain coverage is not a usable one-to-one trait match.
qualitative,"Focuses on descriptive, subjective, and interpretive aspects of topics.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1687;q_1964;q_554;q_1998;q_4226;q_279;q_1441;q_1758,,,not_applicable_or_not_accepted,q_1687;q_1964;q_554;q_1998;q_4226,q_1687;q_1964;q_554;q_1998;q_4226,0.110816,True,Broad-domain coverage is not a usable one-to-one trait match.
competitive,"Emphasizes winning, achievement, and outperforming others.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1910: Value cooperation over competition.,q_1910;q_608;q_253;q_286;q_1792;q_966;q_1854;q_1307,q_1910,IPIPneo:A6:SY,mixed_same_and_reverse,q_1910;q_608;q_253;q_286;q_1792,q_1910;q_608;q_253;q_286;q_1792,0.085345,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1781: Take risks. | q_292: Am willing to take risks. | q_1780: Take risks that could cause trouble for me.,q_1781;q_292;q_1780;q_134;q_1883;q_2020;q_2029;q_105,q_1781;q_292;q_1780,MPQ:MPQ:HA;HEXACO:H:E:F;QB6:QB6:H,same_direction,q_134;q_2029;q_2020;q_1781;q_292,q_134;q_1883;q_2020;q_2029;q_105,0.114834,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1880: Try to understand myself. | q_1310: Like to get lost in thought.,q_1880;q_1310;q_1389;q_1738;q_1687;q_3691;q_1706;q_343,q_1880;q_1310,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,same_direction,q_1389;q_1738;q_1687;q_3691;q_1706,q_1389;q_1738;q_1687;q_3691;q_1706,0.079026,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
extroverted,Shows energy when engaging with users and discussing social topics.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1742: Start conversations. | q_1803: Talk to a lot of different people at parties. | q_4257: Usually take the initiative in making new friends.,q_1742;q_1803;q_4257;q_4294;q_740;q_279;q_1393;q_254,q_1742;q_1803;q_4257,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR;EPQr:EPQ:E,same_direction,q_4294;q_740;q_279;q_1393;q_254,q_4294;q_740;q_279;q_1393;q_254,0.124586,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1694: Set high standards for myself and others. | q_530: Continue until everything is perfect. | q_1915: Want every detail taken care of.,q_1694;q_530;q_1915;q_1042;q_1393;q_2020;q_2001;q_520,q_1694;q_530;q_1915,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC;BFAS:BFAS:C:O,same_direction,q_1694;q_1042;q_1393;q_2020;q_2001,q_1694;q_1042;q_1393;q_2020;q_2001,0.33595,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
flexible,Accepts imperfection and adapts to constraints and changing circumstances.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_997: [Get upset if others change way I arranged things]. | q_38: Adapt easily to new situations.,q_997;q_38;q_571;q_6;q_1022;q_1916;q_530;q_608,q_997;q_38,HEXACO:H:A:FL;IPIPneo:N1:ANX,same_direction,q_571;q_6;q_38;q_1022;q_1916,q_571;q_6;q_38;q_1022;q_1916,0.088314,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
eclectic,Draws from diverse sources and combines different perspectives creatively.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_23;q_4222;q_2745;q_1803;q_1441;q_146;q_4287;q_4230,,,not_applicable_or_not_accepted,q_23;q_4222;q_2745;q_1803;q_1441,q_23;q_4222;q_2745;q_1803;q_1441,0.164913,True,Broad-domain coverage is not a usable one-to-one trait match.
assertive,Takes clear positions and advocates strongly for particular viewpoints.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_2161: Do not have an assertive personality. | q_1768: Take charge. | q_1769: Take control of things.,q_2161;q_1768;q_1769;q_1601;q_1054;q_1370;q_946;q_1055,q_2161;q_1768;q_1769,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,mixed_or_reverse_wording_review_required,q_2161;q_1601;q_1054;q_1370;q_946,q_2161;q_1601;q_1054;q_1370;q_946,0.180335,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
nurturing,"Provides guidance, support, and encouragement for personal growth.",2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_1385: Love to help others. | q_1763: Sympathize with others' feelings. | q_851: Feel sympathy for those who are worse off than myself.,q_1385;q_1763;q_851;q_1668;q_225;q_395;q_105;q_1055,q_1385;q_1763;q_851,IPIP100:B5:A;IPIPneo:A3:AL;BFAS:BFAS:A:C;IPIPneo:A6:SY,same_direction,q_1668;q_225;q_395;q_105;q_1055,q_1668;q_225;q_395;q_105;q_1055,0.187338,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
challenging,Pushes users to think critically and question their assumptions.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1832;q_1835;q_1388;q_1834;q_1830;q_1858;q_4295;q_1235,,,not_applicable_or_not_accepted,q_1388;q_1832;q_1835;q_1834;q_1830,q_1832;q_1835;q_1388;q_1834;q_1830,0.18241,True,Broad-domain coverage is not a usable one-to-one trait match.
irreverent,"Uses humor, sarcasm, and casual disregard for formality appropriately.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1969;q_1218;q_23;q_1159;q_4222;q_413;q_1448;q_554,,,not_applicable_or_not_accepted,q_1969;q_1218;q_23;q_1159;q_4222,q_1969;q_1218;q_23;q_1159;q_4222,0.037467,False,No defensible coverage found in this feasibility review.
theoretical,"Emphasizes abstract concepts, models, and conceptual frameworks.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_197;q_194;q_1088;q_611;q_90;q_1543;q_838;q_107,,,not_applicable_or_not_accepted,q_197;q_194;q_1088;q_611;q_90,q_197;q_194;q_1088;q_611;q_90,0.165112,True,Broad-domain coverage is not a usable one-to-one trait match.
experiential,"Draws from practical examples, case studies, and real-world scenarios.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_2775;q_4251;q_793;q_797;q_646;q_1998;q_1676;q_4285,,,not_applicable_or_not_accepted,q_2775;q_4251;q_793;q_797;q_646,q_2775;q_4251;q_793;q_797;q_646,0.108268,True,Broad-domain coverage is not a usable one-to-one trait match.
literal,Interprets information directly and focuses on explicit meanings.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_422;q_1587;q_875;q_148;q_1132;q_1638;q_1747;q_1671,,,not_applicable_or_not_accepted,q_422;q_1587;q_875;q_148;q_1132,q_422;q_1587;q_875;q_148;q_1132,0.147454,False,No defensible coverage found in this feasibility review.
metaphorical,"Uses analogies, symbolism, and figurative language to explain concepts.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_611;q_1571;q_1824;q_90;q_1543;q_838;q_2011;q_4226,,,not_applicable_or_not_accepted,q_611;q_1571;q_1824;q_90;q_1543,q_611;q_1571;q_1824;q_90;q_1543,0.039709,False,No defensible coverage found in this feasibility review.
decisive,Provides clear recommendations and definitive answers when appropriate.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1235;q_1521;q_4271;q_1424;q_4276;q_824;q_946;q_1448,,,not_applicable_or_not_accepted,q_1235;q_1521;q_4271;q_1424;q_4276,q_1235;q_1521;q_4271;q_1424;q_4276,0.154561,False,No defensible coverage found in this feasibility review.
exploratory,Presents multiple options and encourages continued investigation.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_530;q_105;q_2020;q_1436;q_2011;q_1360;q_1446;q_1296,,,not_applicable_or_not_accepted,q_530;q_105;q_2020;q_1436;q_2011,q_530;q_105;q_2020;q_1436;q_2011,0.067187,True,Broad-domain coverage is not a usable one-to-one trait match.
educational,"Focuses on teaching, learning, and knowledge transfer.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1253;q_3023;q_1328;q_1589;q_1215;q_1993;q_1209;q_45,,,not_applicable_or_not_accepted,q_1253;q_3023;q_1328;q_1589;q_1215,q_1253;q_3023;q_1328;q_1589;q_1215,0.052605,True,Broad-domain coverage is not a usable one-to-one trait match.
entertaining,"Prioritizes engagement, enjoyment, and making interactions fun.",1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1671;q_1043;q_1957;q_131;q_4257;q_740;q_1120;q_755,,,not_applicable_or_not_accepted,q_1671;q_1043;q_1957;q_131;q_4257,q_1671;q_1043;q_1957;q_131;q_4257,0.186311,True,Broad-domain coverage is not a usable one-to-one trait match.
inspirational,Motivates users and focuses on positive transformation and growth.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_191;q_422;q_1205;q_1758;q_797;q_1589;q_55;q_253,,,not_applicable_or_not_accepted,q_191;q_422;q_1205;q_1758;q_797,q_191;q_422;q_1205;q_1758;q_797,0.065955,True,Broad-domain coverage is not a usable one-to-one trait match.
factual,"Prioritizes accuracy, verification, and evidence-based information.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_422;q_1360;q_761;q_285;q_1446;q_1436;q_1058;q_1296,,,not_applicable_or_not_accepted,q_422;q_1360;q_761;q_285;q_1446,q_422;q_1360;q_761;q_285;q_1446,0.15929,False,No defensible coverage found in this feasibility review.
speculative,Engages in thoughtful conjecture and explores possibilities.,1,BROAD-DOMAIN ONLY,codex_feasibility_reviewed,Only broad Big-Five/HEXACO-domain content is plausible; no narrow reviewed item anchor accepted.,q_1120;q_1110;q_740;q_1310;q_2011;q_1682;q_519;q_1300,,,not_applicable_or_not_accepted,q_1120;q_1110;q_740;q_1310;q_2011,q_1120;q_1110;q_740;q_1310;q_2011,0.077183,True,Broad-domain coverage is not a usable one-to-one trait match.
stream_of_consciousness,Follows natural thought patterns and associative connections.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_747;q_1045;q_1310;q_1682;q_1300;q_931;q_1867;q_4291,,,not_applicable_or_not_accepted,q_747;q_1300;q_776;q_811;q_861,q_747;q_1045;q_1310;q_1682;q_1300,0.123944,False,No defensible coverage found in this feasibility review.
inclusive,Considers diverse perspectives and ensures broad representation.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1436;q_2756;q_525;q_94;q_4226;q_660;q_2005;q_1758,,,not_applicable_or_not_accepted,q_1436;q_2756;q_525;q_94;q_4226,q_1436;q_2756;q_525;q_94;q_4226,0.080346,False,No defensible coverage found in this feasibility review.
specialized,Demonstrates deep expertise in specific domains or fields.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_4297;q_2900;q_793;q_1759;q_1676;q_1587;q_964;q_747,,,not_applicable_or_not_accepted,q_4297;q_2900;q_793;q_1759;q_1676,q_4297;q_2900;q_793;q_1759;q_1676,0.058634,False,No defensible coverage found in this feasibility review.
generalist,Maintains broad knowledge across multiple disciplines and topics.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_4286;q_1393;q_4254;q_3090;q_140;q_1209;q_1215;q_1132,,,not_applicable_or_not_accepted,q_4286;q_1393;q_4254;q_3090;q_140,q_4286;q_1393;q_4254;q_3090;q_140,0.054159,False,No defensible coverage found in this feasibility review.
contemporary,"Focuses on current events, modern trends, and recent developments.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1761;q_332;q_684;q_179;q_966;q_23;q_4222;q_2745,,,not_applicable_or_not_accepted,q_1761;q_332;q_684;q_179;q_966,q_1761;q_332;q_684;q_179;q_966,0.166805,False,No defensible coverage found in this feasibility review.
progressive,"Advocates for change, reform, and forward-thinking approaches.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_35;q_778;q_3023;q_636;q_497;q_1173;q_689;q_1840,,,not_applicable_or_not_accepted,q_35;q_778;q_3023;q_636;q_497,q_35;q_778;q_3023;q_636;q_497,0.143596,False,No defensible coverage found in this feasibility review.
interdisciplinary,Connects concepts across different fields and domains.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_23;q_4222;q_2745;q_1803;q_146;q_79;q_152;q_611,,,not_applicable_or_not_accepted,q_23;q_4222;q_2745;q_1803;q_146,q_23;q_4222;q_2745;q_1803;q_146,0.181627,False,No defensible coverage found in this feasibility review.
holistic,Considers complete systems and interconnected relationships.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_520;q_519;q_2756;q_660;q_94;q_2005;q_525;q_174,,,not_applicable_or_not_accepted,q_520;q_519;q_2756;q_660;q_94,q_520;q_519;q_2756;q_660;q_94,0.14247,False,No defensible coverage found in this feasibility review.
reductionist,Breaks complex phenomena into simpler component parts.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1861;q_423;q_1327;q_405;q_404;q_520;q_1571;q_519,,,not_applicable_or_not_accepted,q_1861;q_423;q_1327;q_405;q_404,q_1861;q_423;q_1327;q_405;q_404,0.141616,False,No defensible coverage found in this feasibility review.
contrarian,Challenges popular opinions and presents alternative perspectives.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1151;q_1044;q_1042;q_1388;q_531;q_4226;q_1436;q_477,,,not_applicable_or_not_accepted,q_1151;q_1044;q_1042;q_1388;q_531,q_1151;q_1044;q_1042;q_1388;q_531,0.180235,False,No defensible coverage found in this feasibility review.
problem_solving,Focuses on identifying issues and developing practical solutions.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_515;q_4251;q_1327;q_651;q_960;q_646;q_423;q_195,,,not_applicable_or_not_accepted,q_1327;q_651;q_960;q_423;q_195,q_515;q_4251;q_1327;q_651;q_960,0.162208,False,No defensible coverage found in this feasibility review.
socratic,Uses questions to guide users toward their own insights and discoveries.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1235;q_1676;q_1280;q_1896;q_105;q_4281;q_1691;q_4244,,,not_applicable_or_not_accepted,q_1235;q_1676;q_1280;q_1896;q_105,q_1235;q_1676;q_1280;q_1896;q_105,0.135399,False,No defensible coverage found in this feasibility review.
narrative,Tells stories and uses storytelling techniques to convey information.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_4265;q_422;q_4296;q_1679;q_1812;q_1138;q_1742;q_492,,,not_applicable_or_not_accepted,q_4265;q_422;q_4296;q_1679;q_1812,q_4265;q_422;q_4296;q_1679;q_1812,0.186878,False,No defensible coverage found in this feasibility review.
data_driven,"Relies on statistics, research, and quantitative evidence.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_1667;q_345;q_1341;q_711;q_151;q_4226;q_992;q_1196,,,not_applicable_or_not_accepted,q_1667;q_345;q_1341;q_711;q_151,q_1667;q_345;q_1341;q_711;q_151,0.037078,False,No defensible coverage found in this feasibility review.
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_1507: Pay attention to details. | q_1422: Make plans and stick to them. | q_491: Carry out my plans.,q_1507;q_1422;q_491;q_992;q_1984;q_1296;q_124;q_637,q_1507;q_1422;q_491,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;HEXACO:H:C:PR;BFAS:BFAS:C:I;IPIPneo:C5:SD,same_direction,q_992;q_1984;q_1296;q_1507;q_124,q_992;q_1984;q_1296;q_1507;q_124,0.166812,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,3,DIRECT / NEAR-DIRECT CONSTRUCT COVERAGE,codex_feasibility_reviewed,q_6: Accept people as they are. | q_1763: Sympathize with others' feelings. | q_1910: Value cooperation over competition.,q_6;q_1763;q_1910;q_479;q_1393;q_1360;q_1755;q_253,q_6;q_1763;q_1910,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,same_direction,q_479;q_1910;q_1393;q_1360;q_1755,q_479;q_1910;q_1393;q_1360;q_1755,0.118834,False,"Face-valid narrow item content; feasibility only, not validated construct equivalence."
abstract,"Thinks in terms of concepts, patterns, and theoretical frameworks.",0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_197;q_194;q_217;q_1088;q_1296;q_107;q_90;q_636,,,not_applicable_or_not_accepted,q_194;q_1088;q_197;q_217;q_1296,q_197;q_194;q_217;q_1088;q_1296,0.176093,False,No defensible coverage found in this feasibility review.
closure_seeking,Prefers definitive answers and settled decisions over ambiguity.,2,CLOSE NARROW CONSTRUCT,codex_feasibility_reviewed,q_469: Can't make up my mind. | q_1521: Postpone decisions.,q_469;q_1521;q_1235;q_1424;q_4276;q_4271;q_1531;q_1536,q_469;q_1521,IPIPneo:N6:VU;BFAS:BFAS:C:I;IPIPneo:C5:SD,same_direction,q_1667;q_1666;q_1664;q_1662;q_1668,q_1521;q_1235;q_1424;q_4276;q_4271,0.169286,True,Neighboring narrow content; semantic scope differs from the canonical model-trait definition.
open_ended,Comfortable with ambiguity and keeping options open.,0,NO DEFENSIBLE COVERAGE FOUND,codex_feasibility_reviewed,Top lexical/TF-IDF candidates were retained for audit but rejected as construct evidence.,q_219;q_820;q_819;q_1496;q_89;q_20;q_1420;q_1480,,,not_applicable_or_not_accepted,q_219;q_1896;q_820;q_819;q_1496,q_219;q_820;q_819;q_1496;q_89,0.260833,False,No defensible coverage found in this feasibility review.
