review_id,trait,canonical_definition,evidence_item_ids,exact_sapa_item_wording,evidence_scale_names,item_scoring_direction_metadata,single_or_multi_item,response_anchors,reverse_keying_metadata,sapa_scale_metadata
SAPA-C3-026,temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",q_52;q_497;q_1099,q_52: Am a person whose moods go up and down easily. | q_497: Change my mood a lot. | q_1099: Have frequent mood swings.,BFAS:BFAS:N:V;IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N3:DE,same_direction,multi_item,q_52: 1=Very Inaccurate;6=Very Accurate | q_497: 1=Very Inaccurate;6=Very Accurate | q_1099: 1=Very Inaccurate;6=Very Accurate,q_52: none documented | q_497: IPIP100stability;IPIP50EmoSt | q_1099: IPIP100stability;IPIP50EmoSt,"[{""scale_id"":""BFAS:BFAS:N:V"",""instrument"":""BFAS"",""scale_name"":""BFAS:N:V"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIP100:B5:ES"",""instrument"":""IPIP100"",""scale_name"":""B5:ES"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SR"",""instrument"":""MPQ"",""scale_name"":""MPQ:SR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N3:DE"",""instrument"":""IPIPneo"",""scale_name"":""N3:DE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-027,accommodating,Readily adjusts position to meet others' needs and maintain harmony.,q_6;q_145;q_1910,q_6: Accept people as they are. | q_145: Am inclined to forgive others. | q_1910: Value cooperation over competition.,HEXACO:H:A:G;HEXACO:H:A:FO;QB6:QB6:A;IPIPneo:A6:SY,same_direction,multi_item,q_6: 1=Very Inaccurate;6=Very Accurate | q_145: 1=Very Inaccurate;6=Very Accurate | q_1910: 1=Very Inaccurate;6=Very Accurate,q_6: none documented | q_145: none documented | q_1910: none documented,"[{""scale_id"":""HEXACO:H:A:G"",""instrument"":""HEXACO"",""scale_name"":""H:A:G"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:A:FO"",""instrument"":""HEXACO"",""scale_name"":""H:A:FO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:A"",""instrument"":""QB6"",""scale_name"":""QB6:A"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A6:SY"",""instrument"":""IPIPneo"",""scale_name"":""A6:SY"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-028,dramatic,Uses emotionally charged language and vivid descriptions. Tends to present information with heightened intensity and theatrical flair.,q_2951,q_2951: Have a colorful and dramatic way of talking about things. ,PS:PS:P,same_direction,single_item,q_2951: 1=Very Inaccurate;6=Very Accurate,q_2951: none documented,"[{""scale_id"":""PS:PS:P"",""instrument"":""PS"",""scale_name"":""PS:P"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-029,serene,Maintains peaceful calm and tranquil composure in all situations.,q_85;q_1616;q_1588,q_85: Am calm even in tense situations. | q_1616: Remain calm under pressure. | q_1588: Rarely lose my composure.,IPIPneo:N6:VU;HEXACO:H:E:A;BFAS:BFAS:N:V,mixed_same_and_reverse,multi_item,q_85: 1=Very Inaccurate;6=Very Accurate | q_1616: 1=Very Inaccurate;6=Very Accurate | q_1588: 1=Very Inaccurate;6=Very Accurate,q_85: NEO_N;NEOn6 | q_1616: NEO_N;NEOn6 | q_1588: BFASvolatile,"[{""scale_id"":""IPIPneo:N6:VU"",""instrument"":""IPIPneo"",""scale_name"":""N6:VU"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:A"",""instrument"":""HEXACO"",""scale_name"":""H:E:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:N:V"",""instrument"":""BFAS"",""scale_name"":""BFAS:N:V"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-030,confident,Expresses strong certainty and conviction in responses and recommendations.,q_258;q_820;q_1055,q_258: Am sure of my ground. | q_820: Feel comfortable with myself. | q_1055: Have a strong personality.,IPIPneo:C1:SE;BFAS:BFAS:N:W;MPQ:MPQ:SR;IPIPneo:N3:DE;BFAS:BFAS:E:A;HEXACO:H:X:SB;PS:PS:P,same_direction,multi_item,q_258: 1=Very Inaccurate;6=Very Accurate | q_820: 1=Very Inaccurate;6=Very Accurate | q_1055: 1=Very Inaccurate;6=Very Accurate,q_258: none documented | q_820: BFASwithdraw;NEO_N;MPQsr;NEOn3 | q_1055: none documented,"[{""scale_id"":""IPIPneo:C1:SE"",""instrument"":""IPIPneo"",""scale_name"":""C1:SE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:N:W"",""instrument"":""BFAS"",""scale_name"":""BFAS:N:W"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SR"",""instrument"":""MPQ"",""scale_name"":""MPQ:SR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N3:DE"",""instrument"":""IPIPneo"",""scale_name"":""N3:DE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:E:A"",""instrument"":""BFAS"",""scale_name"":""BFAS:E:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:X:SB"",""instrument"":""HEXACO"",""scale_name"":""H:X:SB"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""PS:PS:P"",""instrument"":""PS"",""scale_name"":""PS:P"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-031,stoic,Maintains calm composure and emotional control regardless of circumstances.,q_1185;q_1588;q_1616,q_1185: Keep my emotions under control. | q_1588: Rarely lose my composure. | q_1616: Remain calm under pressure.,BFAS:BFAS:N:V;HEXACO:H:E:A;IPIPneo:N6:VU,mixed_or_reverse_wording_review_required,multi_item,q_1185: 1=Very Inaccurate;6=Very Accurate | q_1588: 1=Very Inaccurate;6=Very Accurate | q_1616: 1=Very Inaccurate;6=Very Accurate,q_1185: BFASvolatile | q_1588: BFASvolatile | q_1616: NEO_N;NEOn6,"[{""scale_id"":""BFAS:BFAS:N:V"",""instrument"":""BFAS"",""scale_name"":""BFAS:N:V"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:A"",""instrument"":""HEXACO"",""scale_name"":""H:E:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N6:VU"",""instrument"":""IPIPneo"",""scale_name"":""N6:VU"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-032,callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,q_146;q_251;q_4231,q_146: Am indifferent to the feelings of others. | q_251: Am seldom bothered ... suffering of strangers. | q_4231: It would upset me a lot to see a child or animal suffer.,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL;HEXACO:H:E:S;EPQr:EPQ:P,mixed_or_reverse_wording_review_required,multi_item,q_146: 1=Very Inaccurate;6=Very Accurate | q_251: 1=Very Inaccurate;6=Very Accurate | q_4231: 1=Very Inaccurate;6=Very Accurate,q_146: SPI_3socCohesion;SPI_5compHonHum;IPIP100agree;BFAScomp;NEO_A;NEOa3 | q_251: none documented | q_4231: EPQp,"[{""scale_id"":""IPIP100:B5:A"",""instrument"":""IPIP100"",""scale_name"":""B5:A"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:A:C"",""instrument"":""BFAS"",""scale_name"":""BFAS:A:C"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A3:AL"",""instrument"":""IPIPneo"",""scale_name"":""A3:AL"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:S"",""instrument"":""HEXACO"",""scale_name"":""H:E:S"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""EPQr:EPQ:P"",""instrument"":""EPQr"",""scale_name"":""EPQ:P"",""item_count"":32,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-033,altruistic,Prioritizes helping others and societal benefit over individual gain.,q_1385;q_4229;q_1764,q_1385: Love to help others. | q_4229: Give money to charities. | q_1764: Sympathize with the homeless.,IPIP100:B5:A;IPIPneo:A3:AL;EPQr:EPQ:P;IPIPneo:A6:SY,same_direction,multi_item,q_1385: 1=Very Inaccurate;6=Very Accurate | q_4229: 1=Very Inaccurate;6=Very Accurate | q_1764: 1=Very Inaccurate;6=Very Accurate,q_1385: none documented | q_4229: EPQp | q_1764: none documented,"[{""scale_id"":""IPIP100:B5:A"",""instrument"":""IPIP100"",""scale_name"":""B5:A"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A3:AL"",""instrument"":""IPIPneo"",""scale_name"":""A3:AL"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""EPQr:EPQ:P"",""instrument"":""EPQr"",""scale_name"":""EPQ:P"",""item_count"":32,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A6:SY"",""instrument"":""IPIPneo"",""scale_name"":""A6:SY"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-034,paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,q_1758;q_880;q_594,q_1758: Suspect hidden motives in others. | q_880: Feel that people are against me. | q_594: Distrust people.,MPQ:MPQ:AL;IPIPneo:A1:TR;PS:PS:S;HEXACO:H:A:FO,same_direction,multi_item,q_1758: 1=Very Inaccurate;6=Very Accurate | q_880: 1=Very Inaccurate;6=Very Accurate | q_594: 1=Very Inaccurate;6=Very Accurate,q_1758: NEO_A;NEOa1 | q_880: PSs | q_594: SPI_15trust;HEXACO_A;NEO_A;HAForgive;NEOa1,"[{""scale_id"":""MPQ:MPQ:AL"",""instrument"":""MPQ"",""scale_name"":""MPQ:AL"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A1:TR"",""instrument"":""IPIPneo"",""scale_name"":""A1:TR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""PS:PS:S"",""instrument"":""PS"",""scale_name"":""PS:S"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:A:FO"",""instrument"":""HEXACO"",""scale_name"":""H:A:FO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-035,curious,Shows genuine interest in learning and exploring new topics and ideas.,q_2775;q_128;q_1303,q_2775: Am not all that curious about the world. | q_128: Am full of ideas. | q_1303: Like to begin new things.,QB6:QB6:O;IPIP100:B5:O;HEXACO:H:O:C;IPIPneo:O4:AD,mixed_or_reverse_wording_review_required,multi_item,q_2775: 1=Very Inaccurate;6=Very Accurate | q_128: 1=Very Inaccurate;6=Very Accurate | q_1303: 1=Very Inaccurate;6=Very Accurate,q_2775: QB6open | q_128: none documented | q_1303: none documented,"[{""scale_id"":""QB6:QB6:O"",""instrument"":""QB6"",""scale_name"":""QB6:O"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIP100:B5:O"",""instrument"":""IPIP100"",""scale_name"":""B5:O"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:O:C"",""instrument"":""HEXACO"",""scale_name"":""H:O:C"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:O4:AD"",""instrument"":""IPIPneo"",""scale_name"":""O4:AD"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-036,bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",q_1555;q_1871,q_1555: Put on a show to impress people. | q_1871: Try to impress others.,HEXACO:H:H:S;HEXACO:H:H:GA,same_direction,multi_item,q_1555: 1=Very Inaccurate;6=Very Accurate | q_1871: 1=Very Inaccurate;6=Very Accurate,q_1555: HEXACO_H;HHSincere | q_1871: HEXACO_H;HHGreedAvoid,"[{""scale_id"":""HEXACO:H:H:S"",""instrument"":""HEXACO"",""scale_name"":""H:H:S"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:H:GA"",""instrument"":""HEXACO"",""scale_name"":""H:H:GA"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-037,avoidant,Consistently withdraws from challenging situations and social interactions.,q_312;q_901;q_1671,q_312: Avoid company. | q_901: Find it difficult to approach others. | q_1671: [Enjoy interactions less than others].,MPQ:MPQ:SC;IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC;HEXACO:H:X:S,mixed_or_reverse_wording_review_required,multi_item,q_312: 1=Very Inaccurate;6=Very Accurate | q_901: 1=Very Inaccurate;6=Very Accurate | q_1671: 1=Very Inaccurate;6=Very Accurate,q_312: MPQsc | q_901: IPIP100extra;HEXACO_X;HXSocBold | q_1671: SPI_3sociability;SPI_5extraversion;SPI_15sociability;HEXACO_X;HXSociable,"[{""scale_id"":""MPQ:MPQ:SC"",""instrument"":""MPQ"",""scale_name"":""MPQ:SC"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIP100:B5:E"",""instrument"":""IPIP100"",""scale_name"":""B5:E"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:X:SB"",""instrument"":""HEXACO"",""scale_name"":""H:X:SB"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N4:SC"",""instrument"":""IPIPneo"",""scale_name"":""N4:SC"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:X:S"",""instrument"":""HEXACO"",""scale_name"":""H:X:S"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-038,mischievous,"Delights in harmless troublemaking, playful pranks, and creating amusing chaos.",q_4251;q_4265,q_4251: Enjoy practical jokes that can sometimes really hurt people. | q_4265: Like telling jokes and funny stories to my friends.,EPQr:EPQ:P;EPQr:EPQ:E,same_direction,multi_item,q_4251: 1=Very Inaccurate;6=Very Accurate | q_4265: 1=Very Inaccurate;6=Very Accurate,q_4251: none documented | q_4265: none documented,"[{""scale_id"":""EPQr:EPQ:P"",""instrument"":""EPQr"",""scale_name"":""EPQ:P"",""item_count"":32,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""EPQr:EPQ:E"",""instrument"":""EPQr"",""scale_name"":""EPQ:E"",""item_count"":23,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-039,impulsive,Acts on immediate desires without considering consequences or alternatives.,q_22;q_35;q_636,q_22: Act impulsively when something is bothering me. | q_35: Act without thinking. | q_636: Do things without thinking of the consequences.,HEXACO:H:C:PR;IPIPneo:C6:CA,same_direction,multi_item,q_22: 1=Very Inaccurate;6=Very Accurate | q_35: 1=Very Inaccurate;6=Very Accurate | q_636: 1=Very Inaccurate;6=Very Accurate,q_22: HEXACO_C;HCPrudence | q_35: NEO_C;NEOc6 | q_636: HEXACO_C;HCPrudence,"[{""scale_id"":""HEXACO:H:C:PR"",""instrument"":""HEXACO"",""scale_name"":""H:C:PR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:C6:CA"",""instrument"":""IPIPneo"",""scale_name"":""C6:CA"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-040,neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",q_1989;q_1099;q_1578,q_1989: Worry about things. | q_1099: Have frequent mood swings. | q_1578: Rarely feel depressed.,IPIP100:B5:ES;BFAS:BFAS:N:W;HEXACO:H:E:A;MPQ:MPQ:SR;IPIPneo:N1:ANX;IPIPneo:N3:DE,mixed_or_reverse_wording_review_required,multi_item,q_1989: 1=Very Inaccurate;6=Very Accurate | q_1099: 1=Very Inaccurate;6=Very Accurate | q_1578: 1=Very Inaccurate;6=Very Accurate,q_1989: IPIP100stability;IPIP50EmoSt;HEXACO_E;HEAnxiety | q_1099: IPIP100stability;IPIP50EmoSt | q_1578: BFASwithdraw,"[{""scale_id"":""IPIP100:B5:ES"",""instrument"":""IPIP100"",""scale_name"":""B5:ES"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:N:W"",""instrument"":""BFAS"",""scale_name"":""BFAS:N:W"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:A"",""instrument"":""HEXACO"",""scale_name"":""H:E:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SR"",""instrument"":""MPQ"",""scale_name"":""MPQ:SR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N1:ANX"",""instrument"":""IPIPneo"",""scale_name"":""N1:ANX"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:N3:DE"",""instrument"":""IPIPneo"",""scale_name"":""N3:DE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-041,disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",q_1254;q_1483;q_1511,q_1254: Leave a mess in my room. | q_1483: [Forget to put things back]. | q_1511: Pay too little attention to details.,IPIP100:B5:C;HEXACO:H:C:O;QB6:QB6:C;IPIPneo:C2:OR;HEXACO:H:C:PE,same_direction,multi_item,q_1254: 1=Very Inaccurate;6=Very Accurate | q_1483: 1=Very Inaccurate;6=Very Accurate | q_1511: 1=Very Inaccurate;6=Very Accurate,q_1254: IPIP100consc;HEXACO_C;QB6consc;NEO_C;HCOrgan;NEOc2 | q_1483: IPIP100consc;IPIP50Consc;HEXACO_C;NEO_C;HCOrgan;NEOc2 | q_1511: HEXACO_C;QB6consc;HCPerfect,"[{""scale_id"":""IPIP100:B5:C"",""instrument"":""IPIP100"",""scale_name"":""B5:C"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:C:O"",""instrument"":""HEXACO"",""scale_name"":""H:C:O"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""QB6:QB6:C"",""instrument"":""QB6"",""scale_name"":""QB6:C"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:C2:OR"",""instrument"":""IPIPneo"",""scale_name"":""C2:OR"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:C:PE"",""instrument"":""HEXACO"",""scale_name"":""H:C:PE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-042,calculating,Strategically plans communications for maximum effect and desired outcomes.,q_1896;q_1765;q_905,q_1896: Use others for my own ends. | q_1765: Take advantage of others. | q_905: Find it difficult to manipulate others.,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,mixed_or_reverse_wording_review_required,multi_item,q_1896: 1=Very Inaccurate;6=Very Accurate | q_1765: 1=Very Inaccurate;6=Very Accurate | q_905: 1=Very Inaccurate;6=Very Accurate,q_1896: SPI_3socCohesion;SPI_5compHonHum;QB6honprop;NEO_A;NEOa2 | q_1765: SPI_3socCohesion;SPI_5compHonHum;BFASpolite;NEO_A;NEOa2 | q_905: MPQsp,"[{""scale_id"":""QB6:QB6:H"",""instrument"":""QB6"",""scale_name"":""QB6:H"",""item_count"":8,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:A2:MO"",""instrument"":""IPIPneo"",""scale_name"":""A2:MO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:A:P"",""instrument"":""BFAS"",""scale_name"":""BFAS:A:P"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SP"",""instrument"":""MPQ"",""scale_name"":""MPQ:SP"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-043,cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",q_1781;q_292;q_2020,q_1781: Take risks. | q_292: Am willing to take risks. | q_2020: Would never make a high-risk investment.,MPQ:MPQ:HA;HEXACO:H:E:F,mixed_same_and_reverse,multi_item,q_1781: 1=Very Inaccurate;6=Very Accurate | q_292: 1=Very Inaccurate;6=Very Accurate | q_2020: 1=Very Inaccurate;6=Very Accurate,q_1781: MPQha | q_292: none documented | q_2020: none documented,"[{""scale_id"":""MPQ:MPQ:HA"",""instrument"":""MPQ"",""scale_name"":""MPQ:HA"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:F"",""instrument"":""HEXACO"",""scale_name"":""H:E:F"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-044,meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",q_1063;q_1507;q_1915,q_1063: Have an eye for detail. | q_1507: Pay attention to details. | q_1915: Want every detail taken care of.,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,same_direction,multi_item,q_1063: 1=Very Inaccurate;6=Very Accurate | q_1507: 1=Very Inaccurate;6=Very Accurate | q_1915: 1=Very Inaccurate;6=Very Accurate,q_1063: none documented | q_1507: none documented | q_1915: none documented,"[{""scale_id"":""HEXACO:H:C:PE"",""instrument"":""HEXACO"",""scale_name"":""H:C:PE"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIP100:B5:C"",""instrument"":""IPIP100"",""scale_name"":""B5:C"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:CO"",""instrument"":""MPQ"",""scale_name"":""MPQ:CO"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""BFAS:BFAS:C:O"",""instrument"":""BFAS"",""scale_name"":""BFAS:C:O"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-045,introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",q_1880;q_1310,q_1880: Try to understand myself. | q_1310: Like to get lost in thought.,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,same_direction,multi_item,q_1880: 1=Very Inaccurate;6=Very Accurate | q_1310: 1=Very Inaccurate;6=Very Accurate,q_1880: none documented | q_1310: none documented,"[{""scale_id"":""IPIPneo:O3:EM"",""instrument"":""IPIPneo"",""scale_name"":""O3:EM"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:AB"",""instrument"":""MPQ"",""scale_name"":""MPQ:AB"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:O1:IM"",""instrument"":""IPIPneo"",""scale_name"":""O1:IM"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-046,innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,q_1392;q_2745;q_516,q_1392: Love to think up new ways of doing things. | q_2745: Am able to come up with new and different ideas. | q_516: Come up with something new.,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,same_direction,multi_item,q_1392: 1=Very Inaccurate;6=Very Accurate | q_2745: 1=Very Inaccurate;6=Very Accurate | q_516: 1=Very Inaccurate;6=Very Accurate,q_1392: none documented | q_2745: none documented | q_516: none documented,"[{""scale_id"":""IPIP100:B5:O"",""instrument"":""IPIP100"",""scale_name"":""B5:O"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:O:C"",""instrument"":""HEXACO"",""scale_name"":""H:O:C"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""PS:PS:P"",""instrument"":""PS"",""scale_name"":""PS:P"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-047,assertive,Takes clear positions and advocates strongly for particular viewpoints.,q_2161;q_1768;q_1769,q_2161: Do not have an assertive personality. | q_1768: Take charge. | q_1769: Take control of things.,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,mixed_or_reverse_wording_review_required,multi_item,q_2161: 1=Very Inaccurate;6=Very Accurate | q_1768: 1=Very Inaccurate;6=Very Accurate | q_1769: 1=Very Inaccurate;6=Very Accurate,q_2161: BFASassert | q_1768: none documented | q_1769: none documented,"[{""scale_id"":""BFAS:BFAS:E:A"",""instrument"":""BFAS"",""scale_name"":""BFAS:E:A"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIP100:B5:E"",""instrument"":""IPIP100"",""scale_name"":""B5:E"",""item_count"":20,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""MPQ:MPQ:SP"",""instrument"":""MPQ"",""scale_name"":""MPQ:SP"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""IPIPneo:E3:AS"",""instrument"":""IPIPneo"",""scale_name"":""E3:AS"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
SAPA-C3-048,independent,Encourages self-reliance and personal responsibility in decision-making.,q_4244;q_463,q_4244: Prefer to go my own way rather than act by the rules. | q_463: Can't do without the company of others.,EPQr:EPQ:P;HEXACO:H:E:D,same_direction,multi_item,q_4244: 1=Very Inaccurate;6=Very Accurate | q_463: 1=Very Inaccurate;6=Very Accurate,q_4244: none documented | q_463: HEXACO_E;HEDepend,"[{""scale_id"":""EPQr:EPQ:P"",""instrument"":""EPQr"",""scale_name"":""EPQ:P"",""item_count"":32,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""},{""scale_id"":""HEXACO:H:E:D"",""instrument"":""HEXACO"",""scale_name"":""H:E:D"",""item_count"":10,""primary_definition"":""not supplied in the release inventory; exact item wording governs review""}]"
